sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBuyogMain_c01@1980;Half_Left_C01@1981;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBuyogMain_c1@1982;Half_Left_C01@1983;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBuyogMain_c2@1984;Half_Left_C01@1985;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentHP2_main_01@1986;Half_Left_C01@1987;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentHP2_main_1@1988;Half_Left_C01@1989;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentHP2_main_2@1990;Half_Left_C01@1991;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentYK_01@1992;Half_Left_C01@1993;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentYK_1@1994;Half_Left_C01@1995;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentYK_2@1996;Half_Left_C01@1997;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgreeableAgent2018_01@1998;Half_Left_C01@1999;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgreeableAgent2018_1@2000;Half_Left_C01@2001;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.003;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgreeableAgent2018_2@2002;Half_Left_C01@2003;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;GeneKing_01@2004;Half_Left_C01@2005;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;GeneKing_1@2006;Half_Left_C01@2007;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;GeneKing_2@2008;Half_Left_C01@2009;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;GroupY_01@2010;Half_Left_C01@2011;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;GroupY_1@2012;Half_Left_C01@2013;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;GroupY_2@2014;Half_Left_C01@2015;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
