sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
7.686;699;;1000rounds;Yes;No;2;0.97316;0.99557;0.00000;0.00000;1.96873;AgentBuyogMain_c01@78734;Half_Left_C01@78735;0.9955710860433398;0.9731587838206129;0.9955710860433398;0.9731587838206129;0.9955710860433398;0.9731587838206129;0.0;0.0;0.9955710860433398;0.9731587838206129;ITEX_util3.xml;ITEX_util4.xml
7.410;573;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.56636;1.41365;AgentBuyogMain_c1@78736;Half_Left_C01@78737;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
3.675;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.56636;1.41365;AgentBuyogMain_c2@78738;Half_Left_C01@78739;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
5.135;699;;1000rounds;Yes;No;2;0.97316;0.99557;0.00000;0.00000;1.96873;AgentHP2_main_01@78740;Half_Left_C01@78741;0.9955710860433398;0.9731587838206129;0.9955710860433398;0.9731587838206129;0.9955710860433398;0.9731587838206129;0.0;0.0;0.9955710860433398;0.9731587838206129;ITEX_util3.xml;ITEX_util4.xml
2.972;573;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.56636;1.41365;AgentHP2_main_1@78742;Half_Left_C01@78743;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
2.087;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.56636;1.41365;AgentHP2_main_2@78744;Half_Left_C01@78745;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
3.536;699;;1000rounds;Yes;No;2;0.97316;0.99557;0.00000;0.00000;1.96873;AgentYK_01@78746;Half_Left_C01@78747;0.9955710860433398;0.9731587838206129;0.9955710860433398;0.9731587838206129;0.9955710860433398;0.9731587838206129;0.0;0.0;0.9955710860433398;0.9731587838206129;ITEX_util3.xml;ITEX_util4.xml
4.041;666;;1000rounds;Yes;No;2;0.33477;0.98345;0.09455;0.66088;1.31822;AgentYK_1@78748;Half_Left_C01@78749;0.3347743673778668;0.9834484804398183;0.3347743673778668;0.9834484804398183;0.3347743673778668;0.9834484804398183;0.0;0.0;0.3347743673778668;0.9834484804398183;ITEX_util3.xml;ITEX_util4.xml
1.571;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.56636;1.41365;AgentYK_2@78750;Half_Left_C01@78751;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
3.807;699;;1000rounds;Yes;No;2;0.97316;0.99557;0.00000;0.00000;1.96873;AgreeableAgent2018_01@78752;Half_Left_C01@78753;0.9955710860433398;0.9731587838206129;0.9955710860433398;0.9731587838206129;0.9955710860433398;0.9731587838206129;0.0;0.0;0.9955710860433398;0.9731587838206129;ITEX_util3.xml;ITEX_util4.xml
