sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
13.555;815;;1000rounds;Yes;No;2;0.85691;0.99428;0.00000;0.00000;1.85119;AgentBuyogMain_c01@72;Half_Left_C01@73;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.0;0.0;0.8569103713906172;0.994281046662034;MyAirport_util1.xml;MyAirport_util2.xml
2.506;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;AgentBuyogMain_c1@74;Half_Left_C01@75;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.401;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;AgentBuyogMain_c2@76;Half_Left_C01@77;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
4.699;815;;1000rounds;Yes;No;2;0.85691;0.99428;0.00000;0.00000;1.85119;AgentHP2_main_01@78;Half_Left_C01@79;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.0;0.0;0.8569103713906172;0.994281046662034;MyAirport_util1.xml;MyAirport_util2.xml
0.739;170;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;AgentHP2_main_1@80;Half_Left_C01@81;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.320;30;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;AgentHP2_main_2@82;Half_Left_C01@83;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
3.408;815;;1000rounds;Yes;No;2;0.85691;0.99428;0.00000;0.00000;1.85119;AgentYK_01@84;Half_Left_C01@85;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.0;0.0;0.8569103713906172;0.994281046662034;MyAirport_util1.xml;MyAirport_util2.xml
0.905;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;AgentYK_1@86;Half_Left_C01@87;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.225;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;AgentYK_2@88;Half_Left_C01@89;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
4.936;815;;1000rounds;Yes;No;2;0.85691;0.99428;0.00000;0.00000;1.85119;AgreeableAgent2018_01@90;Half_Left_C01@91;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.0;0.0;0.8569103713906172;0.994281046662034;MyAirport_util1.xml;MyAirport_util2.xml
1.256;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;AgreeableAgent2018_1@92;Half_Left_C01@93;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.153;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;AgreeableAgent2018_2@94;Half_Left_C01@95;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
4.565;815;;1000rounds;Yes;No;2;0.85691;0.99428;0.00000;0.00000;1.85119;GeneKing_01@96;Half_Left_C01@97;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.0;0.0;0.8569103713906172;0.994281046662034;MyAirport_util1.xml;MyAirport_util2.xml
0.927;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;GeneKing_1@98;Half_Left_C01@99;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.386;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;GeneKing_2@100;Half_Left_C01@101;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
4.514;815;;1000rounds;Yes;No;2;0.85691;0.99428;0.00000;0.00000;1.85119;GroupY_01@102;Half_Left_C01@103;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.0;0.0;0.8569103713906172;0.994281046662034;MyAirport_util1.xml;MyAirport_util2.xml
0.998;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;GroupY_1@104;Half_Left_C01@105;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.150;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;GroupY_2@106;Half_Left_C01@107;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
2.759;633;;1000rounds;Yes;No;2;0.15695;0.99424;0.66419;0.69996;1.15119;JonnyBlack_01@108;Half_Left_C01@109;0.1569473931855353;0.994241140514369;0.1569473931855353;0.994241140514369;0.1569473931855353;0.994241140514369;0.0;0.0;0.1569473931855353;0.994241140514369;MyAirport_util1.xml;MyAirport_util2.xml
0.075;12;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;JonnyBlack_1@110;Half_Left_C01@111;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
;2;Session genius.core.session.Session@6791a0d2 failed: Failed to execute protocol: Execution failed of JonnyBlack_2@112:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Half_Left_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_2;Half_Left_C01;0.0;0.0;0.0;0.0;;;;;;;MyAirport_util1;MyAirport_util2
5.507;815;;1000rounds;Yes;No;2;0.85691;0.99428;0.00000;0.00000;1.85119;Mamenchis_01@114;Half_Left_C01@115;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.0;0.0;0.8569103713906172;0.994281046662034;MyAirport_util1.xml;MyAirport_util2.xml
0.675;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;Mamenchis_1@116;Half_Left_C01@117;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.128;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;Mamenchis_2@118;Half_Left_C01@119;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
4.734;815;;1000rounds;Yes;No;2;0.85691;0.99428;0.00000;0.00000;1.85119;Mosa_01@120;Half_Left_C01@121;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.8569103713906172;0.994281046662034;0.0;0.0;0.8569103713906172;0.994281046662034;MyAirport_util1.xml;MyAirport_util2.xml
0.772;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;Mosa_1@122;Half_Left_C01@123;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.226;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;Mosa_2@124;Half_Left_C01@125;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
4.802;818;;1000rounds;Yes;No;2;0.74510;1.00000;0.00000;0.28734;1.74510;RandomDance_01@126;Half_Left_C01@127;1.0;0.7451041084704104;1.0;0.7451041084704104;1.0;0.7451041084704104;0.0;0.0;1.0;0.7451041084704104;MyAirport_util1.xml;MyAirport_util2.xml
2.107;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;RandomDance_1@128;Half_Left_C01@129;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.668;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.03577;1.81543;RandomDance_2@130;Half_Left_C01@131;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
