sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
10.984;810;;1000rounds;Yes;No;2;0.88250;1.00000;0.00000;0.00000;1.88250;AgentBuyogMain_c01@12;Half_Left_C01@13;1.0;0.8824969075159311;1.0;0.8824969075159311;1.0;0.8824969075159311;0.0;0.0;1.0;0.8824969075159311;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
8.336;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;AgentBuyogMain_c1@14;Half_Left_C01@15;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
8.224;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;AgentBuyogMain_c2@16;Half_Left_C01@17;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.959;810;;1000rounds;Yes;No;2;0.88250;1.00000;0.00000;0.00000;1.88250;AgentHP2_main_01@18;Half_Left_C01@19;1.0;0.8824969075159311;1.0;0.8824969075159311;1.0;0.8824969075159311;0.0;0.0;1.0;0.8824969075159311;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.871;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;AgentHP2_main_1@20;Half_Left_C01@21;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.857;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;AgentHP2_main_2@22;Half_Left_C01@23;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.842;830;;1000rounds;Yes;No;2;0.79670;0.90006;0.10571;0.20405;1.69676;AgentYK_01@24;Half_Left_C01@25;0.7967032275365955;0.9000587008612644;0.7967032275365955;0.9000587008612644;0.7967032275365955;0.9000587008612644;0.0;0.0;0.7967032275365955;0.9000587008612644;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.782;749;;1000rounds;Yes;No;2;0.20330;0.96683;0.18118;0.80115;1.17012;AgentYK_1@26;Half_Left_C01@27;0.20329677246340444;0.9668276360756356;0.20329677246340444;0.9668276360756356;0.20329677246340444;0.9668276360756356;0.0;0.0;0.20329677246340444;0.9668276360756356;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.762;753;;1000rounds;Yes;No;2;0.09918;0.94279;0.11450;0.90284;1.04196;AgentYK_2@28;Half_Left_C01@29;0.09917792969704571;0.9427863850604908;0.09917792969704571;0.9427863850604908;0.09917792969704571;0.9427863850604908;0.0;0.0;0.09917792969704571;0.9427863850604908;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.812;810;;1000rounds;Yes;No;2;0.88250;1.00000;0.00000;0.00000;1.88250;AgreeableAgent2018_01@30;Half_Left_C01@31;1.0;0.8824969075159311;1.0;0.8824969075159311;1.0;0.8824969075159311;0.0;0.0;1.0;0.8824969075159311;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.750;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;AgreeableAgent2018_1@32;Half_Left_C01@33;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.703;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;AgreeableAgent2018_2@34;Half_Left_C01@35;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.896;810;;1000rounds;Yes;No;2;0.88250;1.00000;0.00000;0.00000;1.88250;GeneKing_01@36;Half_Left_C01@37;1.0;0.8824969075159311;1.0;0.8824969075159311;1.0;0.8824969075159311;0.0;0.0;1.0;0.8824969075159311;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.724;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;GeneKing_1@38;Half_Left_C01@39;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.777;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;GeneKing_2@40;Half_Left_C01@41;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.836;810;;1000rounds;Yes;No;2;0.88250;1.00000;0.00000;0.00000;1.88250;GroupY_01@42;Half_Left_C01@43;1.0;0.8824969075159311;1.0;0.8824969075159311;1.0;0.8824969075159311;0.0;0.0;1.0;0.8824969075159311;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.342;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;GroupY_1@44;Half_Left_C01@45;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.725;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;GroupY_2@46;Half_Left_C01@47;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
;633;Session genius.core.session.Session@30626382 failed: Failed to execute protocol: Execution failed of JonnyBlack_01@48:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_01\JonnyBlack_01.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Half_Left_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_01;Half_Left_C01;0.0;0.0;0.0;0.0;;;;;;;SmartEnergyGrid_util1;SmartEnergyGrid_util2
;12;Session genius.core.session.Session@73ece1cf failed: Failed to execute protocol: Execution failed of JonnyBlack_1@50:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_1\JonnyBlack_1.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Half_Left_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_1;Half_Left_C01;0.0;0.0;0.0;0.0;;;;;;;SmartEnergyGrid_util1;SmartEnergyGrid_util2
;2;Session genius.core.session.Session@30a5acbc failed: Failed to execute protocol: Execution failed of JonnyBlack_2@52:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Half_Left_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_2;Half_Left_C01;0.0;0.0;0.0;0.0;;;;;;;SmartEnergyGrid_util1;SmartEnergyGrid_util2
0.936;810;;1000rounds;Yes;No;2;0.88250;1.00000;0.00000;0.00000;1.88250;Mamenchis_01@54;Half_Left_C01@55;1.0;0.8824969075159311;1.0;0.8824969075159311;1.0;0.8824969075159311;0.0;0.0;1.0;0.8824969075159311;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.868;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;Mamenchis_1@56;Half_Left_C01@57;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.772;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;Mamenchis_2@58;Half_Left_C01@59;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.999;810;;1000rounds;Yes;No;2;0.88250;1.00000;0.00000;0.00000;1.88250;Mosa_01@60;Half_Left_C01@61;1.0;0.8824969075159311;1.0;0.8824969075159311;1.0;0.8824969075159311;0.0;0.0;1.0;0.8824969075159311;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.692;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;Mosa_1@62;Half_Left_C01@63;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.730;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;Mosa_2@64;Half_Left_C01@65;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.982;796;;1000rounds;Yes;No;2;0.90082;0.91832;0.00000;0.10545;1.81915;RandomDance_01@66;Half_Left_C01@67;0.9008220703029542;0.9183248796276616;0.9008220703029542;0.9183248796276616;0.9008220703029542;0.9183248796276616;0.0;0.0;0.9008220703029542;0.9183248796276616;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.535;686;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;RandomDance_1@68;Half_Left_C01@69;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.335;686;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;RandomDance_2@70;Half_Left_C01@71;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.819;810;;1000rounds;Yes;No;2;0.88250;1.00000;0.00000;0.00000;1.88250;Agent36_01@72;Half_Left_C01@73;1.0;0.8824969075159311;1.0;0.8824969075159311;1.0;0.8824969075159311;0.0;0.0;1.0;0.8824969075159311;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.242;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;Agent36_1@74;Half_Left_C01@75;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.405;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;Agent36_2@76;Half_Left_C01@77;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.718;810;;1000rounds;Yes;No;2;0.88250;1.00000;0.00000;0.00000;1.88250;ConDAgent_01@78;Half_Left_C01@79;1.0;0.8824969075159311;1.0;0.8824969075159311;1.0;0.8824969075159311;0.0;0.0;1.0;0.8824969075159311;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.117;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;ConDAgent_1@80;Half_Left_C01@81;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.171;687;;1000rounds;Yes;No;2;0.38420;0.97673;0.00000;0.62297;1.36093;ConDAgent_2@82;Half_Left_C01@83;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.3842010279747453;0.9767294465738013;0.0;0.0;0.3842010279747453;0.9767294465738013;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
