sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.005;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBuyogMain_c01@0;Half_Left_C01@1;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.0;0.0;0.9999999999999999;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.004;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBuyogMain_c1@2;Half_Left_C01@3;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.0;0.0;0.9999999999999999;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.004;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBuyogMain_c2@4;Half_Left_C01@5;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.0;0.0;0.9999999999999999;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.003;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentHP2_main_01@6;Half_Left_C01@7;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.0;0.0;0.9999999999999999;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.003;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentHP2_main_1@8;Half_Left_C01@9;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.0;0.0;0.9999999999999999;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.004;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentHP2_main_2@10;Half_Left_C01@11;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.0;0.0;0.9999999999999999;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentYK_01@12;Half_Left_C01@13;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.0;0.0;0.9999999999999999;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentYK_1@14;Half_Left_C01@15;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.0;0.0;0.9999999999999999;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
1.008;885;;1000rounds;Yes;No;2;0.05989;0.72220;0.98029;0.98029;0.78210;AgentYK_2@16;Half_Left_C01@17;0.05989424391165935;0.7222042453464127;0.05989424391165935;0.7222042453464127;0.05989424391165935;0.7222042453464127;0.0;0.0;0.05989424391165935;0.7222042453464127;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgreeableAgent2018_01@18;Half_Left_C01@19;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.9999999999999999;0.9999999999999998;0.0;0.0;0.9999999999999999;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
