sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.003;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBuyogMain_c01@28;Half_Left_C01@29;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.021;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBuyogMain_c1@32;Half_Left_C01@33;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.088;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBuyogMain_c2@36;Half_Left_C01@37;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.065;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentHP2_main_01@40;Half_Left_C01@41;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.019;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentHP2_main_1@44;Half_Left_C01@45;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.030;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentHP2_main_2@46;Half_Left_C01@47;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentYK_01@48;Half_Left_C01@49;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentYK_1@50;Half_Left_C01@51;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
1.159;888;;1000rounds;Yes;No;2;0.05908;0.70468;0.98618;0.98618;0.76376;AgentYK_2@52;Half_Left_C01@53;0.05907882688560771;0.7046828705512449;0.05907882688560771;0.7046828705512449;0.05907882688560771;0.7046828705512449;0.0;0.0;0.05907882688560771;0.7046828705512449;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgreeableAgent2018_01@54;Half_Left_C01@55;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgreeableAgent2018_1@56;Half_Left_C01@57;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.003;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgreeableAgent2018_2@58;Half_Left_C01@59;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.057;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;GeneKing_01@60;Half_Left_C01@61;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.041;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;GeneKing_1@62;Half_Left_C01@63;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
