sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
1.029;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;AgentBuyogMain_c01@2044;Middle_C01@2045;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.661;278;;1000rounds;Yes;No;2;0.76600;1.00000;0.02600;0.23400;1.76600;AgentBuyogMain_c1@2046;Middle_C01@2047;0.766;0.9999950000314735;0.766;0.9999950000314735;0.766;0.9999950000314735;0.0;0.0;0.766;0.9999950000314735;Barter-A-prof1.xml;Barter-A-prof2.xml
0.129;87;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;AgentBuyogMain_c2@2048;Middle_C01@2049;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.457;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;AgentHP2_main_01@2050;Middle_C01@2051;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.344;278;;1000rounds;Yes;No;2;0.76600;1.00000;0.02600;0.23400;1.76600;AgentHP2_main_1@2052;Middle_C01@2053;0.766;0.9999950000314735;0.766;0.9999950000314735;0.766;0.9999950000314735;0.0;0.0;0.766;0.9999950000314735;Barter-A-prof1.xml;Barter-A-prof2.xml
0.100;87;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;AgentHP2_main_2@2054;Middle_C01@2055;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.408;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;AgentYK_01@2056;Middle_C01@2057;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.372;295;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;AgentYK_1@2058;Middle_C01@2059;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.105;87;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;AgentYK_2@2060;Middle_C01@2061;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.414;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;AgreeableAgent2018_01@2062;Middle_C01@2063;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.336;278;;1000rounds;Yes;No;2;0.76600;1.00000;0.02600;0.23400;1.76600;AgreeableAgent2018_1@2064;Middle_C01@2065;0.766;0.9999950000314735;0.766;0.9999950000314735;0.766;0.9999950000314735;0.0;0.0;0.766;0.9999950000314735;Barter-A-prof1.xml;Barter-A-prof2.xml
0.099;87;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;AgreeableAgent2018_2@2066;Middle_C01@2067;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.418;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;GeneKing_01@2068;Middle_C01@2069;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.310;278;;1000rounds;Yes;No;2;0.76600;1.00000;0.02600;0.23400;1.76600;GeneKing_1@2070;Middle_C01@2071;0.766;0.9999950000314735;0.766;0.9999950000314735;0.766;0.9999950000314735;0.0;0.0;0.766;0.9999950000314735;Barter-A-prof1.xml;Barter-A-prof2.xml
0.107;87;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;GeneKing_2@2072;Middle_C01@2073;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.404;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;GroupY_01@2074;Middle_C01@2075;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.402;278;;1000rounds;Yes;No;2;0.76600;1.00000;0.02600;0.23400;1.76600;GroupY_1@2076;Middle_C01@2077;0.766;0.9999950000314735;0.766;0.9999950000314735;0.766;0.9999950000314735;0.0;0.0;0.766;0.9999950000314735;Barter-A-prof1.xml;Barter-A-prof2.xml
0.096;87;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;GroupY_2@2078;Middle_C01@2079;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.395;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;JonnyBlack_01@2080;Middle_C01@2081;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.012;12;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;JonnyBlack_1@2082;Middle_C01@2083;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
;2;Session genius.core.session.Session@245a1388 failed: Failed to execute protocol: Execution failed of JonnyBlack_2@2084:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Middle_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_2;Middle_C01;0.0;0.0;0.0;0.0;;;;;;;Barter-A-prof1;Barter-A-prof2
0.461;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;Mamenchis_01@2086;Middle_C01@2087;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.314;278;;1000rounds;Yes;No;2;0.76600;1.00000;0.02600;0.23400;1.76600;Mamenchis_1@2088;Middle_C01@2089;0.766;0.9999950000314735;0.766;0.9999950000314735;0.766;0.9999950000314735;0.0;0.0;0.766;0.9999950000314735;Barter-A-prof1.xml;Barter-A-prof2.xml
0.095;87;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;Mamenchis_2@2090;Middle_C01@2091;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.454;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;Mosa_01@2092;Middle_C01@2093;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.326;278;;1000rounds;Yes;No;2;0.76600;1.00000;0.02600;0.23400;1.76600;Mosa_1@2094;Middle_C01@2095;0.766;0.9999950000314735;0.766;0.9999950000314735;0.766;0.9999950000314735;0.0;0.0;0.766;0.9999950000314735;Barter-A-prof1.xml;Barter-A-prof2.xml
0.094;87;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;Mosa_2@2096;Middle_C01@2097;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.514;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;RandomDance_01@2098;Middle_C01@2099;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.350;278;;1000rounds;Yes;No;2;0.76600;1.00000;0.02600;0.23400;1.76600;RandomDance_1@2100;Middle_C01@2101;0.766;0.9999950000314735;0.766;0.9999950000314735;0.766;0.9999950000314735;0.0;0.0;0.766;0.9999950000314735;Barter-A-prof1.xml;Barter-A-prof2.xml
0.161;90;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;RandomDance_2@2102;Middle_C01@2103;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.391;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;Agent36_01@2104;Middle_C01@2105;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.313;278;;1000rounds;Yes;No;2;0.76600;1.00000;0.02600;0.23400;1.76600;Agent36_1@2106;Middle_C01@2107;0.766;0.9999950000314735;0.766;0.9999950000314735;0.766;0.9999950000314735;0.0;0.0;0.766;0.9999950000314735;Barter-A-prof1.xml;Barter-A-prof2.xml
0.102;87;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;Agent36_2@2108;Middle_C01@2109;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.467;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;ConDAgent_01@2110;Middle_C01@2111;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.319;278;;1000rounds;Yes;No;2;0.76600;1.00000;0.02600;0.23400;1.76600;ConDAgent_1@2112;Middle_C01@2113;0.766;0.9999950000314735;0.766;0.9999950000314735;0.766;0.9999950000314735;0.0;0.0;0.766;0.9999950000314735;Barter-A-prof1.xml;Barter-A-prof2.xml
0.093;87;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;ConDAgent_2@2114;Middle_C01@2115;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.399;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;KGAgent_01@2116;Middle_C01@2117;1.0;0.999965000782802;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
0.394;278;;1000rounds;Yes;No;2;0.76600;1.00000;0.02600;0.23400;1.76600;KGAgent_1@2118;Middle_C01@2119;0.766;0.9999950000314735;0.766;0.9999950000314735;0.766;0.9999950000314735;0.0;0.0;0.766;0.9999950000314735;Barter-A-prof1.xml;Barter-A-prof2.xml
0.091;87;;1000rounds;Yes;No;2;0.70200;1.00000;0.00000;0.29800;1.70200;KGAgent_2@2120;Middle_C01@2121;0.702;1.0;0.702;1.0;0.702;1.0;0.0;0.0;0.702;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.374;358;;1000rounds;Yes;No;2;0.99997;1.00000;0.00000;0.00000;1.99997;BraveCat_01@2122;Middle_C01@2123;1.0;0.999965000782802;1.0;0.999965000782802;0.0;0.999965000782802;0.0;0.0;1.0;0.999965000782802;Barter-A-prof1.xml;Barter-A-prof2.xml
