sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
3.247;714;;1000rounds;Yes;No;2;0.95575;0.96646;0.00000;0.02859;1.92221;AgentBuyogMain_c01@34636;Middle_C01@34637;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.0;0.0;0.9557452528043607;0.9664646851836978;ITEX_util4.xml;ITEX_util3.xml
1.646;535;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;AgentBuyogMain_c1@34638;Middle_C01@34639;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.622;286;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;AgentBuyogMain_c2@34640;Middle_C01@34641;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.765;714;;1000rounds;Yes;No;2;0.95575;0.96646;0.00000;0.02859;1.92221;AgentHP2_main_01@34642;Middle_C01@34643;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.0;0.0;0.9557452528043607;0.9664646851836978;ITEX_util4.xml;ITEX_util3.xml
0.528;535;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;AgentHP2_main_1@34644;Middle_C01@34645;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.276;286;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;AgentHP2_main_2@34646;Middle_C01@34647;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.695;714;;1000rounds;Yes;No;2;0.95575;0.96646;0.00000;0.02859;1.92221;AgentYK_01@34648;Middle_C01@34649;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.0;0.0;0.9557452528043607;0.9664646851836978;ITEX_util4.xml;ITEX_util3.xml
0.528;535;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;AgentYK_1@34650;Middle_C01@34651;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.280;286;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;AgentYK_2@34652;Middle_C01@34653;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.706;714;;1000rounds;Yes;No;2;0.95575;0.96646;0.00000;0.02859;1.92221;AgreeableAgent2018_01@34654;Middle_C01@34655;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.0;0.0;0.9557452528043607;0.9664646851836978;ITEX_util4.xml;ITEX_util3.xml
0.568;535;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;AgreeableAgent2018_1@34656;Middle_C01@34657;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.280;286;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;AgreeableAgent2018_2@34658;Middle_C01@34659;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.711;714;;1000rounds;Yes;No;2;0.95575;0.96646;0.00000;0.02859;1.92221;GeneKing_01@34660;Middle_C01@34661;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.0;0.0;0.9557452528043607;0.9664646851836978;ITEX_util4.xml;ITEX_util3.xml
0.522;535;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;GeneKing_1@34662;Middle_C01@34663;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.273;286;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;GeneKing_2@34664;Middle_C01@34665;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.695;714;;1000rounds;Yes;No;2;0.95575;0.96646;0.00000;0.02859;1.92221;GroupY_01@34666;Middle_C01@34667;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.0;0.0;0.9557452528043607;0.9664646851836978;ITEX_util4.xml;ITEX_util3.xml
0.519;535;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;GroupY_1@34668;Middle_C01@34669;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.280;286;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;GroupY_2@34670;Middle_C01@34671;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
;2;Session genius.core.session.Session@36baac32 failed: Failed to execute protocol: Execution failed of JonnyBlack_01@34672:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_01\JonnyBlack_01.class, C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Middle_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_01;Middle_C01;0.0;0.0;0.0;0.0;;;;;;;ITEX_util4;ITEX_util3
;2;Session genius.core.session.Session@90876f9 failed: Failed to execute protocol: Execution failed of JonnyBlack_1@34674:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_1\JonnyBlack_1.class, C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Middle_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_1;Middle_C01;0.0;0.0;0.0;0.0;;;;;;;ITEX_util4;ITEX_util3
;2;Session genius.core.session.Session@41499fe7 failed: Failed to execute protocol: Execution failed of JonnyBlack_2@34676:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Middle_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_2;Middle_C01;0.0;0.0;0.0;0.0;;;;;;;ITEX_util4;ITEX_util3
0.686;714;;1000rounds;Yes;No;2;0.95575;0.96646;0.00000;0.02859;1.92221;Mamenchis_01@34678;Middle_C01@34679;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.0;0.0;0.9557452528043607;0.9664646851836978;ITEX_util4.xml;ITEX_util3.xml
0.546;535;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;Mamenchis_1@34680;Middle_C01@34681;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.275;286;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;Mamenchis_2@34682;Middle_C01@34683;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.684;714;;1000rounds;Yes;No;2;0.95575;0.96646;0.00000;0.02859;1.92221;Mosa_01@34684;Middle_C01@34685;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.9557452528043607;0.9664646851836978;0.0;0.0;0.9557452528043607;0.9664646851836978;ITEX_util4.xml;ITEX_util3.xml
0.633;535;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;Mosa_1@34686;Middle_C01@34687;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
0.275;286;;1000rounds;Yes;No;2;0.46304;0.99557;0.00000;0.52211;1.45862;Mosa_2@34688;Middle_C01@34689;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.46304434154648905;0.9955710860433398;0.0;0.0;0.46304434154648905;0.9955710860433398;ITEX_util4.xml;ITEX_util3.xml
