sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
6.468;599;;1000rounds;Yes;No;2;0.99429;1.00000;0.00000;0.00000;1.99429;AgentBuyogMain_c01@4140;Middle_C01@4141;1.0;0.9942915393699265;1.0;0.9942915393699265;1.0;0.9942915393699265;0.0;0.0;1.0;0.9942915393699265;MyAirport_util1.xml;MyAirport_util2.xml
3.212;301;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;AgentBuyogMain_c1@4142;Middle_C01@4143;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.995;91;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;AgentBuyogMain_c2@4144;Middle_C01@4145;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
2.715;599;;1000rounds;Yes;No;2;0.99429;1.00000;0.00000;0.00000;1.99429;AgentHP2_main_01@4146;Middle_C01@4147;1.0;0.9942915393699265;1.0;0.9942915393699265;1.0;0.9942915393699265;0.0;0.0;1.0;0.9942915393699265;MyAirport_util1.xml;MyAirport_util2.xml
3.890;301;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;AgentHP2_main_1@4148;Middle_C01@4149;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
2.166;91;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;AgentHP2_main_2@4150;Middle_C01@4151;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
5.909;599;;1000rounds;Yes;No;2;0.99429;1.00000;0.00000;0.00000;1.99429;AgentYK_01@4152;Middle_C01@4153;1.0;0.9942915393699265;1.0;0.9942915393699265;1.0;0.9942915393699265;0.0;0.0;1.0;0.9942915393699265;MyAirport_util1.xml;MyAirport_util2.xml
1.429;301;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;AgentYK_1@4154;Middle_C01@4155;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.301;91;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;AgentYK_2@4156;Middle_C01@4157;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
5.025;599;;1000rounds;Yes;No;2;0.99429;1.00000;0.00000;0.00000;1.99429;AgreeableAgent2018_01@4158;Middle_C01@4159;1.0;0.9942915393699265;1.0;0.9942915393699265;1.0;0.9942915393699265;0.0;0.0;1.0;0.9942915393699265;MyAirport_util1.xml;MyAirport_util2.xml
2.410;301;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;AgreeableAgent2018_1@4160;Middle_C01@4161;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.670;91;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;AgreeableAgent2018_2@4162;Middle_C01@4163;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
2.681;599;;1000rounds;Yes;No;2;0.99429;1.00000;0.00000;0.00000;1.99429;GeneKing_01@4164;Middle_C01@4165;1.0;0.9942915393699265;1.0;0.9942915393699265;1.0;0.9942915393699265;0.0;0.0;1.0;0.9942915393699265;MyAirport_util1.xml;MyAirport_util2.xml
2.045;301;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;GeneKing_1@4166;Middle_C01@4167;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.708;91;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;GeneKing_2@4168;Middle_C01@4169;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
3.685;599;;1000rounds;Yes;No;2;0.99429;1.00000;0.00000;0.00000;1.99429;GroupY_01@4170;Middle_C01@4171;1.0;0.9942915393699265;1.0;0.9942915393699265;1.0;0.9942915393699265;0.0;0.0;1.0;0.9942915393699265;MyAirport_util1.xml;MyAirport_util2.xml
2.798;301;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;GroupY_1@4172;Middle_C01@4173;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.365;91;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;GroupY_2@4174;Middle_C01@4175;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
3.886;599;;1000rounds;Yes;No;2;0.99429;1.00000;0.00000;0.00000;1.99429;JonnyBlack_01@4176;Middle_C01@4177;1.0;0.9942915393699265;1.0;0.9942915393699265;1.0;0.9942915393699265;0.0;0.0;1.0;0.9942915393699265;MyAirport_util1.xml;MyAirport_util2.xml
0.046;12;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;JonnyBlack_1@4178;Middle_C01@4179;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
;2;Session genius.core.session.Session@1fa994ce failed: Failed to execute protocol: Execution failed of JonnyBlack_2@4180:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Middle_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_2;Middle_C01;0.0;0.0;0.0;0.0;;;;;;;MyAirport_util1;MyAirport_util2
3.284;599;;1000rounds;Yes;No;2;0.99429;1.00000;0.00000;0.00000;1.99429;Mamenchis_01@4182;Middle_C01@4183;1.0;0.9942915393699265;1.0;0.9942915393699265;1.0;0.9942915393699265;0.0;0.0;1.0;0.9942915393699265;MyAirport_util1.xml;MyAirport_util2.xml
2.755;301;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;Mamenchis_1@4184;Middle_C01@4185;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.306;91;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;Mamenchis_2@4186;Middle_C01@4187;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
4.004;599;;1000rounds;Yes;No;2;0.99429;1.00000;0.00000;0.00000;1.99429;Mosa_01@4188;Middle_C01@4189;1.0;0.9942915393699265;1.0;0.9942915393699265;1.0;0.9942915393699265;0.0;0.0;1.0;0.9942915393699265;MyAirport_util1.xml;MyAirport_util2.xml
2.515;301;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;Mosa_1@4190;Middle_C01@4191;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.333;91;;1000rounds;Yes;No;2;0.70016;0.99429;0.00000;0.29984;1.69446;Mosa_2@4192;Middle_C01@4193;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.700162740026568;0.994293505819863;0.0;0.0;0.700162740026568;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
4.245;599;;1000rounds;Yes;No;2;0.99429;1.00000;0.00000;0.00000;1.99429;RandomDance_01@4194;Middle_C01@4195;1.0;0.9942915393699265;1.0;0.9942915393699265;1.0;0.9942915393699265;0.0;0.0;1.0;0.9942915393699265;MyAirport_util1.xml;MyAirport_util2.xml
