sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
2.518;895;;1000rounds;Yes;No;2;0.67597;0.67700;0.00000;0.28544;1.35297;Agent36_01@576;Middle_C01@577;0.677;0.6759660118756973;0.677;0.6759660118756973;0.677;0.6759660118756973;0.0;0.0;0.677;0.6759660118756973;pie_A.xml;pie_B.xml
1.021;493;;1000rounds;Yes;No;2;0.50800;0.99920;0.00000;0.08532;1.50720;Agent36_1@578;Middle_C01@579;0.508;0.9992003199504179;0.508;0.9992003199504179;0.508;0.9992003199504179;0.0;0.0;0.508;0.9992003199504179;pie_A.xml;pie_B.xml
1.013;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.09181;1.50000;Agent36_2@580;Middle_C01@581;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
2.498;895;;1000rounds;Yes;No;2;0.67597;0.67700;0.00000;0.28544;1.35297;ConDAgent_01@582;Middle_C01@583;0.677;0.6759660118756973;0.677;0.6759660118756973;0.677;0.6759660118756973;0.0;0.0;0.677;0.6759660118756973;pie_A.xml;pie_B.xml
1.368;493;;1000rounds;Yes;No;2;0.50800;0.99920;0.00000;0.08532;1.50720;ConDAgent_1@584;Middle_C01@585;0.508;0.9992003199504179;0.508;0.9992003199504179;0.508;0.9992003199504179;0.0;0.0;0.508;0.9992003199504179;pie_A.xml;pie_B.xml
1.702;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.09181;1.50000;ConDAgent_2@586;Middle_C01@587;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
2.111;895;;1000rounds;Yes;No;2;0.67597;0.67700;0.00000;0.28544;1.35297;KGAgent_01@588;Middle_C01@589;0.677;0.6759660118756973;0.677;0.6759660118756973;0.677;0.6759660118756973;0.0;0.0;0.677;0.6759660118756973;pie_A.xml;pie_B.xml
0.953;493;;1000rounds;Yes;No;2;0.50800;0.99920;0.00000;0.08532;1.50720;KGAgent_1@590;Middle_C01@591;0.508;0.9992003199504179;0.508;0.9992003199504179;0.508;0.9992003199504179;0.0;0.0;0.508;0.9992003199504179;pie_A.xml;pie_B.xml
0.604;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.09181;1.50000;KGAgent_2@592;Middle_C01@593;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
1.472;900;;1000rounds;Yes;No;2;0.66998;0.67900;0.00000;0.29174;1.34898;BraveCat_01@594;Middle_C01@595;0.679;0.6699766070243486;0.679;0.6699766070243486;0.0;0.6699766070243486;0.0;0.0;0.679;0.6699766070243486;pie_A.xml;pie_B.xml
0.759;512;;1000rounds;Yes;No;2;0.51000;0.99875;0.00000;0.08356;1.50875;BraveCat_1@596;Middle_C01@597;0.51;0.9987507809803904;0.51;0.9987507809803904;0.0;0.9987507809803904;0.0;0.0;0.51;0.9987507809803904;pie_A.xml;pie_B.xml
0.819;272;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.09181;1.50000;BraveCat_2@598;Middle_C01@599;0.5;1.0;0.5;1.0;0.0;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
