sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
54.108;895;;1000rounds;Yes;No;2;0.67597;0.67700;0.00000;0.28544;1.35297;AgentBuyogMain_c01@36;Middle_C01@37;0.677;0.6759660118756973;0.677;0.6759660118756973;0.677;0.6759660118756973;0.0;0.0;0.677;0.6759660118756973;pie_A.xml;pie_B.xml
23.259;493;;1000rounds;Yes;No;2;0.50800;0.99920;0.00000;0.08532;1.50720;AgentBuyogMain_c1@38;Middle_C01@39;0.508;0.9992003199504179;0.508;0.9992003199504179;0.508;0.9992003199504179;0.0;0.0;0.508;0.9992003199504179;pie_A.xml;pie_B.xml
9.691;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.09181;1.50000;AgentBuyogMain_c2@40;Middle_C01@41;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
3.099;895;;1000rounds;Yes;No;2;0.67597;0.67700;0.00000;0.28544;1.35297;AgentHP2_main_01@42;Middle_C01@43;0.677;0.6759660118756973;0.677;0.6759660118756973;0.677;0.6759660118756973;0.0;0.0;0.677;0.6759660118756973;pie_A.xml;pie_B.xml
2.300;493;;1000rounds;Yes;No;2;0.50800;0.99920;0.00000;0.08532;1.50720;AgentHP2_main_1@44;Middle_C01@45;0.508;0.9992003199504179;0.508;0.9992003199504179;0.508;0.9992003199504179;0.0;0.0;0.508;0.9992003199504179;pie_A.xml;pie_B.xml
1.467;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.09181;1.50000;AgentHP2_main_2@46;Middle_C01@47;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
3.163;895;;1000rounds;Yes;No;2;0.67597;0.67700;0.00000;0.28544;1.35297;AgentYK_01@48;Middle_C01@49;0.677;0.6759660118756973;0.677;0.6759660118756973;0.677;0.6759660118756973;0.0;0.0;0.677;0.6759660118756973;pie_A.xml;pie_B.xml
2.189;493;;1000rounds;Yes;No;2;0.50800;0.99920;0.00000;0.08532;1.50720;AgentYK_1@50;Middle_C01@51;0.508;0.9992003199504179;0.508;0.9992003199504179;0.508;0.9992003199504179;0.0;0.0;0.508;0.9992003199504179;pie_A.xml;pie_B.xml
1.752;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.09181;1.50000;AgentYK_2@52;Middle_C01@53;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
2.074;895;;1000rounds;Yes;No;2;0.67597;0.67700;0.00000;0.28544;1.35297;AgreeableAgent2018_01@54;Middle_C01@55;0.677;0.6759660118756973;0.677;0.6759660118756973;0.677;0.6759660118756973;0.0;0.0;0.677;0.6759660118756973;pie_A.xml;pie_B.xml
