sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.488;512;;1000rounds;Yes;No;2;0.51000;0.99875;0.00000;0.08356;1.50875;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_k_e_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NullStrategy_t@1080;Middle_C01@1081;0.51;0.9987507809803904;0.51;0.9987507809803904;0.51;0.9987507809803904;0.0;0.0;0.51;0.9987507809803904;pie_A.xml;pie_B.xml
0.919;900;;1000rounds;Yes;No;2;0.66998;0.67900;0.00000;0.29174;1.34898;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_min_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NullStrategy_t@1082;Middle_C01@1083;0.679;0.6699766070243486;0.679;0.6699766070243486;0.679;0.6699766070243486;0.0;0.0;0.679;0.6699766070243486;pie_A.xml;pie_B.xml
0.266;272;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.09181;1.50000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NullStrategy_t@1084;Middle_C01@1085;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.469;512;;1000rounds;Yes;No;2;0.51000;0.99875;0.00000;0.08356;1.50875;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_max_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.PerfectModel-negotiator.boaframework.omstrategy.NullStrategy_t@1086;Middle_C01@1087;0.51;0.9987507809803904;0.51;0.9987507809803904;0.51;0.9987507809803904;0.0;0.0;0.51;0.9987507809803904;pie_A.xml;pie_B.xml
0.770;900;;1000rounds;Yes;No;2;0.66998;0.67900;0.00000;0.29174;1.34898;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_max_min_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.PerfectModel-negotiator.boaframework.omstrategy.NullStrategy_t@1088;Middle_C01@1089;0.679;0.6699766070243486;0.679;0.6699766070243486;0.679;0.6699766070243486;0.0;0.0;0.679;0.6699766070243486;pie_A.xml;pie_B.xml
0.439;272;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.09181;1.50000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.PerfectModel-negotiator.boaframework.omstrategy.NullStrategy_t@1090;Middle_C01@1091;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.539;512;;1000rounds;Yes;No;2;0.51000;0.99875;0.00000;0.08356;1.50875;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_e_max_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.PerfectScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@1092;Middle_C01@1093;0.51;0.9987507809803904;0.51;0.9987507809803904;0.51;0.9987507809803904;0.0;0.0;0.51;0.9987507809803904;pie_A.xml;pie_B.xml
1.127;900;;1000rounds;Yes;No;2;0.66998;0.67900;0.00000;0.29174;1.34898;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.PerfectScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@1094;Middle_C01@1095;0.679;0.6699766070243486;0.679;0.6699766070243486;0.679;0.6699766070243486;0.0;0.0;0.679;0.6699766070243486;pie_A.xml;pie_B.xml
0.325;272;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.09181;1.50000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_max_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.PerfectScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@1096;Middle_C01@1097;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.607;512;;1000rounds;Yes;No;2;0.51000;0.99875;0.00000;0.08356;1.50875;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_k_min_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-C..Users.M.H.Desktop.myproject.myproject.bin.performance_opponents.HardDealer_OM_l-negotiator.boaframework.omstrategy.NullStrategy_t@1098;Middle_C01@1099;0.51;0.9987507809803904;0.51;0.9987507809803904;0.51;0.9987507809803904;0.0;0.0;0.51;0.9987507809803904;pie_A.xml;pie_B.xml
