sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
14.346;674;;1000rounds;Yes;No;2;0.98067;0.98179;0.00182;0.01635;1.96246;AgentBuyogMain_c01@54;Middle_C01@55;0.9806714629405566;0.9817873379877842;0.9806714629405566;0.9817873379877842;0.9806714629405566;0.9817873379877842;0.0;0.0;0.9806714629405566;0.9817873379877842;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
7.362;383;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.37732;1.61871;AgentBuyogMain_c1@56;Middle_C01@57;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
2.701;147;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.37732;1.61871;AgentBuyogMain_c2@58;Middle_C01@59;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.691;674;;1000rounds;Yes;No;2;0.98067;0.98179;0.00182;0.01635;1.96246;AgentHP2_main_01@60;Middle_C01@61;0.9806714629405566;0.9817873379877842;0.9806714629405566;0.9817873379877842;0.9806714629405566;0.9817873379877842;0.0;0.0;0.9806714629405566;0.9817873379877842;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.415;383;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.37732;1.61871;AgentHP2_main_1@62;Middle_C01@63;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.169;147;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.37732;1.61871;AgentHP2_main_2@64;Middle_C01@65;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.704;674;;1000rounds;Yes;No;2;0.98067;0.98179;0.00182;0.01635;1.96246;AgentYK_01@66;Middle_C01@67;0.9806714629405566;0.9817873379877842;0.9806714629405566;0.9817873379877842;0.9806714629405566;0.9817873379877842;0.0;0.0;0.9806714629405566;0.9817873379877842;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.569;539;;1000rounds;Yes;No;2;0.46255;0.99965;0.15616;0.53320;1.46220;AgentYK_1@68;Middle_C01@69;0.4625494470833392;0.9996470148286354;0.4625494470833392;0.9996470148286354;0.4625494470833392;0.9996470148286354;0.0;0.0;0.4625494470833392;0.9996470148286354;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.670;628;;1000rounds;Yes;No;2;0.20847;0.99543;0.41026;0.78696;1.20390;AgentYK_2@70;Middle_C01@71;0.20847111635145402;0.9954273720936005;0.20847111635145402;0.9954273720936005;0.20847111635145402;0.9954273720936005;0.0;0.0;0.20847111635145402;0.9954273720936005;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.693;674;;1000rounds;Yes;No;2;0.98067;0.98179;0.00182;0.01635;1.96246;AgreeableAgent2018_01@72;Middle_C01@73;0.9806714629405566;0.9817873379877842;0.9806714629405566;0.9817873379877842;0.9806714629405566;0.9817873379877842;0.0;0.0;0.9806714629405566;0.9817873379877842;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
