sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
1184.914;697;;1000rounds;Yes;No;2;0.97175;0.97571;0.00000;0.02899;1.94746;AgentBuyogMain_c01@2004;Middle_C01@2005;0.9717469831531436;0.9757141130819547;0.9717469831531436;0.9757141130819547;0.9717469831531436;0.9757141130819547;0.0;0.0;0.9717469831531436;0.9757141130819547;Energy-A-prof1.xml;Energy-A-prof2.xml
598.769;420;;1000rounds;Yes;No;2;0.60270;0.99968;0.01025;0.39846;1.60238;AgentBuyogMain_c1@2036;Middle_C01@2037;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.0;0.0;0.6027032793884187;0.999680792311883;Energy-A-prof1.xml;Energy-A-prof2.xml
320.699;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.09313;0.48119;1.51980;AgentBuyogMain_c2@2038;Middle_C01@2039;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.880;697;;1000rounds;Yes;No;2;0.97175;0.97571;0.00000;0.02899;1.94746;AgentHP2_main_01@2040;Middle_C01@2041;0.9717469831531436;0.9757141130819547;0.9717469831531436;0.9757141130819547;0.9717469831531436;0.9757141130819547;0.0;0.0;0.9717469831531436;0.9757141130819547;Energy-A-prof1.xml;Energy-A-prof2.xml
0.463;420;;1000rounds;Yes;No;2;0.60270;0.99968;0.01025;0.39846;1.60238;AgentHP2_main_1@2042;Middle_C01@2043;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.0;0.0;0.6027032793884187;0.999680792311883;Energy-A-prof1.xml;Energy-A-prof2.xml
0.290;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.09313;0.48119;1.51980;AgentHP2_main_2@2044;Middle_C01@2045;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.798;697;;1000rounds;Yes;No;2;0.97175;0.97571;0.00000;0.02899;1.94746;AgentYK_01@2046;Middle_C01@2047;0.9717469831531436;0.9757141130819547;0.9717469831531436;0.9757141130819547;0.9717469831531436;0.9757141130819547;0.0;0.0;0.9717469831531436;0.9757141130819547;Energy-A-prof1.xml;Energy-A-prof2.xml
0.613;571;;1000rounds;Yes;No;2;0.43057;0.99694;0.18235;0.57010;1.42751;AgentYK_1@2048;Middle_C01@2049;0.4305693371801507;0.9969430156557603;0.4305693371801507;0.9969430156557603;0.4305693371801507;0.9969430156557603;0.0;0.0;0.4305693371801507;0.9969430156557603;Energy-A-prof1.xml;Energy-A-prof2.xml
0.750;628;;1000rounds;Yes;No;2;0.20856;0.99107;0.40443;0.79174;1.19963;AgentYK_2@2050;Middle_C01@2051;0.20855787520017788;0.9910731707739028;0.20855787520017788;0.9910731707739028;0.20855787520017788;0.9910731707739028;0.0;0.0;0.20855787520017788;0.9910731707739028;Energy-A-prof1.xml;Energy-A-prof2.xml
0.954;697;;1000rounds;Yes;No;2;0.97175;0.97571;0.00000;0.02899;1.94746;AgreeableAgent2018_01@2052;Middle_C01@2053;0.9717469831531436;0.9757141130819547;0.9717469831531436;0.9757141130819547;0.9717469831531436;0.9757141130819547;0.0;0.0;0.9717469831531436;0.9757141130819547;Energy-A-prof1.xml;Energy-A-prof2.xml
