sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.860;697;;1000rounds;Yes;No;2;0.97175;0.97571;0.00000;0.02899;1.94746;Agent36_01@2574;Middle_C01@2575;0.9717469831531436;0.9757141130819547;0.9717469831531436;0.9757141130819547;0.9717469831531436;0.9757141130819547;0.0;0.0;0.9717469831531436;0.9757141130819547;Energy-A-prof1.xml;Energy-A-prof2.xml
0.692;420;;1000rounds;Yes;No;2;0.60270;0.99968;0.01025;0.39846;1.60238;Agent36_1@2576;Middle_C01@2577;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.0;0.0;0.6027032793884187;0.999680792311883;Energy-A-prof1.xml;Energy-A-prof2.xml
0.318;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.09313;0.48119;1.51980;Agent36_2@2578;Middle_C01@2579;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
;1;Session genius.core.session.Session@7ab78bbe failed: failed to construct agent : agent init<ConDAgent_01@2580,Participant[Party2580,PartyRepositoryItem[ConDAgent_01,C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\condagent_01\ConDAgent_01.class,ANAC2018, is mediator=false],etc/templates/anac/y2012/Energy/Energy-A-prof1.xml]> passed deadline and was killed:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\condagent_01\ConDAgent_01.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Middle_C01.class];1000rounds;No;;0;;;;;;ConDAgent_01;Middle_C01;0.0;0.0;0.0;0.0;;;;;;;Energy-A-prof1;Energy-A-prof2
;1;Session genius.core.session.Session@11cba28b failed: failed to construct agent : agent init<ConDAgent_1@2582,Participant[Party2582,PartyRepositoryItem[ConDAgent_1,C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\condagent_1\ConDAgent_1.class,ANAC2018, is mediator=false],etc/templates/anac/y2012/Energy/Energy-A-prof1.xml]> passed deadline and was killed:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\condagent_1\ConDAgent_1.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Middle_C01.class];1000rounds;No;;0;;;;;;ConDAgent_1;Middle_C01;0.0;0.0;0.0;0.0;;;;;;;Energy-A-prof1;Energy-A-prof2
;1;Session genius.core.session.Session@7ef995a0 failed: failed to construct agent : agent init<ConDAgent_2@2584,Participant[Party2584,PartyRepositoryItem[ConDAgent_2,C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\condagent_2\ConDAgent_2.class,ANAC2018, is mediator=false],etc/templates/anac/y2012/Energy/Energy-A-prof1.xml]> passed deadline and was killed:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\condagent_2\ConDAgent_2.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Middle_C01.class];1000rounds;No;;0;;;;;;ConDAgent_2;Middle_C01;0.0;0.0;0.0;0.0;;;;;;;Energy-A-prof1;Energy-A-prof2
1.077;697;;1000rounds;Yes;No;2;0.97175;0.97571;0.00000;0.02899;1.94746;KGAgent_01@2586;Middle_C01@2587;0.9717469831531436;0.9757141130819547;0.9717469831531436;0.9757141130819547;0.9717469831531436;0.9757141130819547;0.0;0.0;0.9717469831531436;0.9757141130819547;Energy-A-prof1.xml;Energy-A-prof2.xml
0.629;420;;1000rounds;Yes;No;2;0.60270;0.99968;0.01025;0.39846;1.60238;KGAgent_1@2588;Middle_C01@2589;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.0;0.0;0.6027032793884187;0.999680792311883;Energy-A-prof1.xml;Energy-A-prof2.xml
0.355;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.09313;0.48119;1.51980;KGAgent_2@2590;Middle_C01@2591;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
1.098;704;;1000rounds;Yes;No;2;0.97177;0.99104;0.00000;0.00931;1.96281;BraveCat_01@2592;Middle_C01@2593;0.9910400798657122;0.9717669297142073;0.9910400798657122;0.9717669297142073;0.0;0.9717669297142073;0.0;0.0;0.9910400798657122;0.9717669297142073;Energy-A-prof1.xml;Energy-A-prof2.xml
