sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
5.977;420;;1000rounds;Yes;No;2;0.60270;0.99968;0.01025;0.39846;1.60238;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_max_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@3386;Middle_C01@3387;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.0;0.0;0.6027032793884187;0.999680792311883;Energy-A-prof1.xml;Energy-A-prof2.xml
0.808;704;;1000rounds;Yes;No;2;0.97177;0.99104;0.00000;0.00931;1.96281;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_e_k_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@3390;Middle_C01@3391;0.9910400798657122;0.9717669297142073;0.9910400798657122;0.9717669297142073;0.9910400798657122;0.9717669297142073;0.0;0.0;0.9910400798657122;0.9717669297142073;Energy-A-prof1.xml;Energy-A-prof2.xml
0.919;675;;1000rounds;Yes;No;2;0.23758;0.97978;0.09541;0.48167;1.21736;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@3392;Middle_C01@3393;0.23758334824560834;0.979780813006107;0.23758334824560834;0.979780813006107;0.23758334824560834;0.979780813006107;0.0;0.0;0.23758334824560834;0.979780813006107;Energy-A-prof1.xml;Energy-A-prof2.xml
1.476;729;;1000rounds;Yes;No;2;0.32049;0.95924;0.01021;0.40471;1.27973;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_e_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@3394;Middle_C01@3395;0.3204906881655898;0.9592379045449949;0.3204906881655898;0.9592379045449949;0.3204906881655898;0.9592379045449949;0.0;0.0;0.3204906881655898;0.9592379045449949;Energy-A-prof1.xml;Energy-A-prof2.xml
1.717;917;;1000rounds;Yes;No;2;0.59274;0.64604;0.02391;0.09832;1.23878;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.SmithFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@3396;Middle_C01@3397;0.646036747504213;0.5927416583946372;0.646036747504213;0.5927416583946372;0.646036747504213;0.5927416583946372;0.0;0.0;0.646036747504213;0.5927416583946372;Energy-A-prof1.xml;Energy-A-prof2.xml
1.500;675;;1000rounds;Yes;No;2;0.23758;0.97978;0.09541;0.48167;1.21736;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_min_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@3398;Middle_C01@3399;0.23758334824560834;0.979780813006107;0.23758334824560834;0.979780813006107;0.23758334824560834;0.979780813006107;0.0;0.0;0.23758334824560834;0.979780813006107;Energy-A-prof1.xml;Energy-A-prof2.xml
1.588;729;;1000rounds;Yes;No;2;0.32049;0.95924;0.01021;0.40471;1.27973;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.SmithFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@3400;Middle_C01@3401;0.3204906881655898;0.9592379045449949;0.3204906881655898;0.9592379045449949;0.3204906881655898;0.9592379045449949;0.0;0.0;0.3204906881655898;0.9592379045449949;Energy-A-prof1.xml;Energy-A-prof2.xml
1.825;917;;1000rounds;Yes;No;2;0.59274;0.64604;0.02391;0.09832;1.23878;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_e_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@3402;Middle_C01@3403;0.646036747504213;0.5927416583946372;0.646036747504213;0.5927416583946372;0.646036747504213;0.5927416583946372;0.0;0.0;0.646036747504213;0.5927416583946372;Energy-A-prof1.xml;Energy-A-prof2.xml
0.897;675;;1000rounds;Yes;No;2;0.23758;0.97978;0.09541;0.48167;1.21736;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_max_min_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@3404;Middle_C01@3405;0.23758334824560834;0.979780813006107;0.23758334824560834;0.979780813006107;0.23758334824560834;0.979780813006107;0.0;0.0;0.23758334824560834;0.979780813006107;Energy-A-prof1.xml;Energy-A-prof2.xml
1.037;729;;1000rounds;Yes;No;2;0.32049;0.95924;0.01021;0.40471;1.27973;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@3406;Middle_C01@3407;0.3204906881655898;0.9592379045449949;0.3204906881655898;0.9592379045449949;0.3204906881655898;0.9592379045449949;0.0;0.0;0.3204906881655898;0.9592379045449949;Energy-A-prof1.xml;Energy-A-prof2.xml
