sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
3.775;729;;1000rounds;Yes;No;2;0.32049;0.95924;0.01021;0.40471;1.27973;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_k_e_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NullStrategy_t@4024;Middle_C01@4025;0.3204906881655898;0.9592379045449949;0.3204906881655898;0.9592379045449949;0.3204906881655898;0.9592379045449949;0.0;0.0;0.3204906881655898;0.9592379045449949;Energy-A-prof1.xml;Energy-A-prof2.xml
2.003;704;;1000rounds;Yes;No;2;0.97177;0.99104;0.00000;0.00931;1.96281;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_min_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NullStrategy_t@4026;Middle_C01@4027;0.9910400798657122;0.9717669297142073;0.9910400798657122;0.9717669297142073;0.9910400798657122;0.9717669297142073;0.0;0.0;0.9910400798657122;0.9717669297142073;Energy-A-prof1.xml;Energy-A-prof2.xml
0.369;242;;1000rounds;Yes;No;2;0.51980;1.00000;0.09313;0.48119;1.51980;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NullStrategy_t@4028;Middle_C01@4029;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.522;420;;1000rounds;Yes;No;2;0.60270;0.99968;0.01025;0.39846;1.60238;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_max_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.PerfectModel-negotiator.boaframework.omstrategy.NullStrategy_t@4030;Middle_C01@4031;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.0;0.0;0.6027032793884187;0.999680792311883;Energy-A-prof1.xml;Energy-A-prof2.xml
1.093;704;;1000rounds;Yes;No;2;0.97177;0.99104;0.00000;0.00931;1.96281;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_max_min_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.PerfectModel-negotiator.boaframework.omstrategy.NullStrategy_t@4032;Middle_C01@4033;0.9910400798657122;0.9717669297142073;0.9910400798657122;0.9717669297142073;0.9910400798657122;0.9717669297142073;0.0;0.0;0.9910400798657122;0.9717669297142073;Energy-A-prof1.xml;Energy-A-prof2.xml
0.427;242;;1000rounds;Yes;No;2;0.51980;1.00000;0.09313;0.48119;1.51980;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.PerfectModel-negotiator.boaframework.omstrategy.NullStrategy_t@4034;Middle_C01@4035;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.875;420;;1000rounds;Yes;No;2;0.60270;0.99968;0.01025;0.39846;1.60238;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_e_max_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.PerfectScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@4038;Middle_C01@4039;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.6027032793884187;0.999680792311883;0.0;0.0;0.6027032793884187;0.999680792311883;Energy-A-prof1.xml;Energy-A-prof2.xml
1.709;704;;1000rounds;Yes;No;2;0.97177;0.99104;0.00000;0.00931;1.96281;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.PerfectScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@4042;Middle_C01@4043;0.9910400798657122;0.9717669297142073;0.9910400798657122;0.9717669297142073;0.9910400798657122;0.9717669297142073;0.0;0.0;0.9910400798657122;0.9717669297142073;Energy-A-prof1.xml;Energy-A-prof2.xml
0.453;242;;1000rounds;Yes;No;2;0.51980;1.00000;0.09313;0.48119;1.51980;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_max_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.PerfectScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@4046;Middle_C01@4047;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
;1;Session genius.core.session.Session@123aa054 failed: failed to construct agent : agent init<Middle_C01@4051,Participant[Party4051,PartyRepositoryItem[Middle_C01,C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Middle_C01.class,Singly_Peaked Bidding Agent, is mediator=false],etc/templates/anac/y2012/Energy/Energy-A-prof2.xml]> passed deadline and was killed:[boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_k_min_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-C..Users.M.H.Desktop.myproject.myproject.bin.performance_opponents.HardDealer_OM_l-negotiator.boaframework.omstrategy.NullStrategy_t, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\Middle_C01.class];1000rounds;No;;0;;;;;;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_k_min_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-C..Users.M.H.Desktop.myproject.myproject.bin.performance_opponents.HardDealer_OM_l-negotiator.boaframework.omstrategy.NullStrategy_t;Middle_C01;0.0;0.0;0.0;0.0;;;;;;;Energy-A-prof1;Energy-A-prof2
