sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
3.204;649;;1000rounds;Yes;No;2;0.98637;1.00000;0.00000;0.00000;1.98637;AgentBuyogMain_c01@64;half_Right_C01@65;1.0;0.9863651258394415;1.0;0.9863651258394415;1.0;0.9863651258394415;0.0;0.0;1.0;0.9863651258394415;Barter-A-prof1.xml;Barter-A-prof2.xml
1.892;522;;1000rounds;Yes;No;2;0.47800;0.99840;0.00000;0.52214;1.47640;AgentBuyogMain_c1@66;half_Right_C01@67;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.0;0.0;0.47800000000000004;0.998402173854418;Barter-A-prof1.xml;Barter-A-prof2.xml
1.392;434;;1000rounds;Yes;No;2;0.32400;0.99968;0.00000;0.67613;1.32368;AgentBuyogMain_c2@68;half_Right_C01@69;0.324;0.9996801279801673;0.324;0.9996801279801673;0.324;0.9996801279801673;0.0;0.0;0.324;0.9996801279801673;Barter-A-prof1.xml;Barter-A-prof2.xml
0.774;649;;1000rounds;Yes;No;2;0.98637;1.00000;0.00000;0.00000;1.98637;AgentHP2_main_01@70;half_Right_C01@71;1.0;0.9863651258394415;1.0;0.9863651258394415;1.0;0.9863651258394415;0.0;0.0;1.0;0.9863651258394415;Barter-A-prof1.xml;Barter-A-prof2.xml
0.570;522;;1000rounds;Yes;No;2;0.47800;0.99840;0.00000;0.52214;1.47640;AgentHP2_main_1@72;half_Right_C01@73;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.0;0.0;0.47800000000000004;0.998402173854418;Barter-A-prof1.xml;Barter-A-prof2.xml
0.492;434;;1000rounds;Yes;No;2;0.32400;0.99968;0.00000;0.67613;1.32368;AgentHP2_main_2@74;half_Right_C01@75;0.324;0.9996801279801673;0.324;0.9996801279801673;0.324;0.9996801279801673;0.0;0.0;0.324;0.9996801279801673;Barter-A-prof1.xml;Barter-A-prof2.xml
0.767;649;;1000rounds;Yes;No;2;0.98637;1.00000;0.00000;0.00000;1.98637;AgentYK_01@76;half_Right_C01@77;1.0;0.9863651258394415;1.0;0.9863651258394415;1.0;0.9863651258394415;0.0;0.0;1.0;0.9863651258394415;Barter-A-prof1.xml;Barter-A-prof2.xml
0.590;522;;1000rounds;Yes;No;2;0.47800;0.99840;0.00000;0.52214;1.47640;AgentYK_1@78;half_Right_C01@79;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.0;0.0;0.47800000000000004;0.998402173854418;Barter-A-prof1.xml;Barter-A-prof2.xml
0.486;434;;1000rounds;Yes;No;2;0.32400;0.99968;0.00000;0.67613;1.32368;AgentYK_2@80;half_Right_C01@81;0.324;0.9996801279801673;0.324;0.9996801279801673;0.324;0.9996801279801673;0.0;0.0;0.324;0.9996801279801673;Barter-A-prof1.xml;Barter-A-prof2.xml
0.766;649;;1000rounds;Yes;No;2;0.98637;1.00000;0.00000;0.00000;1.98637;AgreeableAgent2018_01@82;half_Right_C01@83;1.0;0.9863651258394415;1.0;0.9863651258394415;1.0;0.9863651258394415;0.0;0.0;1.0;0.9863651258394415;Barter-A-prof1.xml;Barter-A-prof2.xml
0.607;522;;1000rounds;Yes;No;2;0.47800;0.99840;0.00000;0.52214;1.47640;AgreeableAgent2018_1@84;half_Right_C01@85;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.0;0.0;0.47800000000000004;0.998402173854418;Barter-A-prof1.xml;Barter-A-prof2.xml
0.473;434;;1000rounds;Yes;No;2;0.32400;0.99968;0.00000;0.67613;1.32368;AgreeableAgent2018_2@86;half_Right_C01@87;0.324;0.9996801279801673;0.324;0.9996801279801673;0.324;0.9996801279801673;0.0;0.0;0.324;0.9996801279801673;Barter-A-prof1.xml;Barter-A-prof2.xml
0.793;649;;1000rounds;Yes;No;2;0.98637;1.00000;0.00000;0.00000;1.98637;GeneKing_01@88;half_Right_C01@89;1.0;0.9863651258394415;1.0;0.9863651258394415;1.0;0.9863651258394415;0.0;0.0;1.0;0.9863651258394415;Barter-A-prof1.xml;Barter-A-prof2.xml
0.593;522;;1000rounds;Yes;No;2;0.47800;0.99840;0.00000;0.52214;1.47640;GeneKing_1@90;half_Right_C01@91;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.0;0.0;0.47800000000000004;0.998402173854418;Barter-A-prof1.xml;Barter-A-prof2.xml
0.476;434;;1000rounds;Yes;No;2;0.32400;0.99968;0.00000;0.67613;1.32368;GeneKing_2@92;half_Right_C01@93;0.324;0.9996801279801673;0.324;0.9996801279801673;0.324;0.9996801279801673;0.0;0.0;0.324;0.9996801279801673;Barter-A-prof1.xml;Barter-A-prof2.xml
0.836;649;;1000rounds;Yes;No;2;0.98637;1.00000;0.00000;0.00000;1.98637;GroupY_01@94;half_Right_C01@95;1.0;0.9863651258394415;1.0;0.9863651258394415;1.0;0.9863651258394415;0.0;0.0;1.0;0.9863651258394415;Barter-A-prof1.xml;Barter-A-prof2.xml
0.717;522;;1000rounds;Yes;No;2;0.47800;0.99840;0.00000;0.52214;1.47640;GroupY_1@96;half_Right_C01@97;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.0;0.0;0.47800000000000004;0.998402173854418;Barter-A-prof1.xml;Barter-A-prof2.xml
0.485;434;;1000rounds;Yes;No;2;0.32400;0.99968;0.00000;0.67613;1.32368;GroupY_2@98;half_Right_C01@99;0.324;0.9996801279801673;0.324;0.9996801279801673;0.324;0.9996801279801673;0.0;0.0;0.324;0.9996801279801673;Barter-A-prof1.xml;Barter-A-prof2.xml
0.765;633;;1000rounds;Yes;No;2;0.87200;0.99017;0.00000;0.12806;1.86217;JonnyBlack_01@100;half_Right_C01@101;0.8720000000000001;0.9901745428516052;0.8720000000000001;0.9901745428516052;0.8720000000000001;0.9901745428516052;0.0;0.0;0.8720000000000001;0.9901745428516052;Barter-A-prof1.xml;Barter-A-prof2.xml
0.013;12;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.76612;1.23400;JonnyBlack_1@102;half_Right_C01@103;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
;2;Session genius.core.session.Session@7ba96a41 failed: Failed to execute protocol: Execution failed of JonnyBlack_2@104:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\half_Right_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_2;half_Right_C01;0.0;0.0;0.0;0.0;;;;;;;Barter-A-prof1;Barter-A-prof2
0.732;649;;1000rounds;Yes;No;2;0.98637;1.00000;0.00000;0.00000;1.98637;Mamenchis_01@106;half_Right_C01@107;1.0;0.9863651258394415;1.0;0.9863651258394415;1.0;0.9863651258394415;0.0;0.0;1.0;0.9863651258394415;Barter-A-prof1.xml;Barter-A-prof2.xml
0.606;522;;1000rounds;Yes;No;2;0.47800;0.99840;0.00000;0.52214;1.47640;Mamenchis_1@108;half_Right_C01@109;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.0;0.0;0.47800000000000004;0.998402173854418;Barter-A-prof1.xml;Barter-A-prof2.xml
0.504;434;;1000rounds;Yes;No;2;0.32400;0.99968;0.00000;0.67613;1.32368;Mamenchis_2@110;half_Right_C01@111;0.324;0.9996801279801673;0.324;0.9996801279801673;0.324;0.9996801279801673;0.0;0.0;0.324;0.9996801279801673;Barter-A-prof1.xml;Barter-A-prof2.xml
0.845;649;;1000rounds;Yes;No;2;0.98637;1.00000;0.00000;0.00000;1.98637;Mosa_01@112;half_Right_C01@113;1.0;0.9863651258394415;1.0;0.9863651258394415;1.0;0.9863651258394415;0.0;0.0;1.0;0.9863651258394415;Barter-A-prof1.xml;Barter-A-prof2.xml
0.584;522;;1000rounds;Yes;No;2;0.47800;0.99840;0.00000;0.52214;1.47640;Mosa_1@114;half_Right_C01@115;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.0;0.0;0.47800000000000004;0.998402173854418;Barter-A-prof1.xml;Barter-A-prof2.xml
0.582;434;;1000rounds;Yes;No;2;0.32400;0.99968;0.00000;0.67613;1.32368;Mosa_2@116;half_Right_C01@117;0.324;0.9996801279801673;0.324;0.9996801279801673;0.324;0.9996801279801673;0.0;0.0;0.324;0.9996801279801673;Barter-A-prof1.xml;Barter-A-prof2.xml
0.905;649;;1000rounds;Yes;No;2;0.98637;1.00000;0.00000;0.00000;1.98637;RandomDance_01@118;half_Right_C01@119;1.0;0.9863651258394415;1.0;0.9863651258394415;1.0;0.9863651258394415;0.0;0.0;1.0;0.9863651258394415;Barter-A-prof1.xml;Barter-A-prof2.xml
0.727;528;;1000rounds;Yes;No;2;0.47800;0.99840;0.00000;0.52214;1.47640;RandomDance_1@120;half_Right_C01@121;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.0;0.0;0.47800000000000004;0.998402173854418;Barter-A-prof1.xml;Barter-A-prof2.xml
0.607;459;;1000rounds;Yes;No;2;0.32400;0.99968;0.00000;0.67613;1.32368;RandomDance_2@122;half_Right_C01@123;0.324;0.9996801279801673;0.324;0.9996801279801673;0.324;0.9996801279801673;0.0;0.0;0.324;0.9996801279801673;Barter-A-prof1.xml;Barter-A-prof2.xml
0.775;649;;1000rounds;Yes;No;2;0.98637;1.00000;0.00000;0.00000;1.98637;Agent36_01@124;half_Right_C01@125;1.0;0.9863651258394415;1.0;0.9863651258394415;1.0;0.9863651258394415;0.0;0.0;1.0;0.9863651258394415;Barter-A-prof1.xml;Barter-A-prof2.xml
0.552;522;;1000rounds;Yes;No;2;0.47800;0.99840;0.00000;0.52214;1.47640;Agent36_1@126;half_Right_C01@127;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.0;0.0;0.47800000000000004;0.998402173854418;Barter-A-prof1.xml;Barter-A-prof2.xml
0.532;434;;1000rounds;Yes;No;2;0.32400;0.99968;0.00000;0.67613;1.32368;Agent36_2@128;half_Right_C01@129;0.324;0.9996801279801673;0.324;0.9996801279801673;0.324;0.9996801279801673;0.0;0.0;0.324;0.9996801279801673;Barter-A-prof1.xml;Barter-A-prof2.xml
0.689;649;;1000rounds;Yes;No;2;0.98637;1.00000;0.00000;0.00000;1.98637;ConDAgent_01@130;half_Right_C01@131;1.0;0.9863651258394415;1.0;0.9863651258394415;1.0;0.9863651258394415;0.0;0.0;1.0;0.9863651258394415;Barter-A-prof1.xml;Barter-A-prof2.xml
0.631;522;;1000rounds;Yes;No;2;0.47800;0.99840;0.00000;0.52214;1.47640;ConDAgent_1@132;half_Right_C01@133;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.47800000000000004;0.998402173854418;0.0;0.0;0.47800000000000004;0.998402173854418;Barter-A-prof1.xml;Barter-A-prof2.xml
