sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
16.698;826;;1000rounds;Yes;No;2;0.85691;0.99346;0.00000;0.00000;1.85037;AgentBuyogMain_c01@2088;half_Right_C01@2089;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.0;0.0;0.8569103713906172;0.9934565068706902;MyAirport_util1.xml;MyAirport_util2.xml
18.058;600;;1000rounds;Yes;No;2;0.52336;0.99422;0.00000;0.33355;1.51758;AgentBuyogMain_c1@2090;half_Right_C01@2091;0.5233569338672828;0.9942196860144026;0.5233569338672828;0.9942196860144026;0.5233569338672828;0.9942196860144026;0.0;0.0;0.5233569338672828;0.9942196860144026;MyAirport_util1.xml;MyAirport_util2.xml
14.914;599;;1000rounds;Yes;No;2;0.22249;0.99429;0.00000;0.63442;1.21678;AgentBuyogMain_c2@2092;half_Right_C01@2093;0.2224915590926291;0.9942928658203012;0.2224915590926291;0.9942928658203012;0.2224915590926291;0.9942928658203012;0.0;0.0;0.2224915590926291;0.9942928658203012;MyAirport_util1.xml;MyAirport_util2.xml
6.829;815;;1000rounds;Yes;No;2;0.85691;0.99346;0.00000;0.00000;1.85037;AgentHP2_main_01@2094;half_Right_C01@2095;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.0;0.0;0.8569103713906172;0.9934565068706902;MyAirport_util1.xml;MyAirport_util2.xml
4.473;600;;1000rounds;Yes;No;2;0.52336;0.99422;0.00000;0.33355;1.51758;AgentHP2_main_1@2096;half_Right_C01@2097;0.5233569338672828;0.9942196860144026;0.5233569338672828;0.9942196860144026;0.5233569338672828;0.9942196860144026;0.0;0.0;0.5233569338672828;0.9942196860144026;MyAirport_util1.xml;MyAirport_util2.xml
6.240;599;;1000rounds;Yes;No;2;0.22249;0.99429;0.00000;0.63442;1.21678;AgentHP2_main_2@2098;half_Right_C01@2099;0.2224915590926291;0.9942928658203012;0.2224915590926291;0.9942928658203012;0.2224915590926291;0.9942928658203012;0.0;0.0;0.2224915590926291;0.9942928658203012;MyAirport_util1.xml;MyAirport_util2.xml
5.638;826;;1000rounds;Yes;No;2;0.85691;0.99346;0.00000;0.00000;1.85037;AgentYK_01@2100;half_Right_C01@2101;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.0;0.0;0.8569103713906172;0.9934565068706902;MyAirport_util1.xml;MyAirport_util2.xml
3.752;619;;1000rounds;Yes;No;2;0.37447;0.99429;0.00000;0.48244;1.36876;AgentYK_1@2102;half_Right_C01@2103;0.3744664186817884;0.9942902658305055;0.3744664186817884;0.9942902658305055;0.3744664186817884;0.9942902658305055;0.0;0.0;0.3744664186817884;0.9942902658305055;MyAirport_util1.xml;MyAirport_util2.xml
7.128;599;;1000rounds;Yes;No;2;0.22249;0.99429;0.00000;0.63442;1.21678;AgentYK_2@2104;half_Right_C01@2105;0.2224915590926291;0.9942928658203012;0.2224915590926291;0.9942928658203012;0.2224915590926291;0.9942928658203012;0.0;0.0;0.2224915590926291;0.9942928658203012;MyAirport_util1.xml;MyAirport_util2.xml
7.906;826;;1000rounds;Yes;No;2;0.85691;0.99346;0.00000;0.00000;1.85037;AgreeableAgent2018_01@2106;half_Right_C01@2107;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.0;0.0;0.8569103713906172;0.9934565068706902;MyAirport_util1.xml;MyAirport_util2.xml
5.716;600;;1000rounds;Yes;No;2;0.52336;0.99422;0.00000;0.33355;1.51758;AgreeableAgent2018_1@2108;half_Right_C01@2109;0.5233569338672828;0.9942196860144026;0.5233569338672828;0.9942196860144026;0.5233569338672828;0.9942196860144026;0.0;0.0;0.5233569338672828;0.9942196860144026;MyAirport_util1.xml;MyAirport_util2.xml
3.107;599;;1000rounds;Yes;No;2;0.22249;0.99429;0.00000;0.63442;1.21678;AgreeableAgent2018_2@2110;half_Right_C01@2111;0.2224915590926291;0.9942928658203012;0.2224915590926291;0.9942928658203012;0.2224915590926291;0.9942928658203012;0.0;0.0;0.2224915590926291;0.9942928658203012;MyAirport_util1.xml;MyAirport_util2.xml
7.130;826;;1000rounds;Yes;No;2;0.85691;0.99346;0.00000;0.00000;1.85037;GeneKing_01@2112;half_Right_C01@2113;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.0;0.0;0.8569103713906172;0.9934565068706902;MyAirport_util1.xml;MyAirport_util2.xml
5.448;600;;1000rounds;Yes;No;2;0.52336;0.99422;0.00000;0.33355;1.51758;GeneKing_1@2114;half_Right_C01@2115;0.5233569338672828;0.9942196860144026;0.5233569338672828;0.9942196860144026;0.5233569338672828;0.9942196860144026;0.0;0.0;0.5233569338672828;0.9942196860144026;MyAirport_util1.xml;MyAirport_util2.xml
5.267;599;;1000rounds;Yes;No;2;0.22249;0.99429;0.00000;0.63442;1.21678;GeneKing_2@2116;half_Right_C01@2117;0.2224915590926291;0.9942928658203012;0.2224915590926291;0.9942928658203012;0.2224915590926291;0.9942928658203012;0.0;0.0;0.2224915590926291;0.9942928658203012;MyAirport_util1.xml;MyAirport_util2.xml
6.031;826;;1000rounds;Yes;No;2;0.85691;0.99346;0.00000;0.00000;1.85037;GroupY_01@2118;half_Right_C01@2119;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.0;0.0;0.8569103713906172;0.9934565068706902;MyAirport_util1.xml;MyAirport_util2.xml
3.672;600;;1000rounds;Yes;No;2;0.52336;0.99422;0.00000;0.33355;1.51758;GroupY_1@2120;half_Right_C01@2121;0.5233569338672828;0.9942196860144026;0.5233569338672828;0.9942196860144026;0.5233569338672828;0.9942196860144026;0.0;0.0;0.5233569338672828;0.9942196860144026;MyAirport_util1.xml;MyAirport_util2.xml
2.533;599;;1000rounds;Yes;No;2;0.22249;0.99429;0.00000;0.63442;1.21678;GroupY_2@2122;half_Right_C01@2123;0.2224915590926291;0.9942928658203012;0.2224915590926291;0.9942928658203012;0.2224915590926291;0.9942928658203012;0.0;0.0;0.2224915590926291;0.9942928658203012;MyAirport_util1.xml;MyAirport_util2.xml
2.779;633;;1000rounds;Yes;No;2;0.85691;0.99346;0.00000;0.00000;1.85037;JonnyBlack_01@2124;half_Right_C01@2125;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.0;0.0;0.8569103713906172;0.9934565068706902;MyAirport_util1.xml;MyAirport_util2.xml
0.178;12;;1000rounds;Yes;No;2;0.12117;0.99429;0.00000;0.73574;1.11547;JonnyBlack_1@2126;half_Right_C01@2127;0.12117498603318957;0.994293505819863;0.12117498603318957;0.994293505819863;0.12117498603318957;0.994293505819863;0.0;0.0;0.12117498603318957;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
;2;Session genius.core.session.Session@414ec71c failed: Failed to execute protocol: Execution failed of JonnyBlack_2@2128:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\half_Right_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_2;half_Right_C01;0.0;0.0;0.0;0.0;;;;;;;MyAirport_util1;MyAirport_util2
4.696;826;;1000rounds;Yes;No;2;0.85691;0.99346;0.00000;0.00000;1.85037;Mamenchis_01@2130;half_Right_C01@2131;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.8569103713906172;0.9934565068706902;0.0;0.0;0.8569103713906172;0.9934565068706902;MyAirport_util1.xml;MyAirport_util2.xml
