sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
12.620;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentBuyogMain_c01@8190;half_Right_C01@8191;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.431;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentBuyogMain_c1@8192;half_Right_C01@8193;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.022;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentBuyogMain_c2@8194;half_Right_C01@8195;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
5.830;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentHP2_main_01@8196;half_Right_C01@8197;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.731;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentHP2_main_1@8198;half_Right_C01@8199;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.019;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentHP2_main_2@8200;half_Right_C01@8201;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
6.823;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentYK_01@8202;half_Right_C01@8203;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.757;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentYK_1@8204;half_Right_C01@8205;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.146;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentYK_2@8206;half_Right_C01@8207;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
6.196;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgreeableAgent2018_01@8208;half_Right_C01@8209;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.265;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgreeableAgent2018_1@8210;half_Right_C01@8211;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.031;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgreeableAgent2018_2@8212;half_Right_C01@8213;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.783;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;GeneKing_01@8214;half_Right_C01@8215;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.527;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;GeneKing_1@8216;half_Right_C01@8217;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.032;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;GeneKing_2@8218;half_Right_C01@8219;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.194;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;GroupY_01@8220;half_Right_C01@8221;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.873;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;GroupY_1@8222;half_Right_C01@8223;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.026;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;GroupY_2@8224;half_Right_C01@8225;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
5.624;771;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;JonnyBlack_01@8226;half_Right_C01@8227;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.115;74;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;JonnyBlack_1@8228;half_Right_C01@8229;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.134;7;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;JonnyBlack_2@8230;half_Right_C01@8231;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
6.797;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;Mamenchis_01@8232;half_Right_C01@8233;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.328;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;Mamenchis_1@8234;half_Right_C01@8235;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.023;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;Mamenchis_2@8236;half_Right_C01@8237;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
7.137;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;Mosa_01@8238;half_Right_C01@8239;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.493;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;Mosa_1@8240;half_Right_C01@8241;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.015;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;Mosa_2@8242;half_Right_C01@8243;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
6.832;770;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;RandomDance_01@8244;half_Right_C01@8245;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.374;72;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;RandomDance_1@8246;half_Right_C01@8247;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.056;7;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;RandomDance_2@8248;half_Right_C01@8249;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.862;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;Agent36_01@8250;half_Right_C01@8251;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.596;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;Agent36_1@8252;half_Right_C01@8253;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.033;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;Agent36_2@8254;half_Right_C01@8255;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
