sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.008;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBuyogMain_c01@36;half_Right_C01@37;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;pie_A.xml;pie_B.xml
0.047;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBuyogMain_c1@38;half_Right_C01@39;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;pie_A.xml;pie_B.xml
0.099;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBuyogMain_c2@40;half_Right_C01@41;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;pie_A.xml;pie_B.xml
0.014;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentHP2_main_01@42;half_Right_C01@43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;pie_A.xml;pie_B.xml
0.028;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentHP2_main_1@44;half_Right_C01@45;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;pie_A.xml;pie_B.xml
0.034;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentHP2_main_2@46;half_Right_C01@47;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;pie_A.xml;pie_B.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentYK_01@48;half_Right_C01@49;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;pie_A.xml;pie_B.xml
1.289;1001;;1000rounds;No;No;1;0.00000;0.00000;1.41421;1.41421;0.00000;AgentYK_1@50;half_Right_C01@51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pie_A.xml;pie_B.xml
1.371;1001;;1000rounds;No;No;1;0.00000;0.00000;1.41421;1.41421;0.00000;AgentYK_2@52;half_Right_C01@53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pie_A.xml;pie_B.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgreeableAgent2018_01@54;half_Right_C01@55;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;pie_A.xml;pie_B.xml
0.015;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgreeableAgent2018_1@56;half_Right_C01@57;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;pie_A.xml;pie_B.xml
0.012;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgreeableAgent2018_2@58;half_Right_C01@59;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;pie_A.xml;pie_B.xml
