sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
20.911;920;;1000rounds;Yes;No;2;0.57795;0.57916;0.11579;0.22925;1.15710;AgentBuyogMain_c01@0;half_Right_C01@1;0.5779479100464989;0.5791559833054852;0.5779479100464989;0.5791559833054852;0.5779479100464989;0.5791559833054852;0.0;0.0;0.5779479100464989;0.5791559833054852;small2_util1.xml;small2_util2.xml
15.526;746;;1000rounds;Yes;No;2;0.26744;0.94848;0.00000;0.33943;1.21592;AgentBuyogMain_c1@2;half_Right_C01@3;0.26743757123727563;0.9484836505947277;0.26743757123727563;0.9484836505947277;0.26743757123727563;0.9484836505947277;0.0;0.0;0.26743757123727563;0.9484836505947277;small2_util1.xml;small2_util2.xml
12.787;649;;1000rounds;Yes;No;2;0.20125;0.97818;0.00000;0.41198;1.17943;AgentBuyogMain_c2@4;half_Right_C01@5;0.20124732885136318;0.9781838752325334;0.20124732885136318;0.9781838752325334;0.20124732885136318;0.9781838752325334;0.0;0.0;0.20124732885136318;0.9781838752325334;small2_util1.xml;small2_util2.xml
1.093;920;;1000rounds;Yes;No;2;0.57795;0.57916;0.11579;0.22925;1.15710;AgentHP2_main_01@6;half_Right_C01@7;0.5779479100464989;0.5791559833054852;0.5779479100464989;0.5791559833054852;0.5779479100464989;0.5791559833054852;0.0;0.0;0.5779479100464989;0.5791559833054852;small2_util1.xml;small2_util2.xml
0.976;746;;1000rounds;Yes;No;2;0.26744;0.94848;0.00000;0.33943;1.21592;AgentHP2_main_1@8;half_Right_C01@9;0.26743757123727563;0.9484836505947277;0.26743757123727563;0.9484836505947277;0.26743757123727563;0.9484836505947277;0.0;0.0;0.26743757123727563;0.9484836505947277;small2_util1.xml;small2_util2.xml
0.804;649;;1000rounds;Yes;No;2;0.20125;0.97818;0.00000;0.41198;1.17943;AgentHP2_main_2@10;half_Right_C01@11;0.20124732885136318;0.9781838752325334;0.20124732885136318;0.9781838752325334;0.20124732885136318;0.9781838752325334;0.0;0.0;0.20124732885136318;0.9781838752325334;small2_util1.xml;small2_util2.xml
1.155;932;;1000rounds;Yes;No;2;0.51568;0.52054;0.20041;0.29425;1.03622;AgentYK_01@12;half_Right_C01@13;0.5156826027305729;0.5205381320900546;0.5156826027305729;0.5205381320900546;0.5156826027305729;0.5205381320900546;0.0;0.0;0.5156826027305729;0.5205381320900546;small2_util1.xml;small2_util2.xml
0.960;791;;1000rounds;Yes;No;2;0.21083;0.97222;0.00000;0.40079;1.18305;AgentYK_1@14;half_Right_C01@15;0.21083053498714235;0.9722159129068162;0.21083053498714235;0.9722159129068162;0.21083053498714235;0.9722159129068162;0.0;0.0;0.21083053498714235;0.9722159129068162;small2_util1.xml;small2_util2.xml
0.951;796;;1000rounds;Yes;No;2;0.10890;0.93655;0.08801;0.48496;1.04545;AgentYK_2@16;half_Right_C01@17;0.10889803508912108;0.9365483486682777;0.10889803508912108;0.9365483486682777;0.10889803508912108;0.9365483486682777;0.0;0.0;0.10889803508912108;0.9365483486682777;small2_util1.xml;small2_util2.xml
1.090;920;;1000rounds;Yes;No;2;0.57795;0.57916;0.11579;0.22925;1.15710;AgreeableAgent2018_01@18;half_Right_C01@19;0.5779479100464989;0.5791559833054852;0.5779479100464989;0.5791559833054852;0.5779479100464989;0.5791559833054852;0.0;0.0;0.5779479100464989;0.5791559833054852;small2_util1.xml;small2_util2.xml
