sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
1459.666;933;;1000rounds;Yes;No;2;0.51042;0.57342;0.04480;0.07994;1.08384;AgentBuyogMain_c01@48;half_Right_C01@49;0.5104249096274984;0.573418347754688;0.5104249096274984;0.573418347754688;0.5104249096274984;0.573418347754688;0.0;0.0;0.5104249096274984;0.573418347754688;Energy-A-prof1.xml;Energy-A-prof2.xml
1216.424;862;;1000rounds;Yes;No;2;0.21862;0.77322;0.12053;0.43115;0.99183;AgentBuyogMain_c1@50;half_Right_C01@51;0.21861644997855087;0.7732151217685322;0.21861644997855087;0.7732151217685322;0.21861644997855087;0.7732151217685322;0.0;0.0;0.21861644997855087;0.7732151217685322;Energy-A-prof1.xml;Energy-A-prof2.xml
1014.507;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;AgentBuyogMain_c2@52;half_Right_C01@53;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
1.397;933;;1000rounds;Yes;No;2;0.51042;0.57342;0.04480;0.07994;1.08384;AgentHP2_main_01@54;half_Right_C01@55;0.5104249096274984;0.573418347754688;0.5104249096274984;0.573418347754688;0.5104249096274984;0.573418347754688;0.0;0.0;0.5104249096274984;0.573418347754688;Energy-A-prof1.xml;Energy-A-prof2.xml
1.536;786;;1000rounds;Yes;No;2;0.22399;0.91258;0.01022;0.41347;1.13657;AgentHP2_main_1@56;half_Right_C01@57;0.2239900273076991;0.9125797720323537;0.2239900273076991;0.9125797720323537;0.2239900273076991;0.9125797720323537;0.0;0.0;0.2239900273076991;0.9125797720323537;Energy-A-prof1.xml;Energy-A-prof2.xml
1.747;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;AgentHP2_main_2@58;half_Right_C01@59;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
1.195;933;;1000rounds;Yes;No;2;0.51042;0.57342;0.04480;0.07994;1.08384;AgentYK_01@60;half_Right_C01@61;0.5104249096274984;0.573418347754688;0.5104249096274984;0.573418347754688;0.5104249096274984;0.573418347754688;0.0;0.0;0.5104249096274984;0.573418347754688;Energy-A-prof1.xml;Energy-A-prof2.xml
0.898;826;;1000rounds;Yes;No;2;0.17582;0.90507;0.05136;0.44710;1.08089;AgentYK_1@62;half_Right_C01@63;0.175823222509749;0.9050699198918059;0.175823222509749;0.9050699198918059;0.175823222509749;0.9050699198918059;0.0;0.0;0.175823222509749;0.9050699198918059;Energy-A-prof1.xml;Energy-A-prof2.xml
0.909;829;;1000rounds;Yes;No;2;0.09056;0.88076;0.11587;0.50745;0.97132;AgentYK_2@64;half_Right_C01@65;0.09056287416991496;0.8807573073970075;0.09056287416991496;0.8807573073970075;0.09056287416991496;0.8807573073970075;0.0;0.0;0.09056287416991496;0.8807573073970075;Energy-A-prof1.xml;Energy-A-prof2.xml
1.112;933;;1000rounds;Yes;No;2;0.51042;0.57342;0.04480;0.07994;1.08384;AgreeableAgent2018_01@66;half_Right_C01@67;0.5104249096274984;0.573418347754688;0.5104249096274984;0.573418347754688;0.5104249096274984;0.573418347754688;0.0;0.0;0.5104249096274984;0.573418347754688;Energy-A-prof1.xml;Energy-A-prof2.xml
