sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
1.318;792;;1000rounds;Yes;No;2;0.24807;0.90585;0.01022;0.39082;1.15392;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_k_e_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NullStrategy_t@1668;half_Right_C01@1669;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.0;0.0;0.24806922741851706;0.9058477588912196;Energy-A-prof1.xml;Energy-A-prof2.xml
1.209;936;;1000rounds;Yes;No;2;0.49982;0.52403;0.08903;0.14841;1.02385;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_min_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NullStrategy_t@1670;half_Right_C01@1671;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.0;0.0;0.5240317052759118;0.49981902217539986;Energy-A-prof1.xml;Energy-A-prof2.xml
1.173;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NullStrategy_t@1672;half_Right_C01@1673;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
1.045;792;;1000rounds;Yes;No;2;0.24807;0.90585;0.01022;0.39082;1.15392;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_max_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.PerfectModel-negotiator.boaframework.omstrategy.NullStrategy_t@1674;half_Right_C01@1675;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.0;0.0;0.24806922741851706;0.9058477588912196;Energy-A-prof1.xml;Energy-A-prof2.xml
1.974;936;;1000rounds;Yes;No;2;0.49982;0.52403;0.08903;0.14841;1.02385;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_max_min_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.PerfectModel-negotiator.boaframework.omstrategy.NullStrategy_t@1676;half_Right_C01@1677;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.0;0.0;0.5240317052759118;0.49981902217539986;Energy-A-prof1.xml;Energy-A-prof2.xml
0.892;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.PerfectModel-negotiator.boaframework.omstrategy.NullStrategy_t@1678;half_Right_C01@1679;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
1.073;792;;1000rounds;Yes;No;2;0.24807;0.90585;0.01022;0.39082;1.15392;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_e_max_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.PerfectScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@1680;half_Right_C01@1681;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.0;0.0;0.24806922741851706;0.9058477588912196;Energy-A-prof1.xml;Energy-A-prof2.xml
1.230;936;;1000rounds;Yes;No;2;0.49982;0.52403;0.08903;0.14841;1.02385;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.PerfectScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@1682;half_Right_C01@1683;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.0;0.0;0.5240317052759118;0.49981902217539986;Energy-A-prof1.xml;Energy-A-prof2.xml
0.885;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_max_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.PerfectScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@1684;half_Right_C01@1685;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
452.274;792;;1000rounds;Yes;No;2;0.24807;0.90585;0.01022;0.39082;1.15392;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_k_min_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-C..Users.M.H.Desktop.myproject.myproject.bin.performance_opponents.HardDealer_OM_l-negotiator.boaframework.omstrategy.NullStrategy_t@1686;half_Right_C01@1687;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.0;0.0;0.24806922741851706;0.9058477588912196;Energy-A-prof1.xml;Energy-A-prof2.xml
464.009;936;;1000rounds;Yes;No;2;0.49982;0.52403;0.08903;0.14841;1.02385;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_max_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-C..Users.M.H.Desktop.myproject.myproject.bin.performance_opponents.HardDealer_OM_l-negotiator.boaframework.omstrategy.NullStrategy_t@1688;half_Right_C01@1689;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.0;0.0;0.5240317052759118;0.49981902217539986;Energy-A-prof1.xml;Energy-A-prof2.xml
354.147;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_k_max_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-C..Users.M.H.Desktop.myproject.myproject.bin.performance_opponents.HardDealer_OM_l-negotiator.boaframework.omstrategy.NullStrategy_t@1690;half_Right_C01@1691;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
0.876;792;;1000rounds;Yes;No;2;0.24807;0.90585;0.01022;0.39082;1.15392;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_e_k_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-C..Users.M.H.Desktop.myproject.myproject.bin.performance_opponents.Group1_OM_l-negotiator.boaframework.omstrategy.NullStrategy_t@1692;half_Right_C01@1693;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.0;0.0;0.24806922741851706;0.9058477588912196;Energy-A-prof1.xml;Energy-A-prof2.xml
1.226;936;;1000rounds;Yes;No;2;0.49982;0.52403;0.08903;0.14841;1.02385;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_e_k_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-C..Users.M.H.Desktop.myproject.myproject.bin.performance_opponents.Group1_OM_l-negotiator.boaframework.omstrategy.NullStrategy_t@1694;half_Right_C01@1695;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.0;0.0;0.5240317052759118;0.49981902217539986;Energy-A-prof1.xml;Energy-A-prof2.xml
0.916;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_k_max_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-C..Users.M.H.Desktop.myproject.myproject.bin.performance_opponents.Group1_OM_l-negotiator.boaframework.omstrategy.NullStrategy_t@1696;half_Right_C01@1697;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
;1;Session genius.core.session.Session@1e51b6ee failed: failed to construct agent : agent init<boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_max_min_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.FSEGABayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@1698,Participant[Party1698,BoaPartyRepItem[fsaga2010_01,BOA[boa(negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering),[k=0.0, max=1.0, min=0.0, e=0.1]],BOA[boa(negotiator.boaframework.acceptanceconditions.other.AC_Next),[a=1.0, b=0.0]],BOA[boa(negotiator.boaframework.opponentmodel.FSEGABayesianModel),[]],BOA[boa(negotiator.boaframework.omstrategy.NullStrategy),[t=1.1]]],etc/templates/anac/y2012/Energy/Energy-A-prof1.xml]> passed deadline and was killed:[boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_max_min_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.FSEGABayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\half_Right_C01.class];1000rounds;No;;0;;;;;;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_max_min_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.FSEGABayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t;half_Right_C01;0.0;0.0;0.0;0.0;;;;;;;Energy-A-prof1;Energy-A-prof2
