sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
1.126;933;;1000rounds;Yes;No;2;0.51042;0.57342;0.04480;0.07994;1.08384;Agent36_01@588;half_Right_C01@589;0.5104249096274984;0.573418347754688;0.5104249096274984;0.573418347754688;0.5104249096274984;0.573418347754688;0.0;0.0;0.5104249096274984;0.573418347754688;Energy-A-prof1.xml;Energy-A-prof2.xml
0.835;786;;1000rounds;Yes;No;2;0.22399;0.91258;0.01022;0.41347;1.13657;Agent36_1@590;half_Right_C01@591;0.2239900273076991;0.9125797720323537;0.2239900273076991;0.9125797720323537;0.2239900273076991;0.9125797720323537;0.0;0.0;0.2239900273076991;0.9125797720323537;Energy-A-prof1.xml;Energy-A-prof2.xml
0.772;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;Agent36_2@592;half_Right_C01@593;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
;1;Session genius.core.session.Session@1523efed failed: failed to construct agent : agent init<ConDAgent_01@594,Participant[Party594,PartyRepositoryItem[ConDAgent_01,C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\condagent_01\ConDAgent_01.class,ANAC2018, is mediator=false],etc/templates/anac/y2012/Energy/Energy-A-prof1.xml]> passed deadline and was killed:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\condagent_01\ConDAgent_01.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\half_Right_C01.class];1000rounds;No;;0;;;;;;ConDAgent_01;half_Right_C01;0.0;0.0;0.0;0.0;;;;;;;Energy-A-prof1;Energy-A-prof2
;1;Session genius.core.session.Session@60cdf915 failed: failed to construct agent : agent init<ConDAgent_1@596,Participant[Party596,PartyRepositoryItem[ConDAgent_1,C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\condagent_1\ConDAgent_1.class,ANAC2018, is mediator=false],etc/templates/anac/y2012/Energy/Energy-A-prof1.xml]> passed deadline and was killed:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\condagent_1\ConDAgent_1.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\half_Right_C01.class];1000rounds;No;;0;;;;;;ConDAgent_1;half_Right_C01;0.0;0.0;0.0;0.0;;;;;;;Energy-A-prof1;Energy-A-prof2
;1;Session genius.core.session.Session@116d967f failed: failed to construct agent : agent init<ConDAgent_2@598,Participant[Party598,PartyRepositoryItem[ConDAgent_2,C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\condagent_2\ConDAgent_2.class,ANAC2018, is mediator=false],etc/templates/anac/y2012/Energy/Energy-A-prof1.xml]> passed deadline and was killed:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\condagent_2\ConDAgent_2.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Normal_Distribution\half_Right_C01.class];1000rounds;No;;0;;;;;;ConDAgent_2;half_Right_C01;0.0;0.0;0.0;0.0;;;;;;;Energy-A-prof1;Energy-A-prof2
1.790;933;;1000rounds;Yes;No;2;0.51042;0.57342;0.04480;0.07994;1.08384;KGAgent_01@600;half_Right_C01@601;0.5104249096274984;0.573418347754688;0.5104249096274984;0.573418347754688;0.5104249096274984;0.573418347754688;0.0;0.0;0.5104249096274984;0.573418347754688;Energy-A-prof1.xml;Energy-A-prof2.xml
1.041;786;;1000rounds;Yes;No;2;0.22399;0.91258;0.01022;0.41347;1.13657;KGAgent_1@602;half_Right_C01@603;0.2239900273076991;0.9125797720323537;0.2239900273076991;0.9125797720323537;0.2239900273076991;0.9125797720323537;0.0;0.0;0.2239900273076991;0.9125797720323537;Energy-A-prof1.xml;Energy-A-prof2.xml
1.152;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;KGAgent_2@604;half_Right_C01@605;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
1.328;936;;1000rounds;Yes;No;2;0.49982;0.52403;0.08903;0.14841;1.02385;BraveCat_01@606;half_Right_C01@607;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.0;0.49981902217539986;0.0;0.0;0.5240317052759118;0.49981902217539986;Energy-A-prof1.xml;Energy-A-prof2.xml
0.921;792;;1000rounds;Yes;No;2;0.24807;0.90585;0.01022;0.39082;1.15392;BraveCat_1@608;half_Right_C01@609;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.0;0.9058477588912196;0.0;0.0;0.24806922741851706;0.9058477588912196;Energy-A-prof1.xml;Energy-A-prof2.xml
0.832;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;BraveCat_2@610;half_Right_C01@611;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
1.059;936;;1000rounds;Yes;No;2;0.49982;0.52403;0.08903;0.14841;1.02385;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@612;half_Right_C01@613;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.0;0.0;0.5240317052759118;0.49981902217539986;Energy-A-prof1.xml;Energy-A-prof2.xml
0.867;792;;1000rounds;Yes;No;2;0.24807;0.90585;0.01022;0.39082;1.15392;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@614;half_Right_C01@615;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.0;0.0;0.24806922741851706;0.9058477588912196;Energy-A-prof1.xml;Energy-A-prof2.xml
0.795;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_e_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@616;half_Right_C01@617;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
1.141;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_k_max_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@618;half_Right_C01@619;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
0.941;792;;1000rounds;Yes;No;2;0.24807;0.90585;0.01022;0.39082;1.15392;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_min_max_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@620;half_Right_C01@621;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.0;0.0;0.24806922741851706;0.9058477588912196;Energy-A-prof1.xml;Energy-A-prof2.xml
1.142;936;;1000rounds;Yes;No;2;0.49982;0.52403;0.08903;0.14841;1.02385;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_max_k_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@622;half_Right_C01@623;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.0;0.0;0.5240317052759118;0.49981902217539986;Energy-A-prof1.xml;Energy-A-prof2.xml
0.927;792;;1000rounds;Yes;No;2;0.24807;0.90585;0.01022;0.39082;1.15392;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.NullStrategy_t@624;half_Right_C01@625;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.0;0.0;0.24806922741851706;0.9058477588912196;Energy-A-prof1.xml;Energy-A-prof2.xml
1.476;936;;1000rounds;Yes;No;2;0.49982;0.52403;0.08903;0.14841;1.02385;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_e_max_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.NullStrategy_t@626;half_Right_C01@627;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.5240317052759118;0.49981902217539986;0.0;0.0;0.5240317052759118;0.49981902217539986;Energy-A-prof1.xml;Energy-A-prof2.xml
0.931;726;;1000rounds;Yes;No;2;0.16581;0.95944;0.01022;0.48816;1.12525;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_k_e_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.NullStrategy_t@628;half_Right_C01@629;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.16581467983996293;0.959437275761381;0.0;0.0;0.16581467983996293;0.959437275761381;Energy-A-prof1.xml;Energy-A-prof2.xml
111.312;792;;1000rounds;Yes;No;2;0.24807;0.90585;0.01022;0.39082;1.15392;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_min_max_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.ScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@630;half_Right_C01@631;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.24806922741851706;0.9058477588912196;0.0;0.0;0.24806922741851706;0.9058477588912196;Energy-A-prof1.xml;Energy-A-prof2.xml
