sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
4.520;843;;1000rounds;Yes;No;2;0.81850;0.82000;0.00000;0.18716;1.63850;AgentBuyogMain_c01@4030;Half_Left_C01@4031;0.8200000000000001;0.8185014621132313;0.8200000000000001;0.8185014621132313;0.8200000000000001;0.8185014621132313;0.0;0.0;0.8200000000000001;0.8185014621132313;Barter-A-prof1.xml;Barter-A-prof2.xml
2.632;683;;1000rounds;Yes;No;2;0.31400;0.98080;0.00000;0.71847;1.29480;AgentBuyogMain_c1@4032;Half_Left_C01@4033;0.314;0.9808006366772959;0.314;0.9808006366772959;0.314;0.9808006366772959;0.0;0.0;0.314;0.9808006366772959;Barter-A-prof1.xml;Barter-A-prof2.xml
1.712;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80058;1.23400;AgentBuyogMain_c2@4034;Half_Left_C01@4035;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
1.023;843;;1000rounds;Yes;No;2;0.81850;0.82000;0.00000;0.18716;1.63850;AgentHP2_main_01@4036;Half_Left_C01@4037;0.8200000000000001;0.8185014621132313;0.8200000000000001;0.8185014621132313;0.8200000000000001;0.8185014621132313;0.0;0.0;0.8200000000000001;0.8185014621132313;Barter-A-prof1.xml;Barter-A-prof2.xml
0.796;683;;1000rounds;Yes;No;2;0.31400;0.98080;0.00000;0.71847;1.29480;AgentHP2_main_1@4038;Half_Left_C01@4039;0.314;0.9808006366772959;0.314;0.9808006366772959;0.314;0.9808006366772959;0.0;0.0;0.314;0.9808006366772959;Barter-A-prof1.xml;Barter-A-prof2.xml
0.629;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80058;1.23400;AgentHP2_main_2@4040;Half_Left_C01@4041;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.999;843;;1000rounds;Yes;No;2;0.81850;0.82000;0.00000;0.18716;1.63850;AgentYK_01@4042;Half_Left_C01@4043;0.8200000000000001;0.8185014621132313;0.8200000000000001;0.8185014621132313;0.8200000000000001;0.8185014621132313;0.0;0.0;0.8200000000000001;0.8185014621132313;Barter-A-prof1.xml;Barter-A-prof2.xml
0.739;683;;1000rounds;Yes;No;2;0.31400;0.98080;0.00000;0.71847;1.29480;AgentYK_1@4044;Half_Left_C01@4045;0.314;0.9808006366772959;0.314;0.9808006366772959;0.314;0.9808006366772959;0.0;0.0;0.314;0.9808006366772959;Barter-A-prof1.xml;Barter-A-prof2.xml
0.690;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80058;1.23400;AgentYK_2@4046;Half_Left_C01@4047;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
1.039;843;;1000rounds;Yes;No;2;0.81850;0.82000;0.00000;0.18716;1.63850;AgreeableAgent2018_01@4048;Half_Left_C01@4049;0.8200000000000001;0.8185014621132313;0.8200000000000001;0.8185014621132313;0.8200000000000001;0.8185014621132313;0.0;0.0;0.8200000000000001;0.8185014621132313;Barter-A-prof1.xml;Barter-A-prof2.xml
