sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
10.337;815;;1000rounds;Yes;No;2;0.85691;0.96013;0.00000;0.00000;1.81704;AgentBuyogMain_c01@10116;Half_Left_C01@10117;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.0;0.0;0.8569103713906172;0.9601274295077905;MyAirport_util1.xml;MyAirport_util2.xml
5.987;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;AgentBuyogMain_c1@10118;Half_Left_C01@10119;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
8.215;611;;1000rounds;Yes;No;2;0.25826;0.99271;0.00000;0.59953;1.25097;AgentBuyogMain_c2@10120;Half_Left_C01@10121;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.0;0.0;0.25826396624497483;0.9927092934654617;MyAirport_util1.xml;MyAirport_util2.xml
7.682;815;;1000rounds;Yes;No;2;0.85691;0.96013;0.00000;0.00000;1.81704;AgentHP2_main_01@10122;Half_Left_C01@10123;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.0;0.0;0.8569103713906172;0.9601274295077905;MyAirport_util1.xml;MyAirport_util2.xml
7.196;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;AgentHP2_main_1@10124;Half_Left_C01@10125;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
7.335;611;;1000rounds;Yes;No;2;0.25826;0.99271;0.00000;0.59953;1.25097;AgentHP2_main_2@10126;Half_Left_C01@10127;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.0;0.0;0.25826396624497483;0.9927092934654617;MyAirport_util1.xml;MyAirport_util2.xml
9.724;815;;1000rounds;Yes;No;2;0.85691;0.96013;0.00000;0.00000;1.81704;AgentYK_01@10128;Half_Left_C01@10129;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.0;0.0;0.8569103713906172;0.9601274295077905;MyAirport_util1.xml;MyAirport_util2.xml
10.885;693;;1000rounds;Yes;No;2;0.30892;0.99192;0.00000;0.54891;1.30084;AgentYK_1@10130;Half_Left_C01@10131;0.3089222527746946;0.991917143631057;0.3089222527746946;0.991917143631057;0.3089222527746946;0.991917143631057;0.0;0.0;0.3089222527746946;0.991917143631057;MyAirport_util1.xml;MyAirport_util2.xml
7.650;620;;1000rounds;Yes;No;2;0.20761;0.99350;0.00000;0.65016;1.20111;AgentYK_2@10132;Half_Left_C01@10133;0.20760567971525506;0.99350141528295;0.20760567971525506;0.99350141528295;0.20760567971525506;0.99350141528295;0.0;0.0;0.20760567971525506;0.99350141528295;MyAirport_util1.xml;MyAirport_util2.xml
10.529;815;;1000rounds;Yes;No;2;0.85691;0.96013;0.00000;0.00000;1.81704;AgreeableAgent2018_01@10134;Half_Left_C01@10135;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.0;0.0;0.8569103713906172;0.9601274295077905;MyAirport_util1.xml;MyAirport_util2.xml
6.658;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;AgreeableAgent2018_1@10136;Half_Left_C01@10137;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
9.024;611;;1000rounds;Yes;No;2;0.25826;0.99271;0.00000;0.59953;1.25097;AgreeableAgent2018_2@10138;Half_Left_C01@10139;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.0;0.0;0.25826396624497483;0.9927092934654617;MyAirport_util1.xml;MyAirport_util2.xml
12.035;815;;1000rounds;Yes;No;2;0.85691;0.96013;0.00000;0.00000;1.81704;GeneKing_01@10140;Half_Left_C01@10141;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.0;0.0;0.8569103713906172;0.9601274295077905;MyAirport_util1.xml;MyAirport_util2.xml
5.418;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;GeneKing_1@10142;Half_Left_C01@10143;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
6.708;611;;1000rounds;Yes;No;2;0.25826;0.99271;0.00000;0.59953;1.25097;GeneKing_2@10144;Half_Left_C01@10145;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.0;0.0;0.25826396624497483;0.9927092934654617;MyAirport_util1.xml;MyAirport_util2.xml
9.507;815;;1000rounds;Yes;No;2;0.85691;0.96013;0.00000;0.00000;1.81704;GroupY_01@10146;Half_Left_C01@10147;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.0;0.0;0.8569103713906172;0.9601274295077905;MyAirport_util1.xml;MyAirport_util2.xml
4.026;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;GroupY_1@10148;Half_Left_C01@10149;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
3.930;611;;1000rounds;Yes;No;2;0.25826;0.99271;0.00000;0.59953;1.25097;GroupY_2@10150;Half_Left_C01@10151;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.0;0.0;0.25826396624497483;0.9927092934654617;MyAirport_util1.xml;MyAirport_util2.xml
2.384;633;;1000rounds;Yes;No;2;0.25724;0.99014;0.00277;0.60042;1.24737;JonnyBlack_01@10152;Half_Left_C01@10153;0.25723585144375316;0.9901363744072018;0.25723585144375316;0.9901363744072018;0.25723585144375316;0.9901363744072018;0.0;0.0;0.25723585144375316;0.9901363744072018;MyAirport_util1.xml;MyAirport_util2.xml
0.030;12;;1000rounds;Yes;No;2;0.15695;0.99429;0.00000;0.70080;1.15124;JonnyBlack_1@10154;Half_Left_C01@10155;0.1569473931855353;0.994293505819863;0.1569473931855353;0.994293505819863;0.1569473931855353;0.994293505819863;0.0;0.0;0.1569473931855353;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
;2;Session genius.core.session.Session@1de84f2b failed: Failed to execute protocol: Execution failed of JonnyBlack_2@10156:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Skew_normal_Distribution\Half_Left_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_2;Half_Left_C01;0.0;0.0;0.0;0.0;;;;;;;MyAirport_util1;MyAirport_util2
2.860;815;;1000rounds;Yes;No;2;0.85691;0.96013;0.00000;0.00000;1.81704;Mamenchis_01@10158;Half_Left_C01@10159;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.0;0.0;0.8569103713906172;0.9601274295077905;MyAirport_util1.xml;MyAirport_util2.xml
4.783;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;Mamenchis_1@10160;Half_Left_C01@10161;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
2.627;611;;1000rounds;Yes;No;2;0.25826;0.99271;0.00000;0.59953;1.25097;Mamenchis_2@10162;Half_Left_C01@10163;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.0;0.0;0.25826396624497483;0.9927092934654617;MyAirport_util1.xml;MyAirport_util2.xml
5.692;815;;1000rounds;Yes;No;2;0.85691;0.96013;0.00000;0.00000;1.81704;Mosa_01@10164;Half_Left_C01@10165;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.0;0.0;0.8569103713906172;0.9601274295077905;MyAirport_util1.xml;MyAirport_util2.xml
2.738;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;Mosa_1@10166;Half_Left_C01@10167;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
7.902;611;;1000rounds;Yes;No;2;0.25826;0.99271;0.00000;0.59953;1.25097;Mosa_2@10168;Half_Left_C01@10169;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.0;0.0;0.25826396624497483;0.9927092934654617;MyAirport_util1.xml;MyAirport_util2.xml
10.132;828;;1000rounds;Yes;No;2;0.85691;0.96013;0.00000;0.00000;1.81704;RandomDance_01@10170;Half_Left_C01@10171;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.0;0.0;0.8569103713906172;0.9601274295077905;MyAirport_util1.xml;MyAirport_util2.xml
7.396;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;RandomDance_1@10172;Half_Left_C01@10173;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
6.762;611;;1000rounds;Yes;No;2;0.25826;0.99271;0.00000;0.59953;1.25097;RandomDance_2@10174;Half_Left_C01@10175;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.0;0.0;0.25826396624497483;0.9927092934654617;MyAirport_util1.xml;MyAirport_util2.xml
7.400;815;;1000rounds;Yes;No;2;0.85691;0.96013;0.00000;0.00000;1.81704;Agent36_01@10176;Half_Left_C01@10177;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.0;0.0;0.8569103713906172;0.9601274295077905;MyAirport_util1.xml;MyAirport_util2.xml
5.803;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;Agent36_1@10178;Half_Left_C01@10179;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
6.103;611;;1000rounds;Yes;No;2;0.25826;0.99271;0.00000;0.59953;1.25097;Agent36_2@10180;Half_Left_C01@10181;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.0;0.0;0.25826396624497483;0.9927092934654617;MyAirport_util1.xml;MyAirport_util2.xml
7.696;815;;1000rounds;Yes;No;2;0.85691;0.96013;0.00000;0.00000;1.81704;ConDAgent_01@10182;Half_Left_C01@10183;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.0;0.0;0.8569103713906172;0.9601274295077905;MyAirport_util1.xml;MyAirport_util2.xml
5.544;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;ConDAgent_1@10184;Half_Left_C01@10185;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
7.705;611;;1000rounds;Yes;No;2;0.25826;0.99271;0.00000;0.59953;1.25097;ConDAgent_2@10186;Half_Left_C01@10187;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.0;0.0;0.25826396624497483;0.9927092934654617;MyAirport_util1.xml;MyAirport_util2.xml
8.692;815;;1000rounds;Yes;No;2;0.85691;0.96013;0.00000;0.00000;1.81704;KGAgent_01@10188;Half_Left_C01@10189;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.8569103713906172;0.9601274295077905;0.0;0.0;0.8569103713906172;0.9601274295077905;MyAirport_util1.xml;MyAirport_util2.xml
5.469;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;KGAgent_1@10190;Half_Left_C01@10191;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
3.329;611;;1000rounds;Yes;No;2;0.25826;0.99271;0.00000;0.59953;1.25097;KGAgent_2@10192;Half_Left_C01@10193;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.0;0.0;0.25826396624497483;0.9927092934654617;MyAirport_util1.xml;MyAirport_util2.xml
7.136;853;;1000rounds;Yes;No;2;0.82114;0.94175;0.02583;0.04021;1.76289;BraveCat_01@10194;Half_Left_C01@10195;0.8211379642382715;0.9417540815833351;0.8211379642382715;0.9417540815833351;0.0;0.9417540815833351;0.0;0.0;0.8211379642382715;0.9417540815833351;MyAirport_util1.xml;MyAirport_util2.xml
5.894;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;BraveCat_1@10196;Half_Left_C01@10197;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
11.798;611;;1000rounds;Yes;No;2;0.25826;0.99271;0.00000;0.59953;1.25097;BraveCat_2@10198;Half_Left_C01@10199;0.25826396624497483;0.9927092934654617;0.25826396624497483;0.9927092934654617;0.0;0.9927092934654617;0.0;0.0;0.25826396624497483;0.9927092934654617;MyAirport_util1.xml;MyAirport_util2.xml
10.380;853;;1000rounds;Yes;No;2;0.82114;0.94175;0.02583;0.04021;1.76289;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@10200;Half_Left_C01@10201;0.8211379642382715;0.9417540815833351;0.8211379642382715;0.9417540815833351;0.8211379642382715;0.9417540815833351;0.0;0.0;0.8211379642382715;0.9417540815833351;MyAirport_util1.xml;MyAirport_util2.xml
5.713;629;;1000rounds;Yes;No;2;0.41024;0.99073;0.00000;0.44772;1.40097;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@10202;Half_Left_C01@10203;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.4102388258341341;0.9907288734872248;0.0;0.0;0.4102388258341341;0.9907288734872248;MyAirport_util1.xml;MyAirport_util2.xml
