sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
11.463;831;;1000rounds;Yes;No;2;0.84807;0.85965;0.00293;0.00293;1.70772;AgentBuyogMain_c01@22194;Half_Left_C01@22195;0.8596476001487265;0.8480746322761595;0.8596476001487265;0.8480746322761595;0.8596476001487265;0.8480746322761595;0.0;0.0;0.8596476001487265;0.8480746322761595;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
4.395;447;;1000rounds;Yes;No;2;0.55371;1.00000;0.00000;0.34383;1.55371;AgentBuyogMain_c1@22196;Half_Left_C01@22197;0.5537137065520139;1.0;0.5537137065520139;1.0;0.5537137065520139;1.0;0.0;0.0;0.5537137065520139;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.428;200;;1000rounds;Yes;No;2;0.55371;1.00000;0.00000;0.34383;1.55371;AgentBuyogMain_c2@22198;Half_Left_C01@22199;0.5537137065520139;1.0;0.5537137065520139;1.0;0.5537137065520139;1.0;0.0;0.0;0.5537137065520139;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
6.108;831;;1000rounds;Yes;No;2;0.84807;0.85965;0.00293;0.00293;1.70772;AgentHP2_main_01@22200;Half_Left_C01@22201;0.8596476001487265;0.8480746322761595;0.8596476001487265;0.8480746322761595;0.8596476001487265;0.8480746322761595;0.0;0.0;0.8596476001487265;0.8480746322761595;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.210;447;;1000rounds;Yes;No;2;0.55371;1.00000;0.00000;0.34383;1.55371;AgentHP2_main_1@22202;Half_Left_C01@22203;0.5537137065520139;1.0;0.5537137065520139;1.0;0.5537137065520139;1.0;0.0;0.0;0.5537137065520139;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.928;200;;1000rounds;Yes;No;2;0.55371;1.00000;0.00000;0.34383;1.55371;AgentHP2_main_2@22204;Half_Left_C01@22205;0.5537137065520139;1.0;0.5537137065520139;1.0;0.5537137065520139;1.0;0.0;0.0;0.5537137065520139;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
6.735;835;;1000rounds;Yes;No;2;0.83956;0.86537;0.00000;0.02831;1.70493;AgentYK_01@22206;Half_Left_C01@22207;0.8395591122610335;0.8653659266389607;0.8395591122610335;0.8653659266389607;0.8395591122610335;0.8653659266389607;0.0;0.0;0.8395591122610335;0.8653659266389607;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
4.322;447;;1000rounds;Yes;No;2;0.55371;1.00000;0.00000;0.34383;1.55371;AgentYK_1@22208;Half_Left_C01@22209;0.5537137065520139;1.0;0.5537137065520139;1.0;0.5537137065520139;1.0;0.0;0.0;0.5537137065520139;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.125;200;;1000rounds;Yes;No;2;0.55371;1.00000;0.00000;0.34383;1.55371;AgentYK_2@22210;Half_Left_C01@22211;0.5537137065520139;1.0;0.5537137065520139;1.0;0.5537137065520139;1.0;0.0;0.0;0.5537137065520139;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
4.175;831;;1000rounds;Yes;No;2;0.84807;0.85965;0.00293;0.00293;1.70772;AgreeableAgent2018_01@22212;Half_Left_C01@22213;0.8596476001487265;0.8480746322761595;0.8596476001487265;0.8480746322761595;0.8596476001487265;0.8480746322761595;0.0;0.0;0.8596476001487265;0.8480746322761595;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.910;447;;1000rounds;Yes;No;2;0.55371;1.00000;0.00000;0.34383;1.55371;AgreeableAgent2018_1@22214;Half_Left_C01@22215;0.5537137065520139;1.0;0.5537137065520139;1.0;0.5537137065520139;1.0;0.0;0.0;0.5537137065520139;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.760;200;;1000rounds;Yes;No;2;0.55371;1.00000;0.00000;0.34383;1.55371;AgreeableAgent2018_2@22216;Half_Left_C01@22217;0.5537137065520139;1.0;0.5537137065520139;1.0;0.5537137065520139;1.0;0.0;0.0;0.5537137065520139;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
7.105;831;;1000rounds;Yes;No;2;0.84807;0.85965;0.00293;0.00293;1.70772;GeneKing_01@22218;Half_Left_C01@22219;0.8596476001487265;0.8480746322761595;0.8596476001487265;0.8480746322761595;0.8596476001487265;0.8480746322761595;0.0;0.0;0.8596476001487265;0.8480746322761595;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
4.383;447;;1000rounds;Yes;No;2;0.55371;1.00000;0.00000;0.34383;1.55371;GeneKing_1@22220;Half_Left_C01@22221;0.5537137065520139;1.0;0.5537137065520139;1.0;0.5537137065520139;1.0;0.0;0.0;0.5537137065520139;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.029;200;;1000rounds;Yes;No;2;0.55371;1.00000;0.00000;0.34383;1.55371;GeneKing_2@22222;Half_Left_C01@22223;0.5537137065520139;1.0;0.5537137065520139;1.0;0.5537137065520139;1.0;0.0;0.0;0.5537137065520139;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.087;831;;1000rounds;Yes;No;2;0.84807;0.85965;0.00293;0.00293;1.70772;GroupY_01@22224;Half_Left_C01@22225;0.8596476001487265;0.8480746322761595;0.8596476001487265;0.8480746322761595;0.8596476001487265;0.8480746322761595;0.0;0.0;0.8596476001487265;0.8480746322761595;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.814;447;;1000rounds;Yes;No;2;0.55371;1.00000;0.00000;0.34383;1.55371;GroupY_1@22226;Half_Left_C01@22227;0.5537137065520139;1.0;0.5537137065520139;1.0;0.5537137065520139;1.0;0.0;0.0;0.5537137065520139;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.123;200;;1000rounds;Yes;No;2;0.55371;1.00000;0.00000;0.34383;1.55371;GroupY_2@22228;Half_Left_C01@22229;0.5537137065520139;1.0;0.5537137065520139;1.0;0.5537137065520139;1.0;0.0;0.0;0.5537137065520139;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
9.933;831;;1000rounds;Yes;No;2;0.84807;0.85965;0.00293;0.00293;1.70772;JonnyBlack_01@22230;Half_Left_C01@22231;0.8596476001487265;0.8480746322761595;0.8596476001487265;0.8480746322761595;0.8596476001487265;0.8480746322761595;0.0;0.0;0.8596476001487265;0.8480746322761595;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
