sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
15.014;808;;1000rounds;Yes;No;2;0.88545;0.92669;0.03209;0.03209;1.81214;AgentBuyogMain_c01@0;Half_Left_C01@1;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.0;0.0;0.9266936276870291;0.8854474716906374;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
3.393;207;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;AgentBuyogMain_c1@2;Half_Left_C01@3;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.756;44;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;AgentBuyogMain_c2@4;Half_Left_C01@5;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.855;808;;1000rounds;Yes;No;2;0.88545;0.92669;0.03209;0.03209;1.81214;AgentHP2_main_01@6;Half_Left_C01@7;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.0;0.0;0.9266936276870291;0.8854474716906374;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.226;207;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;AgentHP2_main_1@8;Half_Left_C01@9;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.048;44;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;AgentHP2_main_2@10;Half_Left_C01@11;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.830;823;;1000rounds;Yes;No;2;0.86046;0.88575;0.05894;0.09444;1.74622;AgentYK_01@12;Half_Left_C01@13;0.8604634454995456;0.8857530774589575;0.8604634454995456;0.8857530774589575;0.8604634454995456;0.8857530774589575;0.0;0.0;0.8604634454995456;0.8857530774589575;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.879;863;;1000rounds;Yes;No;2;0.13894;0.79386;0.68697;0.82162;0.93280;AgentYK_1@14;Half_Left_C01@15;0.13894167066950164;0.7938576351257356;0.13894167066950164;0.7938576351257356;0.13894167066950164;0.7938576351257356;0.0;0.0;0.13894167066950164;0.7938576351257356;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.896;879;;1000rounds;Yes;No;2;0.06342;0.73100;0.77877;0.90637;0.79441;AgentYK_2@16;Half_Left_C01@17;0.06341707356243535;0.7309970746997949;0.06341707356243535;0.7309970746997949;0.06341707356243535;0.7309970746997949;0.0;0.0;0.06341707356243535;0.7309970746997949;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.806;808;;1000rounds;Yes;No;2;0.88545;0.92669;0.03209;0.03209;1.81214;AgreeableAgent2018_01@18;Half_Left_C01@19;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.0;0.0;0.9266936276870291;0.8854474716906374;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.258;207;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;AgreeableAgent2018_1@20;Half_Left_C01@21;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.050;44;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;AgreeableAgent2018_2@22;Half_Left_C01@23;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.852;808;;1000rounds;Yes;No;2;0.88545;0.92669;0.03209;0.03209;1.81214;GeneKing_01@24;Half_Left_C01@25;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.0;0.0;0.9266936276870291;0.8854474716906374;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.229;207;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;GeneKing_1@26;Half_Left_C01@27;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.046;44;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;GeneKing_2@28;Half_Left_C01@29;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.794;808;;1000rounds;Yes;No;2;0.88545;0.92669;0.03209;0.03209;1.81214;GroupY_01@30;Half_Left_C01@31;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.0;0.0;0.9266936276870291;0.8854474716906374;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.259;207;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;GroupY_1@32;Half_Left_C01@33;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.052;44;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;GroupY_2@34;Half_Left_C01@35;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
1.195;808;;1000rounds;Yes;No;2;0.88545;0.92669;0.03209;0.03209;1.81214;JonnyBlack_01@36;Half_Left_C01@37;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.0;0.0;0.9266936276870291;0.8854474716906374;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.394;217;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;JonnyBlack_1@38;Half_Left_C01@39;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.098;48;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;JonnyBlack_2@40;Half_Left_C01@41;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.832;808;;1000rounds;Yes;No;2;0.88545;0.92669;0.03209;0.03209;1.81214;Mamenchis_01@42;Half_Left_C01@43;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.9266936276870291;0.8854474716906374;0.0;0.0;0.9266936276870291;0.8854474716906374;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.244;207;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.18596;1.79425;Mamenchis_1@44;Half_Left_C01@45;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
