sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
15.895;836;;1000rounds;Yes;No;2;0.83300;0.84962;0.00000;0.00000;1.68263;AgentBuyogMain_c01@36;Half_Left_C01_neg@37;0.8496215792242616;0.8330039794410907;0.8496215792242616;0.8330039794410907;0.8496215792242616;0.8330039794410907;0.0;0.0;0.8496215792242616;0.8330039794410907;ITEX_util3.xml;ITEX_util4.xml
9.029;573;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.44671;1.41365;AgentBuyogMain_c1@38;Half_Left_C01_neg@39;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
5.985;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.44671;1.41365;AgentBuyogMain_c2@40;Half_Left_C01_neg@41;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
7.882;836;;1000rounds;Yes;No;2;0.83300;0.84962;0.00000;0.00000;1.68263;AgentHP2_main_01@42;Half_Left_C01_neg@43;0.8496215792242616;0.8330039794410907;0.8496215792242616;0.8330039794410907;0.8496215792242616;0.8330039794410907;0.0;0.0;0.8496215792242616;0.8330039794410907;ITEX_util3.xml;ITEX_util4.xml
4.868;573;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.44671;1.41365;AgentHP2_main_1@44;Half_Left_C01_neg@45;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
1.335;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.44671;1.41365;AgentHP2_main_2@46;Half_Left_C01_neg@47;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
5.375;836;;1000rounds;Yes;No;2;0.83300;0.84962;0.00000;0.00000;1.68263;AgentYK_01@48;Half_Left_C01_neg@49;0.8496215792242616;0.8330039794410907;0.8496215792242616;0.8330039794410907;0.8496215792242616;0.8330039794410907;0.0;0.0;0.8496215792242616;0.8330039794410907;ITEX_util3.xml;ITEX_util4.xml
5.514;801;;1000rounds;Yes;No;2;0.20099;0.89762;0.24425;0.65184;1.09860;AgentYK_1@50;Half_Left_C01_neg@51;0.2009880130227941;0.8976157072441393;0.2009880130227941;0.8976157072441393;0.2009880130227941;0.8976157072441393;0.0;0.0;0.2009880130227941;0.8976157072441393;ITEX_util3.xml;ITEX_util4.xml
1.936;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.44671;1.41365;AgentYK_2@52;Half_Left_C01_neg@53;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
4.398;836;;1000rounds;Yes;No;2;0.83300;0.84962;0.00000;0.00000;1.68263;AgreeableAgent2018_01@54;Half_Left_C01_neg@55;0.8496215792242616;0.8330039794410907;0.8496215792242616;0.8330039794410907;0.8496215792242616;0.8330039794410907;0.0;0.0;0.8496215792242616;0.8330039794410907;ITEX_util3.xml;ITEX_util4.xml
