sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
8.577;815;;1000rounds;Yes;No;2;0.85691;0.97443;0.00000;0.00000;1.83134;AgentBuyogMain_c01@12114;Half_Left_C01_neg@12115;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.0;0.0;0.8569103713906172;0.9744326900092407;MyAirport_util1.xml;MyAirport_util2.xml
1.044;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;AgentBuyogMain_c1@12116;Half_Left_C01_neg@12117;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.104;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;AgentBuyogMain_c2@12118;Half_Left_C01_neg@12119;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
2.968;815;;1000rounds;Yes;No;2;0.85691;0.97443;0.00000;0.00000;1.83134;AgentHP2_main_01@12120;Half_Left_C01_neg@12121;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.0;0.0;0.8569103713906172;0.9744326900092407;MyAirport_util1.xml;MyAirport_util2.xml
0.608;170;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;AgentHP2_main_1@12122;Half_Left_C01_neg@12123;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.077;30;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;AgentHP2_main_2@12124;Half_Left_C01_neg@12125;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
3.842;815;;1000rounds;Yes;No;2;0.85691;0.97443;0.00000;0.00000;1.83134;AgentYK_01@12126;Half_Left_C01_neg@12127;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.0;0.0;0.8569103713906172;0.9744326900092407;MyAirport_util1.xml;MyAirport_util2.xml
1.429;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;AgentYK_1@12128;Half_Left_C01_neg@12129;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.152;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;AgentYK_2@12130;Half_Left_C01_neg@12131;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
4.418;815;;1000rounds;Yes;No;2;0.85691;0.97443;0.00000;0.00000;1.83134;AgreeableAgent2018_01@12132;Half_Left_C01_neg@12133;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.0;0.0;0.8569103713906172;0.9744326900092407;MyAirport_util1.xml;MyAirport_util2.xml
0.607;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;AgreeableAgent2018_1@12134;Half_Left_C01_neg@12135;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.227;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;AgreeableAgent2018_2@12136;Half_Left_C01_neg@12137;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
5.028;815;;1000rounds;Yes;No;2;0.85691;0.97443;0.00000;0.00000;1.83134;GeneKing_01@12138;Half_Left_C01_neg@12139;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.0;0.0;0.8569103713906172;0.9744326900092407;MyAirport_util1.xml;MyAirport_util2.xml
0.549;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;GeneKing_1@12140;Half_Left_C01_neg@12141;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.435;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;GeneKing_2@12142;Half_Left_C01_neg@12143;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
3.917;815;;1000rounds;Yes;No;2;0.85691;0.97443;0.00000;0.00000;1.83134;GroupY_01@12144;Half_Left_C01_neg@12145;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.0;0.0;0.8569103713906172;0.9744326900092407;MyAirport_util1.xml;MyAirport_util2.xml
0.771;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;GroupY_1@12146;Half_Left_C01_neg@12147;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.101;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;GroupY_2@12148;Half_Left_C01_neg@12149;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
2.170;633;;1000rounds;Yes;No;2;0.72085;0.98998;0.10038;0.13695;1.71083;JonnyBlack_01@12150;Half_Left_C01_neg@12151;0.7208495059800535;0.9899830438772703;0.7208495059800535;0.9899830438772703;0.7208495059800535;0.9899830438772703;0.0;0.0;0.7208495059800535;0.9899830438772703;MyAirport_util1.xml;MyAirport_util2.xml
0.077;12;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;JonnyBlack_1@12152;Half_Left_C01_neg@12153;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
;2;Session genius.core.session.Session@40389068 failed: Failed to execute protocol: Execution failed of JonnyBlack_2@12154:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Skew_normal_Distribution\Half_Left_C01_neg.class];1000rounds;No;;0;;;;;;JonnyBlack_2;Half_Left_C01_neg;0.0;0.0;0.0;0.0;;;;;;;MyAirport_util1;MyAirport_util2
6.735;815;;1000rounds;Yes;No;2;0.85691;0.97443;0.00000;0.00000;1.83134;Mamenchis_01@12156;Half_Left_C01_neg@12157;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.0;0.0;0.8569103713906172;0.9744326900092407;MyAirport_util1.xml;MyAirport_util2.xml
0.567;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;Mamenchis_1@12158;Half_Left_C01_neg@12159;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.083;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;Mamenchis_2@12160;Half_Left_C01_neg@12161;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
5.839;815;;1000rounds;Yes;No;2;0.85691;0.97443;0.00000;0.00000;1.83134;Mosa_01@12162;Half_Left_C01_neg@12163;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.0;0.0;0.8569103713906172;0.9744326900092407;MyAirport_util1.xml;MyAirport_util2.xml
1.195;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;Mosa_1@12164;Half_Left_C01_neg@12165;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.109;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;Mosa_2@12166;Half_Left_C01_neg@12167;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
4.845;827;;1000rounds;Yes;No;2;0.85691;0.97443;0.00000;0.00000;1.83134;RandomDance_01@12168;Half_Left_C01_neg@12169;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.0;0.0;0.8569103713906172;0.9744326900092407;MyAirport_util1.xml;MyAirport_util2.xml
1.344;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;RandomDance_1@12170;Half_Left_C01_neg@12171;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.472;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;RandomDance_2@12172;Half_Left_C01_neg@12173;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
5.608;815;;1000rounds;Yes;No;2;0.85691;0.97443;0.00000;0.00000;1.83134;Agent36_01@12174;Half_Left_C01_neg@12175;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.0;0.0;0.8569103713906172;0.9744326900092407;MyAirport_util1.xml;MyAirport_util2.xml
0.632;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;Agent36_1@12176;Half_Left_C01_neg@12177;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.226;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;Agent36_2@12178;Half_Left_C01_neg@12179;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
5.134;815;;1000rounds;Yes;No;2;0.85691;0.97443;0.00000;0.00000;1.83134;ConDAgent_01@12180;Half_Left_C01_neg@12181;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.0;0.0;0.8569103713906172;0.9744326900092407;MyAirport_util1.xml;MyAirport_util2.xml
0.694;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;ConDAgent_1@12182;Half_Left_C01_neg@12183;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.083;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;ConDAgent_2@12184;Half_Left_C01_neg@12185;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
4.385;815;;1000rounds;Yes;No;2;0.85691;0.97443;0.00000;0.00000;1.83134;KGAgent_01@12186;Half_Left_C01_neg@12187;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.8569103713906172;0.9744326900092407;0.0;0.0;0.8569103713906172;0.9744326900092407;MyAirport_util1.xml;MyAirport_util2.xml
1.168;181;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;KGAgent_1@12188;Half_Left_C01_neg@12189;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.189;34;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;KGAgent_2@12190;Half_Left_C01_neg@12191;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
5.913;835;;1000rounds;Yes;No;2;0.74510;0.89268;0.10732;0.23210;1.63779;BraveCat_01@12192;Half_Left_C01_neg@12193;0.892682778542963;0.7451041084704104;0.892682778542963;0.7451041084704104;0.0;0.7451041084704104;0.0;0.0;0.892682778542963;0.7451041084704104;MyAirport_util1.xml;MyAirport_util2.xml
1.704;201;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;BraveCat_1@12194;Half_Left_C01_neg@12195;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.518;41;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;BraveCat_2@12196;Half_Left_C01_neg@12197;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
6.387;835;;1000rounds;Yes;No;2;0.74510;0.89268;0.10732;0.23210;1.63779;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@12198;Half_Left_C01_neg@12199;0.892682778542963;0.7451041084704104;0.892682778542963;0.7451041084704104;0.892682778542963;0.7451041084704104;0.0;0.0;0.892682778542963;0.7451041084704104;MyAirport_util1.xml;MyAirport_util2.xml
1.062;201;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@12200;Half_Left_C01_neg@12201;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.942;41;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_e_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@12202;Half_Left_C01_neg@12203;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
0.259;41;;1000rounds;Yes;No;2;0.82114;0.99429;0.00000;0.04092;1.81543;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_k_max_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@12204;Half_Left_C01_neg@12205;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.8211379642382715;0.994293505819863;0.0;0.0;0.8211379642382715;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
