sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
4.543;848;;1000rounds;Yes;No;2;0.80800;0.81897;0.00000;0.20888;1.62697;AgentBuyogMain_c01@11980;Middle_C01@11981;0.808;0.8189693576434063;0.808;0.8189693576434063;0.808;0.8189693576434063;0.0;0.0;0.808;0.8189693576434063;Barter-A-prof1.xml;Barter-A-prof2.xml
2.716;683;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;AgentBuyogMain_c1@11982;Middle_C01@11983;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
1.802;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;AgentBuyogMain_c2@11984;Middle_C01@11985;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.999;848;;1000rounds;Yes;No;2;0.80800;0.81897;0.00000;0.20888;1.62697;AgentHP2_main_01@11986;Middle_C01@11987;0.808;0.8189693576434063;0.808;0.8189693576434063;0.808;0.8189693576434063;0.0;0.0;0.808;0.8189693576434063;Barter-A-prof1.xml;Barter-A-prof2.xml
0.760;683;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;AgentHP2_main_1@11988;Middle_C01@11989;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.609;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;AgentHP2_main_2@11990;Middle_C01@11991;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.958;848;;1000rounds;Yes;No;2;0.80800;0.81897;0.00000;0.20888;1.62697;AgentYK_01@11992;Middle_C01@11993;0.808;0.8189693576434063;0.808;0.8189693576434063;0.808;0.8189693576434063;0.0;0.0;0.808;0.8189693576434063;Barter-A-prof1.xml;Barter-A-prof2.xml
0.772;683;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;AgentYK_1@11994;Middle_C01@11995;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.653;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;AgentYK_2@11996;Middle_C01@11997;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
1.039;848;;1000rounds;Yes;No;2;0.80800;0.81897;0.00000;0.20888;1.62697;AgreeableAgent2018_01@11998;Middle_C01@11999;0.808;0.8189693576434063;0.808;0.8189693576434063;0.808;0.8189693576434063;0.0;0.0;0.808;0.8189693576434063;Barter-A-prof1.xml;Barter-A-prof2.xml
0.768;683;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;AgreeableAgent2018_1@12000;Middle_C01@12001;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.602;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;AgreeableAgent2018_2@12002;Middle_C01@12003;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
1.068;848;;1000rounds;Yes;No;2;0.80800;0.81897;0.00000;0.20888;1.62697;GeneKing_01@12004;Middle_C01@12005;0.808;0.8189693576434063;0.808;0.8189693576434063;0.808;0.8189693576434063;0.0;0.0;0.808;0.8189693576434063;Barter-A-prof1.xml;Barter-A-prof2.xml
0.758;683;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;GeneKing_1@12006;Middle_C01@12007;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.655;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;GeneKing_2@12008;Middle_C01@12009;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.923;848;;1000rounds;Yes;No;2;0.80800;0.81897;0.00000;0.20888;1.62697;GroupY_01@12010;Middle_C01@12011;0.808;0.8189693576434063;0.808;0.8189693576434063;0.808;0.8189693576434063;0.0;0.0;0.808;0.8189693576434063;Barter-A-prof1.xml;Barter-A-prof2.xml
0.803;683;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;GroupY_1@12012;Middle_C01@12013;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.699;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;GroupY_2@12014;Middle_C01@12015;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.655;633;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;JonnyBlack_01@12016;Middle_C01@12017;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.011;12;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;JonnyBlack_1@12018;Middle_C01@12019;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
;2;Session genius.core.session.Session@7bd46bdb failed: Failed to execute protocol: Execution failed of JonnyBlack_2@12020:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\Benchmark_Agents\Skew_normal_Distribution\Middle_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_2;Middle_C01;0.0;0.0;0.0;0.0;;;;;;;Barter-A-prof1;Barter-A-prof2
0.898;848;;1000rounds;Yes;No;2;0.80800;0.81897;0.00000;0.20888;1.62697;Mamenchis_01@12022;Middle_C01@12023;0.808;0.8189693576434063;0.808;0.8189693576434063;0.808;0.8189693576434063;0.0;0.0;0.808;0.8189693576434063;Barter-A-prof1.xml;Barter-A-prof2.xml
0.686;683;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;Mamenchis_1@12024;Middle_C01@12025;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.579;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;Mamenchis_2@12026;Middle_C01@12027;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.851;848;;1000rounds;Yes;No;2;0.80800;0.81897;0.00000;0.20888;1.62697;Mosa_01@12028;Middle_C01@12029;0.808;0.8189693576434063;0.808;0.8189693576434063;0.808;0.8189693576434063;0.0;0.0;0.808;0.8189693576434063;Barter-A-prof1.xml;Barter-A-prof2.xml
0.778;683;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;Mosa_1@12030;Middle_C01@12031;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.547;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;Mosa_2@12032;Middle_C01@12033;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.992;855;;1000rounds;Yes;No;2;0.79173;0.82000;0.00000;0.18822;1.61173;RandomDance_01@12034;Middle_C01@12035;0.8200000000000001;0.791728292845435;0.8200000000000001;0.791728292845435;0.8200000000000001;0.791728292845435;0.0;0.0;0.8200000000000001;0.791728292845435;Barter-A-prof1.xml;Barter-A-prof2.xml
0.800;688;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;RandomDance_1@12036;Middle_C01@12037;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.649;589;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;RandomDance_2@12038;Middle_C01@12039;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.922;848;;1000rounds;Yes;No;2;0.80800;0.81897;0.00000;0.20888;1.62697;Agent36_01@12040;Middle_C01@12041;0.808;0.8189693576434063;0.808;0.8189693576434063;0.808;0.8189693576434063;0.0;0.0;0.808;0.8189693576434063;Barter-A-prof1.xml;Barter-A-prof2.xml
0.704;683;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;Agent36_1@12042;Middle_C01@12043;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.543;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;Agent36_2@12044;Middle_C01@12045;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.917;848;;1000rounds;Yes;No;2;0.80800;0.81897;0.00000;0.20888;1.62697;ConDAgent_01@12046;Middle_C01@12047;0.808;0.8189693576434063;0.808;0.8189693576434063;0.808;0.8189693576434063;0.0;0.0;0.808;0.8189693576434063;Barter-A-prof1.xml;Barter-A-prof2.xml
0.692;683;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;ConDAgent_1@12048;Middle_C01@12049;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.676;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;ConDAgent_2@12050;Middle_C01@12051;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.819;848;;1000rounds;Yes;No;2;0.80800;0.81897;0.00000;0.20888;1.62697;KGAgent_01@12052;Middle_C01@12053;0.808;0.8189693576434063;0.808;0.8189693576434063;0.808;0.8189693576434063;0.0;0.0;0.808;0.8189693576434063;Barter-A-prof1.xml;Barter-A-prof2.xml
0.772;683;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;KGAgent_1@12054;Middle_C01@12055;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.557;541;;1000rounds;Yes;No;2;0.23400;1.00000;0.00000;0.80998;1.23400;KGAgent_2@12056;Middle_C01@12057;0.23399999999999999;1.0;0.23399999999999999;1.0;0.23399999999999999;1.0;0.0;0.0;0.23399999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.898;854;;1000rounds;Yes;No;2;0.79173;0.82000;0.00000;0.18822;1.61173;BraveCat_01@12058;Middle_C01@12059;0.8200000000000001;0.791728292845435;0.8200000000000001;0.791728292845435;0.0;0.791728292845435;0.0;0.0;0.8200000000000001;0.791728292845435;Barter-A-prof1.xml;Barter-A-prof2.xml
0.782;698;;1000rounds;Yes;No;2;0.32400;0.97278;0.00000;0.71603;1.29678;BraveCat_1@12060;Middle_C01@12061;0.324;0.972784830807029;0.324;0.972784830807029;0.0;0.972784830807029;0.0;0.0;0.324;0.972784830807029;Barter-A-prof1.xml;Barter-A-prof2.xml
0.678;644;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;BraveCat_2@12062;Middle_C01@12063;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.891;854;;1000rounds;Yes;No;2;0.79173;0.82000;0.00000;0.18822;1.61173;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@12064;Middle_C01@12065;0.8200000000000001;0.791728292845435;0.8200000000000001;0.791728292845435;0.8200000000000001;0.791728292845435;0.0;0.0;0.8200000000000001;0.791728292845435;Barter-A-prof1.xml;Barter-A-prof2.xml
0.753;698;;1000rounds;Yes;No;2;0.32400;0.97278;0.00000;0.71603;1.29678;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@12066;Middle_C01@12067;0.324;0.972784830807029;0.324;0.972784830807029;0.324;0.972784830807029;0.0;0.0;0.324;0.972784830807029;Barter-A-prof1.xml;Barter-A-prof2.xml
0.650;644;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_e_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@12068;Middle_C01@12069;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.685;644;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_k_max_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@12070;Middle_C01@12071;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
0.709;698;;1000rounds;Yes;No;2;0.32400;0.97278;0.00000;0.71603;1.29678;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_min_max_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@12072;Middle_C01@12073;0.324;0.972784830807029;0.324;0.972784830807029;0.324;0.972784830807029;0.0;0.0;0.324;0.972784830807029;Barter-A-prof1.xml;Barter-A-prof2.xml
0.891;854;;1000rounds;Yes;No;2;0.79173;0.82000;0.00000;0.18822;1.61173;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_max_k_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@12074;Middle_C01@12075;0.8200000000000001;0.791728292845435;0.8200000000000001;0.791728292845435;0.8200000000000001;0.791728292845435;0.0;0.0;0.8200000000000001;0.791728292845435;Barter-A-prof1.xml;Barter-A-prof2.xml
0.702;698;;1000rounds;Yes;No;2;0.32400;0.97278;0.00000;0.71603;1.29678;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.NullStrategy_t@12076;Middle_C01@12077;0.324;0.972784830807029;0.324;0.972784830807029;0.324;0.972784830807029;0.0;0.0;0.324;0.972784830807029;Barter-A-prof1.xml;Barter-A-prof2.xml
0.891;854;;1000rounds;Yes;No;2;0.79173;0.82000;0.00000;0.18822;1.61173;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_e_max_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.NullStrategy_t@12078;Middle_C01@12079;0.8200000000000001;0.791728292845435;0.8200000000000001;0.791728292845435;0.8200000000000001;0.791728292845435;0.0;0.0;0.8200000000000001;0.791728292845435;Barter-A-prof1.xml;Barter-A-prof2.xml
0.647;644;;1000rounds;Yes;No;2;0.31400;0.97679;0.00000;0.72679;1.29079;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_k_e_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.NullStrategy_t@12080;Middle_C01@12081;0.314;0.9767858980836608;0.314;0.9767858980836608;0.314;0.9767858980836608;0.0;0.0;0.314;0.9767858980836608;Barter-A-prof1.xml;Barter-A-prof2.xml
