sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
12.836;860;;1000rounds;Yes;No;2;0.76724;0.79249;0.00000;0.23330;1.55973;AgentBuyogMain_c01@6138;Middle_C01@6139;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.0;0.0;0.7672377527100064;0.792493352078087;ITEX_util3.xml;ITEX_util4.xml
12.260;676;;1000rounds;Yes;No;2;0.49719;0.97747;0.00000;0.55011;1.47465;AgentBuyogMain_c1@6140;Middle_C01@6141;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.0;0.0;0.497185208466148;0.9774670528601671;ITEX_util3.xml;ITEX_util4.xml
9.461;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.72374;1.29702;AgentBuyogMain_c2@6142;Middle_C01@6143;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
12.197;860;;1000rounds;Yes;No;2;0.76724;0.79249;0.00000;0.23330;1.55973;AgentHP2_main_01@6144;Middle_C01@6145;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.0;0.0;0.7672377527100064;0.792493352078087;ITEX_util3.xml;ITEX_util4.xml
9.270;676;;1000rounds;Yes;No;2;0.49719;0.97747;0.00000;0.55011;1.47465;AgentHP2_main_1@6146;Middle_C01@6147;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.0;0.0;0.497185208466148;0.9774670528601671;ITEX_util3.xml;ITEX_util4.xml
7.193;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.72374;1.29702;AgentHP2_main_2@6148;Middle_C01@6149;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
18.109;860;;1000rounds;Yes;No;2;0.76724;0.79249;0.00000;0.23330;1.55973;AgentYK_01@6150;Middle_C01@6151;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.0;0.0;0.7672377527100064;0.792493352078087;ITEX_util3.xml;ITEX_util4.xml
14.650;678;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.72374;1.29702;AgentYK_1@6152;Middle_C01@6153;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
7.613;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.72374;1.29702;AgentYK_2@6154;Middle_C01@6155;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
12.076;860;;1000rounds;Yes;No;2;0.76724;0.79249;0.00000;0.23330;1.55973;AgreeableAgent2018_01@6156;Middle_C01@6157;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.0;0.0;0.7672377527100064;0.792493352078087;ITEX_util3.xml;ITEX_util4.xml
7.223;676;;1000rounds;Yes;No;2;0.49719;0.97747;0.00000;0.55011;1.47465;AgreeableAgent2018_1@6158;Middle_C01@6159;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.0;0.0;0.497185208466148;0.9774670528601671;ITEX_util3.xml;ITEX_util4.xml
5.581;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.72374;1.29702;AgreeableAgent2018_2@6160;Middle_C01@6161;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
10.386;860;;1000rounds;Yes;No;2;0.76724;0.79249;0.00000;0.23330;1.55973;GeneKing_01@6162;Middle_C01@6163;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.0;0.0;0.7672377527100064;0.792493352078087;ITEX_util3.xml;ITEX_util4.xml
8.265;676;;1000rounds;Yes;No;2;0.49719;0.97747;0.00000;0.55011;1.47465;GeneKing_1@6164;Middle_C01@6165;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.0;0.0;0.497185208466148;0.9774670528601671;ITEX_util3.xml;ITEX_util4.xml
6.824;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.72374;1.29702;GeneKing_2@6166;Middle_C01@6167;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
9.930;860;;1000rounds;Yes;No;2;0.76724;0.79249;0.00000;0.23330;1.55973;GroupY_01@6168;Middle_C01@6169;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.0;0.0;0.7672377527100064;0.792493352078087;ITEX_util3.xml;ITEX_util4.xml
9.308;676;;1000rounds;Yes;No;2;0.49719;0.97747;0.00000;0.55011;1.47465;GroupY_1@6170;Middle_C01@6171;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.0;0.0;0.497185208466148;0.9774670528601671;ITEX_util3.xml;ITEX_util4.xml
8.416;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.72374;1.29702;GroupY_2@6172;Middle_C01@6173;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
7.408;657;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.72374;1.29702;JonnyBlack_01@6174;Middle_C01@6175;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
0.304;16;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.72374;1.29702;JonnyBlack_1@6176;Middle_C01@6177;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
;2;Session genius.core.session.Session@39ed41c7 failed: Failed to execute protocol: Execution failed of JonnyBlack_2@6178:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Skew_normal_Distribution\Middle_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_2;Middle_C01;0.0;0.0;0.0;0.0;;;;;;;ITEX_util3;ITEX_util4
15.377;860;;1000rounds;Yes;No;2;0.76724;0.79249;0.00000;0.23330;1.55973;Mamenchis_01@6180;Middle_C01@6181;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.0;0.0;0.7672377527100064;0.792493352078087;ITEX_util3.xml;ITEX_util4.xml
13.025;676;;1000rounds;Yes;No;2;0.49719;0.97747;0.00000;0.55011;1.47465;Mamenchis_1@6182;Middle_C01@6183;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.0;0.0;0.497185208466148;0.9774670528601671;ITEX_util3.xml;ITEX_util4.xml
3.621;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.72374;1.29702;Mamenchis_2@6184;Middle_C01@6185;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
7.964;860;;1000rounds;Yes;No;2;0.76724;0.79249;0.00000;0.23330;1.55973;Mosa_01@6186;Middle_C01@6187;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.7672377527100064;0.792493352078087;0.0;0.0;0.7672377527100064;0.792493352078087;ITEX_util3.xml;ITEX_util4.xml
3.055;676;;1000rounds;Yes;No;2;0.49719;0.97747;0.00000;0.55011;1.47465;Mosa_1@6188;Middle_C01@6189;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.0;0.0;0.497185208466148;0.9774670528601671;ITEX_util3.xml;ITEX_util4.xml
4.789;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.72374;1.29702;Mosa_2@6190;Middle_C01@6191;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
9.638;873;;1000rounds;Yes;No;2;0.75145;0.81108;0.00000;0.18462;1.56253;RandomDance_01@6192;Middle_C01@6193;0.8110769431239273;0.7514520144482637;0.8110769431239273;0.7514520144482637;0.8110769431239273;0.7514520144482637;0.0;0.0;0.8110769431239273;0.7514520144482637;ITEX_util3.xml;ITEX_util4.xml
5.897;676;;1000rounds;Yes;No;2;0.49719;0.97747;0.00000;0.55011;1.47465;RandomDance_1@6194;Middle_C01@6195;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.497185208466148;0.9774670528601671;0.0;0.0;0.497185208466148;0.9774670528601671;ITEX_util3.xml;ITEX_util4.xml
4.864;474;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.72374;1.29702;RandomDance_2@6196;Middle_C01@6197;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
