sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
8.430;723;;1000rounds;Yes;No;2;0.95037;0.96178;0.00000;0.04976;1.91215;AgentBuyogMain_c01@18144;Middle_C01@18145;0.9503698282715021;0.961776755796423;0.9503698282715021;0.961776755796423;0.9503698282715021;0.961776755796423;0.0;0.0;0.9503698282715021;0.961776755796423;MyAirport_util1.xml;MyAirport_util2.xml
6.501;611;;1000rounds;Yes;No;2;0.40135;0.99271;0.00000;0.59964;1.39406;AgentBuyogMain_c1@18146;Middle_C01@18147;0.40135359485435773;0.9927053734278709;0.40135359485435773;0.9927053734278709;0.40135359485435773;0.9927053734278709;0.0;0.0;0.40135359485435773;0.9927053734278709;MyAirport_util1.xml;MyAirport_util2.xml
4.359;488;;1000rounds;Yes;No;2;0.30004;0.99429;0.00000;0.70089;1.29433;AgentBuyogMain_c2@18148;Middle_C01@18149;0.3000370217949182;0.994293505819863;0.3000370217949182;0.994293505819863;0.3000370217949182;0.994293505819863;0.0;0.0;0.3000370217949182;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
5.624;723;;1000rounds;Yes;No;2;0.95037;0.96178;0.00000;0.04976;1.91215;AgentHP2_main_01@18150;Middle_C01@18151;0.9503698282715021;0.961776755796423;0.9503698282715021;0.961776755796423;0.9503698282715021;0.961776755796423;0.0;0.0;0.9503698282715021;0.961776755796423;MyAirport_util1.xml;MyAirport_util2.xml
3.173;611;;1000rounds;Yes;No;2;0.40135;0.99271;0.00000;0.59964;1.39406;AgentHP2_main_1@18152;Middle_C01@18153;0.40135359485435773;0.9927053734278709;0.40135359485435773;0.9927053734278709;0.40135359485435773;0.9927053734278709;0.0;0.0;0.40135359485435773;0.9927053734278709;MyAirport_util1.xml;MyAirport_util2.xml
3.342;488;;1000rounds;Yes;No;2;0.30004;0.99429;0.00000;0.70089;1.29433;AgentHP2_main_2@18154;Middle_C01@18155;0.3000370217949182;0.994293505819863;0.3000370217949182;0.994293505819863;0.3000370217949182;0.994293505819863;0.0;0.0;0.3000370217949182;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
2.084;723;;1000rounds;Yes;No;2;0.95037;0.96178;0.00000;0.04976;1.91215;AgentYK_01@18156;Middle_C01@18157;0.9503698282715021;0.961776755796423;0.9503698282715021;0.961776755796423;0.9503698282715021;0.961776755796423;0.0;0.0;0.9503698282715021;0.961776755796423;MyAirport_util1.xml;MyAirport_util2.xml
3.336;649;;1000rounds;Yes;No;2;0.35070;0.99350;0.00000;0.65027;1.34419;AgentYK_1@18158;Middle_C01@18159;0.35069530832463797;0.9934994453120816;0.35069530832463797;0.9934994453120816;0.35069530832463797;0.9934994453120816;0.0;0.0;0.35069530832463797;0.9934994453120816;MyAirport_util1.xml;MyAirport_util2.xml
2.300;488;;1000rounds;Yes;No;2;0.30004;0.99429;0.00000;0.70089;1.29433;AgentYK_2@18160;Middle_C01@18161;0.3000370217949182;0.994293505819863;0.3000370217949182;0.994293505819863;0.3000370217949182;0.994293505819863;0.0;0.0;0.3000370217949182;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
4.242;723;;1000rounds;Yes;No;2;0.95037;0.96178;0.00000;0.04976;1.91215;AgreeableAgent2018_01@18162;Middle_C01@18163;0.9503698282715021;0.961776755796423;0.9503698282715021;0.961776755796423;0.9503698282715021;0.961776755796423;0.0;0.0;0.9503698282715021;0.961776755796423;MyAirport_util1.xml;MyAirport_util2.xml
