sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
12.937;757;;1000rounds;Yes;No;2;0.93813;0.98639;0.00000;0.00000;1.92452;AgentBuyogMain_c01@30312;Middle_C01@30313;0.9381270692502682;0.9863929714946046;0.9381270692502682;0.9863929714946046;0.9381270692502682;0.9863929714946046;0.0;0.0;0.9381270692502682;0.9863929714946046;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.658;272;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20921;1.72936;AgentBuyogMain_c1@30314;Middle_C01@30315;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.474;74;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20921;1.72936;AgentBuyogMain_c2@30316;Middle_C01@30317;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
5.368;757;;1000rounds;Yes;No;2;0.93813;0.98639;0.00000;0.00000;1.92452;AgentHP2_main_01@30318;Middle_C01@30319;0.9381270692502682;0.9863929714946046;0.9381270692502682;0.9863929714946046;0.9381270692502682;0.9863929714946046;0.0;0.0;0.9381270692502682;0.9863929714946046;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.316;272;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20921;1.72936;AgentHP2_main_1@30320;Middle_C01@30321;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.347;74;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20921;1.72936;AgentHP2_main_2@30322;Middle_C01@30323;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
5.574;757;;1000rounds;Yes;No;2;0.93813;0.98639;0.00000;0.00000;1.92452;AgentYK_01@30324;Middle_C01@30325;0.9381270692502682;0.9863929714946046;0.9381270692502682;0.9863929714946046;0.9381270692502682;0.9863929714946046;0.0;0.0;0.9381270692502682;0.9863929714946046;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.193;272;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20921;1.72936;AgentYK_1@30326;Middle_C01@30327;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.838;74;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20921;1.72936;AgentYK_2@30328;Middle_C01@30329;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
5.344;757;;1000rounds;Yes;No;2;0.93813;0.98639;0.00000;0.00000;1.92452;AgreeableAgent2018_01@30330;Middle_C01@30331;0.9381270692502682;0.9863929714946046;0.9381270692502682;0.9863929714946046;0.9381270692502682;0.9863929714946046;0.0;0.0;0.9381270692502682;0.9863929714946046;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.411;272;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20921;1.72936;AgreeableAgent2018_1@30332;Middle_C01@30333;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.389;74;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20921;1.72936;AgreeableAgent2018_2@30334;Middle_C01@30335;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.915;757;;1000rounds;Yes;No;2;0.93813;0.98639;0.00000;0.00000;1.92452;GeneKing_01@30336;Middle_C01@30337;0.9381270692502682;0.9863929714946046;0.9381270692502682;0.9863929714946046;0.9381270692502682;0.9863929714946046;0.0;0.0;0.9381270692502682;0.9863929714946046;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.697;272;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20921;1.72936;GeneKing_1@30338;Middle_C01@30339;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.751;74;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20921;1.72936;GeneKing_2@30340;Middle_C01@30341;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.792;757;;1000rounds;Yes;No;2;0.93813;0.98639;0.00000;0.00000;1.92452;GroupY_01@30342;Middle_C01@30343;0.9381270692502682;0.9863929714946046;0.9381270692502682;0.9863929714946046;0.9381270692502682;0.9863929714946046;0.0;0.0;0.9381270692502682;0.9863929714946046;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
