sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
8.860;817;;1000rounds;Yes;No;2;0.84992;0.86796;0.00000;0.18232;1.71788;AgentBuyogMain_c01@8154;Middle_C01_neg@8155;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.0;0.0;0.8499178153174879;0.8679638643365706;ITEX_util3.xml;ITEX_util4.xml
5.694;573;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;AgentBuyogMain_c1@8156;Middle_C01_neg@8157;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
2.731;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;AgentBuyogMain_c2@8158;Middle_C01_neg@8159;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
4.570;817;;1000rounds;Yes;No;2;0.84992;0.86796;0.00000;0.18232;1.71788;AgentHP2_main_01@8160;Middle_C01_neg@8161;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.0;0.0;0.8499178153174879;0.8679638643365706;ITEX_util3.xml;ITEX_util4.xml
2.562;573;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;AgentHP2_main_1@8162;Middle_C01_neg@8163;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
1.743;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;AgentHP2_main_2@8164;Middle_C01_neg@8165;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
5.359;817;;1000rounds;Yes;No;2;0.84992;0.86796;0.00000;0.18232;1.71788;AgentYK_01@8166;Middle_C01_neg@8167;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.0;0.0;0.8499178153174879;0.8679638643365706;ITEX_util3.xml;ITEX_util4.xml
4.880;801;;1000rounds;Yes;No;2;0.20099;0.92180;0.23674;0.81123;1.12279;AgentYK_1@8168;Middle_C01_neg@8169;0.2009880130227941;0.9218037730349015;0.2009880130227941;0.9218037730349015;0.2009880130227941;0.9218037730349015;0.0;0.0;0.2009880130227941;0.9218037730349015;ITEX_util3.xml;ITEX_util4.xml
1.833;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;AgentYK_2@8170;Middle_C01_neg@8171;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
4.416;817;;1000rounds;Yes;No;2;0.84992;0.86796;0.00000;0.18232;1.71788;AgreeableAgent2018_01@8172;Middle_C01_neg@8173;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.0;0.0;0.8499178153174879;0.8679638643365706;ITEX_util3.xml;ITEX_util4.xml
3.215;573;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;AgreeableAgent2018_1@8174;Middle_C01_neg@8175;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
2.111;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;AgreeableAgent2018_2@8176;Middle_C01_neg@8177;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
6.615;817;;1000rounds;Yes;No;2;0.84992;0.86796;0.00000;0.18232;1.71788;GeneKing_01@8178;Middle_C01_neg@8179;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.0;0.0;0.8499178153174879;0.8679638643365706;ITEX_util3.xml;ITEX_util4.xml
4.389;573;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;GeneKing_1@8180;Middle_C01_neg@8181;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
1.271;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;GeneKing_2@8182;Middle_C01_neg@8183;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
4.528;817;;1000rounds;Yes;No;2;0.84992;0.86796;0.00000;0.18232;1.71788;GroupY_01@8184;Middle_C01_neg@8185;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.0;0.0;0.8499178153174879;0.8679638643365706;ITEX_util3.xml;ITEX_util4.xml
3.332;573;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;GroupY_1@8186;Middle_C01_neg@8187;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
1.692;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;GroupY_2@8188;Middle_C01_neg@8189;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
3.137;657;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;JonnyBlack_01@8190;Middle_C01_neg@8191;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
0.037;16;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;JonnyBlack_1@8192;Middle_C01_neg@8193;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
;2;Session genius.core.session.Session@5136abf7 failed: Failed to execute protocol: Execution failed of JonnyBlack_2@8194:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Skew_normal_Distribution\Middle_C01_neg.class];1000rounds;No;;0;;;;;;JonnyBlack_2;Middle_C01_neg;0.0;0.0;0.0;0.0;;;;;;;ITEX_util3;ITEX_util4
4.182;817;;1000rounds;Yes;No;2;0.84992;0.86796;0.00000;0.18232;1.71788;Mamenchis_01@8196;Middle_C01_neg@8197;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.0;0.0;0.8499178153174879;0.8679638643365706;ITEX_util3.xml;ITEX_util4.xml
2.850;573;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;Mamenchis_1@8198;Middle_C01_neg@8199;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
2.184;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;Mamenchis_2@8200;Middle_C01_neg@8201;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
5.182;817;;1000rounds;Yes;No;2;0.84992;0.86796;0.00000;0.18232;1.71788;Mosa_01@8202;Middle_C01_neg@8203;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.8499178153174879;0.8679638643365706;0.0;0.0;0.8499178153174879;0.8679638643365706;ITEX_util3.xml;ITEX_util4.xml
4.029;573;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;Mosa_1@8204;Middle_C01_neg@8205;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
2.376;327;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;Mosa_2@8206;Middle_C01_neg@8207;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
9.425;833;;1000rounds;Yes;No;2;0.84231;0.84962;0.02565;0.16840;1.69194;RandomDance_01@8208;Middle_C01_neg@8209;0.8496215792242616;0.8423139619876167;0.8496215792242616;0.8423139619876167;0.8496215792242616;0.8423139619876167;0.0;0.0;0.8496215792242616;0.8423139619876167;ITEX_util3.xml;ITEX_util4.xml
4.613;573;;1000rounds;Yes;No;2;0.42932;0.98433;0.00000;0.60970;1.41365;RandomDance_1@8210;Middle_C01_neg@8211;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.42932134635612745;0.9843309527584204;0.0;0.0;0.42932134635612745;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
