sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
13.616;642;;1000rounds;Yes;No;2;0.98849;0.99093;0.00000;0.01402;1.97942;AgentBuyogMain_c01@2028;Middle_C01_neg@2029;0.9884854605052079;0.9909309105321403;0.9884854605052079;0.9909309105321403;0.9884854605052079;0.9909309105321403;0.0;0.0;0.9884854605052079;0.9909309105321403;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
3.915;207;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.20645;1.79425;AgentBuyogMain_c1@2030;Middle_C01_neg@2031;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.760;44;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.20645;1.79425;AgentBuyogMain_c2@2032;Middle_C01_neg@2033;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.644;642;;1000rounds;Yes;No;2;0.98849;0.99093;0.00000;0.01402;1.97942;AgentHP2_main_01@2034;Middle_C01_neg@2035;0.9884854605052079;0.9909309105321403;0.9884854605052079;0.9909309105321403;0.9884854605052079;0.9909309105321403;0.0;0.0;0.9884854605052079;0.9909309105321403;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.209;207;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.20645;1.79425;AgentHP2_main_1@2036;Middle_C01_neg@2037;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.045;44;;1000rounds;Yes;No;2;0.79425;1.00000;0.00000;0.20645;1.79425;AgentHP2_main_2@2038;Middle_C01_neg@2039;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.7942512049000645;0.9999999999999998;0.0;0.0;0.7942512049000645;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.680;642;;1000rounds;Yes;No;2;0.98849;0.99093;0.00000;0.01402;1.97942;AgentYK_01@2040;Middle_C01_neg@2041;0.9884854605052079;0.9909309105321403;0.9884854605052079;0.9909309105321403;0.9884854605052079;0.9909309105321403;0.0;0.0;0.9884854605052079;0.9909309105321403;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
1.073;1001;;1000rounds;No;No;1;0.00000;0.00000;1.27704;1.40220;0.00000;AgentYK_1@2042;Middle_C01_neg@2043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
1.086;1001;;1000rounds;No;No;1;0.00000;0.00000;1.27704;1.40220;0.00000;AgentYK_2@2044;Middle_C01_neg@2045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.690;642;;1000rounds;Yes;No;2;0.98849;0.99093;0.00000;0.01402;1.97942;AgreeableAgent2018_01@2046;Middle_C01_neg@2047;0.9884854605052079;0.9909309105321403;0.9884854605052079;0.9909309105321403;0.9884854605052079;0.9909309105321403;0.0;0.0;0.9884854605052079;0.9909309105321403;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
