sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
12.307;891;;1000rounds;Yes;No;2;0.69504;0.73070;0.00000;0.00000;1.42574;AgentBuyogMain_c01@2106;half_Right_C01@2107;0.7307044193766731;0.6950373800534724;0.7307044193766731;0.6950373800534724;0.7307044193766731;0.6950373800534724;0.0;0.0;0.7307044193766731;0.6950373800534724;ITEX_util3.xml;ITEX_util4.xml
7.377;678;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;AgentBuyogMain_c1@2108;half_Right_C01@2109;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
7.007;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;AgentBuyogMain_c2@2110;half_Right_C01@2111;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
5.528;891;;1000rounds;Yes;No;2;0.69504;0.73070;0.00000;0.00000;1.42574;AgentHP2_main_01@2112;half_Right_C01@2113;0.7307044193766731;0.6950373800534724;0.7307044193766731;0.6950373800534724;0.7307044193766731;0.6950373800534724;0.0;0.0;0.7307044193766731;0.6950373800534724;ITEX_util3.xml;ITEX_util4.xml
4.933;678;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;AgentHP2_main_1@2114;half_Right_C01@2115;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
3.401;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;AgentHP2_main_2@2116;half_Right_C01@2117;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
8.452;905;;1000rounds;Yes;No;2;0.63600;0.63909;0.11000;0.11000;1.27509;AgentYK_01@2118;half_Right_C01@2119;0.635998570362093;0.6390908737666833;0.635998570362093;0.6390908737666833;0.635998570362093;0.6390908737666833;0.0;0.0;0.635998570362093;0.6390908737666833;ITEX_util3.xml;ITEX_util4.xml
3.525;678;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;AgentYK_1@2120;half_Right_C01@2121;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
2.359;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;AgentYK_2@2122;half_Right_C01@2123;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
5.825;891;;1000rounds;Yes;No;2;0.69504;0.73070;0.00000;0.00000;1.42574;AgreeableAgent2018_01@2124;half_Right_C01@2125;0.7307044193766731;0.6950373800534724;0.7307044193766731;0.6950373800534724;0.7307044193766731;0.6950373800534724;0.0;0.0;0.7307044193766731;0.6950373800534724;ITEX_util3.xml;ITEX_util4.xml
4.864;678;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;AgreeableAgent2018_1@2126;half_Right_C01@2127;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
2.026;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;AgreeableAgent2018_2@2128;half_Right_C01@2129;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
7.351;891;;1000rounds;Yes;No;2;0.69504;0.73070;0.00000;0.00000;1.42574;GeneKing_01@2130;half_Right_C01@2131;0.7307044193766731;0.6950373800534724;0.7307044193766731;0.6950373800534724;0.7307044193766731;0.6950373800534724;0.0;0.0;0.7307044193766731;0.6950373800534724;ITEX_util3.xml;ITEX_util4.xml
4.548;678;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;GeneKing_1@2132;half_Right_C01@2133;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
2.890;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;GeneKing_2@2134;half_Right_C01@2135;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
9.454;891;;1000rounds;Yes;No;2;0.69504;0.73070;0.00000;0.00000;1.42574;GroupY_01@2136;half_Right_C01@2137;0.7307044193766731;0.6950373800534724;0.7307044193766731;0.6950373800534724;0.7307044193766731;0.6950373800534724;0.0;0.0;0.7307044193766731;0.6950373800534724;ITEX_util3.xml;ITEX_util4.xml
3.995;678;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;GroupY_1@2138;half_Right_C01@2139;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
3.641;459;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;GroupY_2@2140;half_Right_C01@2141;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
2.491;657;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;JonnyBlack_01@2142;half_Right_C01@2143;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
0.046;16;;1000rounds;Yes;No;2;0.31269;0.98433;0.00000;0.50836;1.29702;JonnyBlack_1@2144;half_Right_C01@2145;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.3126910655467356;0.9843309527584204;0.0;0.0;0.3126910655467356;0.9843309527584204;ITEX_util3.xml;ITEX_util4.xml
