sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
12.764;856;;1000rounds;Yes;No;2;0.79614;0.82114;0.00000;0.00000;1.61728;AgentBuyogMain_c01@14130;half_Right_C01@14131;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.0;0.0;0.8211379642382715;0.7961401348183175;MyAirport_util1.xml;MyAirport_util2.xml
11.158;687;;1000rounds;Yes;No;2;0.32381;0.97515;0.00000;0.52857;1.29896;AgentBuyogMain_c1@14132;half_Right_C01@14133;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.0;0.0;0.3238081321520686;0.9751491655644569;MyAirport_util1.xml;MyAirport_util2.xml
7.855;650;;1000rounds;Yes;No;2;0.22249;0.98472;0.00000;0.62765;1.20721;AgentBuyogMain_c2@14134;half_Right_C01@14135;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.0;0.0;0.2224915590926291;0.98471918264254;MyAirport_util1.xml;MyAirport_util2.xml
4.210;856;;1000rounds;Yes;No;2;0.79614;0.82114;0.00000;0.00000;1.61728;AgentHP2_main_01@14136;half_Right_C01@14137;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.0;0.0;0.8211379642382715;0.7961401348183175;MyAirport_util1.xml;MyAirport_util2.xml
3.795;687;;1000rounds;Yes;No;2;0.32381;0.97515;0.00000;0.52857;1.29896;AgentHP2_main_1@14138;half_Right_C01@14139;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.0;0.0;0.3238081321520686;0.9751491655644569;MyAirport_util1.xml;MyAirport_util2.xml
4.033;650;;1000rounds;Yes;No;2;0.22249;0.98472;0.00000;0.62765;1.20721;AgentHP2_main_2@14140;half_Right_C01@14141;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.0;0.0;0.2224915590926291;0.98471918264254;MyAirport_util1.xml;MyAirport_util2.xml
4.521;861;;1000rounds;Yes;No;2;0.77151;0.81010;0.00000;0.05156;1.58161;AgentYK_01@14142;half_Right_C01@14143;0.7715077925097733;0.810098480548378;0.7715077925097733;0.810098480548378;0.7715077925097733;0.810098480548378;0.0;0.0;0.7715077925097733;0.810098480548378;MyAirport_util1.xml;MyAirport_util2.xml
4.039;729;;1000rounds;Yes;No;2;0.27315;0.97993;0.00000;0.57799;1.25308;AgentYK_1@14144;half_Right_C01@14145;0.2731498456223489;0.9799332869738988;0.2731498456223489;0.9799332869738988;0.2731498456223489;0.9799332869738988;0.0;0.0;0.2731498456223489;0.9799332869738988;MyAirport_util1.xml;MyAirport_util2.xml
3.517;671;;1000rounds;Yes;No;2;0.17183;0.98951;0.00000;0.67749;1.16134;AgentYK_2@14146;half_Right_C01@14147;0.17183327256290934;0.9895061549868718;0.17183327256290934;0.9895061549868718;0.17183327256290934;0.9895061549868718;0.0;0.0;0.17183327256290934;0.9895061549868718;MyAirport_util1.xml;MyAirport_util2.xml
2.481;856;;1000rounds;Yes;No;2;0.79614;0.82114;0.00000;0.00000;1.61728;AgreeableAgent2018_01@14148;half_Right_C01@14149;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.0;0.0;0.8211379642382715;0.7961401348183175;MyAirport_util1.xml;MyAirport_util2.xml
3.898;687;;1000rounds;Yes;No;2;0.32381;0.97515;0.00000;0.52857;1.29896;AgreeableAgent2018_1@14150;half_Right_C01@14151;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.0;0.0;0.3238081321520686;0.9751491655644569;MyAirport_util1.xml;MyAirport_util2.xml
3.277;650;;1000rounds;Yes;No;2;0.22249;0.98472;0.00000;0.62765;1.20721;AgreeableAgent2018_2@14152;half_Right_C01@14153;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.0;0.0;0.2224915590926291;0.98471918264254;MyAirport_util1.xml;MyAirport_util2.xml
4.372;856;;1000rounds;Yes;No;2;0.79614;0.82114;0.00000;0.00000;1.61728;GeneKing_01@14154;half_Right_C01@14155;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.0;0.0;0.8211379642382715;0.7961401348183175;MyAirport_util1.xml;MyAirport_util2.xml
3.753;687;;1000rounds;Yes;No;2;0.32381;0.97515;0.00000;0.52857;1.29896;GeneKing_1@14156;half_Right_C01@14157;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.0;0.0;0.3238081321520686;0.9751491655644569;MyAirport_util1.xml;MyAirport_util2.xml
3.239;650;;1000rounds;Yes;No;2;0.22249;0.98472;0.00000;0.62765;1.20721;GeneKing_2@14158;half_Right_C01@14159;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.0;0.0;0.2224915590926291;0.98471918264254;MyAirport_util1.xml;MyAirport_util2.xml
4.471;856;;1000rounds;Yes;No;2;0.79614;0.82114;0.00000;0.00000;1.61728;GroupY_01@14160;half_Right_C01@14161;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.0;0.0;0.8211379642382715;0.7961401348183175;MyAirport_util1.xml;MyAirport_util2.xml
3.506;687;;1000rounds;Yes;No;2;0.32381;0.97515;0.00000;0.52857;1.29896;GroupY_1@14162;half_Right_C01@14163;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.0;0.0;0.3238081321520686;0.9751491655644569;MyAirport_util1.xml;MyAirport_util2.xml
2.192;650;;1000rounds;Yes;No;2;0.22249;0.98472;0.00000;0.62765;1.20721;GroupY_2@14164;half_Right_C01@14165;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.0;0.0;0.2224915590926291;0.98471918264254;MyAirport_util1.xml;MyAirport_util2.xml
3.101;633;;1000rounds;Yes;No;2;0.17183;0.98951;0.00000;0.67749;1.16134;JonnyBlack_01@14166;half_Right_C01@14167;0.17183327256290934;0.9895061549868718;0.17183327256290934;0.9895061549868718;0.17183327256290934;0.9895061549868718;0.0;0.0;0.17183327256290934;0.9895061549868718;MyAirport_util1.xml;MyAirport_util2.xml
0.032;12;;1000rounds;Yes;No;2;0.12117;0.99429;0.00000;0.72747;1.11547;JonnyBlack_1@14168;half_Right_C01@14169;0.12117498603318957;0.994293505819863;0.12117498603318957;0.994293505819863;0.12117498603318957;0.994293505819863;0.0;0.0;0.12117498603318957;0.994293505819863;MyAirport_util1.xml;MyAirport_util2.xml
;2;Session genius.core.session.Session@2169fb3c failed: Failed to execute protocol: Execution failed of JonnyBlack_2@14170:java.lang.NullPointerException: bid can not be null: bid can not be null:[C:\Users\M H\Desktop\myproject\myproject\bin\performance_opponents\JonnyBlack_2\JonnyBlack_2.class, C:\Users\M H\Desktop\myproject\myproject\bin\Benchmark_Agents\Skew_normal_Distribution\half_Right_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_2;half_Right_C01;0.0;0.0;0.0;0.0;;;;;;;MyAirport_util1;MyAirport_util2
3.719;856;;1000rounds;Yes;No;2;0.79614;0.82114;0.00000;0.00000;1.61728;Mamenchis_01@14172;half_Right_C01@14173;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.0;0.0;0.8211379642382715;0.7961401348183175;MyAirport_util1.xml;MyAirport_util2.xml
3.723;687;;1000rounds;Yes;No;2;0.32381;0.97515;0.00000;0.52857;1.29896;Mamenchis_1@14174;half_Right_C01@14175;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.0;0.0;0.3238081321520686;0.9751491655644569;MyAirport_util1.xml;MyAirport_util2.xml
6.394;650;;1000rounds;Yes;No;2;0.22249;0.98472;0.00000;0.62765;1.20721;Mamenchis_2@14176;half_Right_C01@14177;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.0;0.0;0.2224915590926291;0.98471918264254;MyAirport_util1.xml;MyAirport_util2.xml
8.446;856;;1000rounds;Yes;No;2;0.79614;0.82114;0.00000;0.00000;1.61728;Mosa_01@14178;half_Right_C01@14179;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.0;0.0;0.8211379642382715;0.7961401348183175;MyAirport_util1.xml;MyAirport_util2.xml
8.020;687;;1000rounds;Yes;No;2;0.32381;0.97515;0.00000;0.52857;1.29896;Mosa_1@14180;half_Right_C01@14181;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.0;0.0;0.3238081321520686;0.9751491655644569;MyAirport_util1.xml;MyAirport_util2.xml
3.021;650;;1000rounds;Yes;No;2;0.22249;0.98472;0.00000;0.62765;1.20721;Mosa_2@14182;half_Right_C01@14183;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.0;0.0;0.2224915590926291;0.98471918264254;MyAirport_util1.xml;MyAirport_util2.xml
14.533;855;;1000rounds;Yes;No;2;0.79614;0.82114;0.00000;0.00000;1.61728;RandomDance_01@14184;half_Right_C01@14185;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.0;0.0;0.8211379642382715;0.7961401348183175;MyAirport_util1.xml;MyAirport_util2.xml
7.647;687;;1000rounds;Yes;No;2;0.32381;0.97515;0.00000;0.52857;1.29896;RandomDance_1@14186;half_Right_C01@14187;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.0;0.0;0.3238081321520686;0.9751491655644569;MyAirport_util1.xml;MyAirport_util2.xml
9.226;650;;1000rounds;Yes;No;2;0.22249;0.98472;0.00000;0.62765;1.20721;RandomDance_2@14188;half_Right_C01@14189;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.0;0.0;0.2224915590926291;0.98471918264254;MyAirport_util1.xml;MyAirport_util2.xml
11.064;856;;1000rounds;Yes;No;2;0.79614;0.82114;0.00000;0.00000;1.61728;Agent36_01@14190;half_Right_C01@14191;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.0;0.0;0.8211379642382715;0.7961401348183175;MyAirport_util1.xml;MyAirport_util2.xml
7.377;687;;1000rounds;Yes;No;2;0.32381;0.97515;0.00000;0.52857;1.29896;Agent36_1@14192;half_Right_C01@14193;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.0;0.0;0.3238081321520686;0.9751491655644569;MyAirport_util1.xml;MyAirport_util2.xml
5.371;650;;1000rounds;Yes;No;2;0.22249;0.98472;0.00000;0.62765;1.20721;Agent36_2@14194;half_Right_C01@14195;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.0;0.0;0.2224915590926291;0.98471918264254;MyAirport_util1.xml;MyAirport_util2.xml
7.381;856;;1000rounds;Yes;No;2;0.79614;0.82114;0.00000;0.00000;1.61728;ConDAgent_01@14196;half_Right_C01@14197;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.0;0.0;0.8211379642382715;0.7961401348183175;MyAirport_util1.xml;MyAirport_util2.xml
4.167;687;;1000rounds;Yes;No;2;0.32381;0.97515;0.00000;0.52857;1.29896;ConDAgent_1@14198;half_Right_C01@14199;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.0;0.0;0.3238081321520686;0.9751491655644569;MyAirport_util1.xml;MyAirport_util2.xml
3.649;650;;1000rounds;Yes;No;2;0.22249;0.98472;0.00000;0.62765;1.20721;ConDAgent_2@14200;half_Right_C01@14201;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.0;0.0;0.2224915590926291;0.98471918264254;MyAirport_util1.xml;MyAirport_util2.xml
6.484;856;;1000rounds;Yes;No;2;0.79614;0.82114;0.00000;0.00000;1.61728;KGAgent_01@14202;half_Right_C01@14203;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.8211379642382715;0.7961401348183175;0.0;0.0;0.8211379642382715;0.7961401348183175;MyAirport_util1.xml;MyAirport_util2.xml
5.706;687;;1000rounds;Yes;No;2;0.32381;0.97515;0.00000;0.52857;1.29896;KGAgent_1@14204;half_Right_C01@14205;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.3238081321520686;0.9751491655644569;0.0;0.0;0.3238081321520686;0.9751491655644569;MyAirport_util1.xml;MyAirport_util2.xml
2.779;650;;1000rounds;Yes;No;2;0.22249;0.98472;0.00000;0.62765;1.20721;KGAgent_2@14206;half_Right_C01@14207;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.2224915590926291;0.98471918264254;0.0;0.0;0.2224915590926291;0.98471918264254;MyAirport_util1.xml;MyAirport_util2.xml
