sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
9.210;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentBuyogMain_c01@26226;half_Right_C01@26227;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.779;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentBuyogMain_c1@26228;half_Right_C01@26229;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.027;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentBuyogMain_c2@26230;half_Right_C01@26231;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.067;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentHP2_main_01@26232;half_Right_C01@26233;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.218;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentHP2_main_1@26234;half_Right_C01@26235;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.016;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentHP2_main_2@26236;half_Right_C01@26237;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
5.351;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentYK_01@26238;half_Right_C01@26239;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.220;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentYK_1@26240;half_Right_C01@26241;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.179;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgentYK_2@26242;half_Right_C01@26243;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.479;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgreeableAgent2018_01@26244;half_Right_C01@26245;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.229;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgreeableAgent2018_1@26246;half_Right_C01@26247;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.015;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;AgreeableAgent2018_2@26248;half_Right_C01@26249;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.925;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;GeneKing_01@26250;half_Right_C01@26251;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.214;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;GeneKing_1@26252;half_Right_C01@26253;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.016;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;GeneKing_2@26254;half_Right_C01@26255;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.777;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;GroupY_01@26256;half_Right_C01@26257;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.853;68;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;GroupY_1@26258;half_Right_C01@26259;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.078;6;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;GroupY_2@26260;half_Right_C01@26261;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
7.983;771;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;JonnyBlack_01@26262;half_Right_C01@26263;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.322;74;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;JonnyBlack_1@26264;half_Right_C01@26265;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.069;7;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;JonnyBlack_2@26266;half_Right_C01@26267;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
5.735;765;;1000rounds;Yes;No;2;0.92929;1.00000;0.00000;0.00000;1.92929;Mamenchis_01@26268;half_Right_C01@26269;0.9292880791431637;1.0;0.9292880791431637;1.0;0.9292880791431637;1.0;0.0;0.0;0.9292880791431637;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
