sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
1.411;491;;1000rounds;Yes;No;2;0.99842;1.00000;0.00000;0.00000;1.99842;AgentBuyogMain_c01@10000;half_Right_C01_neg@10001;1.0;0.9984207086457152;1.0;0.9984207086457152;1.0;0.9984207086457152;0.0;0.0;1.0;0.9984207086457152;Barter-A-prof1.xml;Barter-A-prof2.xml
0.091;74;;1000rounds;Yes;No;2;0.92000;1.00000;0.00000;0.08002;1.92000;AgentBuyogMain_c1@10002;half_Right_C01_neg@10003;0.9199999999999999;1.0;0.9199999999999999;1.0;0.9199999999999999;1.0;0.0;0.0;0.9199999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.008;7;;1000rounds;Yes;No;2;0.92000;1.00000;0.00000;0.08002;1.92000;AgentBuyogMain_c2@10004;half_Right_C01_neg@10005;0.9199999999999999;1.0;0.9199999999999999;1.0;0.9199999999999999;1.0;0.0;0.0;0.9199999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.503;491;;1000rounds;Yes;No;2;0.99842;1.00000;0.00000;0.00000;1.99842;AgentHP2_main_01@10006;half_Right_C01_neg@10007;1.0;0.9984207086457152;1.0;0.9984207086457152;1.0;0.9984207086457152;0.0;0.0;1.0;0.9984207086457152;Barter-A-prof1.xml;Barter-A-prof2.xml
0.072;74;;1000rounds;Yes;No;2;0.92000;1.00000;0.00000;0.08002;1.92000;AgentHP2_main_1@10008;half_Right_C01_neg@10009;0.9199999999999999;1.0;0.9199999999999999;1.0;0.9199999999999999;1.0;0.0;0.0;0.9199999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.006;7;;1000rounds;Yes;No;2;0.92000;1.00000;0.00000;0.08002;1.92000;AgentHP2_main_2@10010;half_Right_C01_neg@10011;0.9199999999999999;1.0;0.9199999999999999;1.0;0.9199999999999999;1.0;0.0;0.0;0.9199999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.512;491;;1000rounds;Yes;No;2;0.99842;1.00000;0.00000;0.00000;1.99842;AgentYK_01@10012;half_Right_C01_neg@10013;1.0;0.9984207086457152;1.0;0.9984207086457152;1.0;0.9984207086457152;0.0;0.0;1.0;0.9984207086457152;Barter-A-prof1.xml;Barter-A-prof2.xml
0.077;74;;1000rounds;Yes;No;2;0.92000;1.00000;0.00000;0.08002;1.92000;AgentYK_1@10014;half_Right_C01_neg@10015;0.9199999999999999;1.0;0.9199999999999999;1.0;0.9199999999999999;1.0;0.0;0.0;0.9199999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.007;7;;1000rounds;Yes;No;2;0.92000;1.00000;0.00000;0.08002;1.92000;AgentYK_2@10016;half_Right_C01_neg@10017;0.9199999999999999;1.0;0.9199999999999999;1.0;0.9199999999999999;1.0;0.0;0.0;0.9199999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.506;491;;1000rounds;Yes;No;2;0.99842;1.00000;0.00000;0.00000;1.99842;AgreeableAgent2018_01@10018;half_Right_C01_neg@10019;1.0;0.9984207086457152;1.0;0.9984207086457152;1.0;0.9984207086457152;0.0;0.0;1.0;0.9984207086457152;Barter-A-prof1.xml;Barter-A-prof2.xml
0.073;74;;1000rounds;Yes;No;2;0.92000;1.00000;0.00000;0.08002;1.92000;AgreeableAgent2018_1@10020;half_Right_C01_neg@10021;0.9199999999999999;1.0;0.9199999999999999;1.0;0.9199999999999999;1.0;0.0;0.0;0.9199999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
0.006;7;;1000rounds;Yes;No;2;0.92000;1.00000;0.00000;0.08002;1.92000;AgreeableAgent2018_2@10022;half_Right_C01_neg@10023;0.9199999999999999;1.0;0.9199999999999999;1.0;0.9199999999999999;1.0;0.0;0.0;0.9199999999999999;1.0;Barter-A-prof1.xml;Barter-A-prof2.xml
