sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
11.691;781;;1000rounds;Yes;No;2;0.91348;0.91730;0.00000;0.00000;1.83078;AgentBuyogMain_c01@28260;half_Right_C01_neg@28261;0.9172997040138886;0.9134772679585079;0.9172997040138886;0.9134772679585079;0.9172997040138886;0.9134772679585079;0.0;0.0;0.9172997040138886;0.9134772679585079;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.495;272;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20690;1.72936;AgentBuyogMain_c1@28262;half_Right_C01_neg@28263;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.352;74;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20690;1.72936;AgentBuyogMain_c2@28264;half_Right_C01_neg@28265;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
7.112;781;;1000rounds;Yes;No;2;0.91348;0.91730;0.00000;0.00000;1.83078;AgentHP2_main_01@28266;half_Right_C01_neg@28267;0.9172997040138886;0.9134772679585079;0.9172997040138886;0.9134772679585079;0.9172997040138886;0.9134772679585079;0.0;0.0;0.9172997040138886;0.9134772679585079;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.864;272;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20690;1.72936;AgentHP2_main_1@28268;half_Right_C01_neg@28269;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.117;74;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20690;1.72936;AgentHP2_main_2@28270;half_Right_C01_neg@28271;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
6.880;781;;1000rounds;Yes;No;2;0.91348;0.91730;0.00000;0.00000;1.83078;AgentYK_01@28272;half_Right_C01_neg@28273;0.9172997040138886;0.9134772679585079;0.9172997040138886;0.9134772679585079;0.9172997040138886;0.9134772679585079;0.0;0.0;0.9172997040138886;0.9134772679585079;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.270;272;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20690;1.72936;AgentYK_1@28274;half_Right_C01_neg@28275;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.708;74;;1000rounds;Yes;No;2;0.72936;1.00000;0.00000;0.20690;1.72936;AgentYK_2@28276;half_Right_C01_neg@28277;0.7293647495734408;1.0;0.7293647495734408;1.0;0.7293647495734408;1.0;0.0;0.0;0.7293647495734408;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
6.218;781;;1000rounds;Yes;No;2;0.91348;0.91730;0.00000;0.00000;1.83078;AgreeableAgent2018_01@28278;half_Right_C01_neg@28279;0.9172997040138886;0.9134772679585079;0.9172997040138886;0.9134772679585079;0.9172997040138886;0.9134772679585079;0.0;0.0;0.9172997040138886;0.9134772679585079;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
