sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
21.101;917;;1000rounds;Yes;No;2;0.59274;0.83844;0.01627;0.24288;1.43118;AgentBuyogMain_c01@4014;half_Right_C01_neg@4015;0.8384381591892819;0.5927373522689331;0.8384381591892819;0.5927373522689331;0.8384381591892819;0.5927373522689331;0.0;0.0;0.8384381591892819;0.5927373522689331;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
14.933;710;;1000rounds;Yes;No;2;0.39170;0.96476;0.00000;0.35950;1.35646;AgentBuyogMain_c1@4016;half_Right_C01_neg@4017;0.39169593336311087;0.9647620965178829;0.39169593336311087;0.9647620965178829;0.39169593336311087;0.9647620965178829;0.0;0.0;0.39169593336311087;0.9647620965178829;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
12.077;586;;1000rounds;Yes;No;2;0.23554;1.00000;0.00000;0.51596;1.23554;AgentBuyogMain_c2@4018;half_Right_C01_neg@4019;0.23553705742821443;0.9999999999999998;0.23553705742821443;0.9999999999999998;0.23553705742821443;0.9999999999999998;0.0;0.0;0.23553705742821443;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
1.020;917;;1000rounds;Yes;No;2;0.59274;0.83844;0.01627;0.24288;1.43118;AgentHP2_main_01@4020;half_Right_C01_neg@4021;0.8384381591892819;0.5927373522689331;0.8384381591892819;0.5927373522689331;0.8384381591892819;0.5927373522689331;0.0;0.0;0.8384381591892819;0.5927373522689331;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.774;710;;1000rounds;Yes;No;2;0.39170;0.96476;0.00000;0.35950;1.35646;AgentHP2_main_1@4022;half_Right_C01_neg@4023;0.39169593336311087;0.9647620965178829;0.39169593336311087;0.9647620965178829;0.39169593336311087;0.9647620965178829;0.0;0.0;0.39169593336311087;0.9647620965178829;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.689;586;;1000rounds;Yes;No;2;0.23554;1.00000;0.00000;0.51596;1.23554;AgentHP2_main_2@4024;half_Right_C01_neg@4025;0.23553705742821443;0.9999999999999998;0.23553705742821443;0.9999999999999998;0.23553705742821443;0.9999999999999998;0.0;0.0;0.23553705742821443;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
1.023;931;;1000rounds;Yes;No;2;0.52084;0.61923;0.19427;0.26195;1.14007;AgentYK_01@4026;half_Right_C01_neg@4027;0.5208432841106615;0.6192254901325142;0.5208432841106615;0.6192254901325142;0.5208432841106615;0.6192254901325142;0.0;0.0;0.5208432841106615;0.6192254901325142;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.852;825;;1000rounds;Yes;No;2;0.17675;0.90906;0.10828;0.54531;1.08582;AgentYK_1@4028;half_Right_C01_neg@4029;0.17675287101033943;0.9090643642996807;0.17675287101033943;0.9090643642996807;0.17675287101033943;0.9090643642996807;0.0;0.0;0.17675287101033943;0.9090643642996807;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.694;586;;1000rounds;Yes;No;2;0.23554;1.00000;0.00000;0.51596;1.23554;AgentYK_2@4030;half_Right_C01_neg@4031;0.23553705742821443;0.9999999999999998;0.23553705742821443;0.9999999999999998;0.23553705742821443;0.9999999999999998;0.0;0.0;0.23553705742821443;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.961;917;;1000rounds;Yes;No;2;0.59274;0.83844;0.01627;0.24288;1.43118;AgreeableAgent2018_01@4032;half_Right_C01_neg@4033;0.8384381591892819;0.5927373522689331;0.8384381591892819;0.5927373522689331;0.8384381591892819;0.5927373522689331;0.0;0.0;0.8384381591892819;0.5927373522689331;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.760;710;;1000rounds;Yes;No;2;0.39170;0.96476;0.00000;0.35950;1.35646;AgreeableAgent2018_1@4034;half_Right_C01_neg@4035;0.39169593336311087;0.9647620965178829;0.39169593336311087;0.9647620965178829;0.39169593336311087;0.9647620965178829;0.0;0.0;0.39169593336311087;0.9647620965178829;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.660;586;;1000rounds;Yes;No;2;0.23554;1.00000;0.00000;0.51596;1.23554;AgreeableAgent2018_2@4036;half_Right_C01_neg@4037;0.23553705742821443;0.9999999999999998;0.23553705742821443;0.9999999999999998;0.23553705742821443;0.9999999999999998;0.0;0.0;0.23553705742821443;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.982;917;;1000rounds;Yes;No;2;0.59274;0.83844;0.01627;0.24288;1.43118;GeneKing_01@4038;half_Right_C01_neg@4039;0.8384381591892819;0.5927373522689331;0.8384381591892819;0.5927373522689331;0.8384381591892819;0.5927373522689331;0.0;0.0;0.8384381591892819;0.5927373522689331;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
