sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
20.632;884;;1000rounds;Yes;No;2;0.71527;0.82442;0.00000;0.09854;1.53968;AgentBuyogMain_c01@18182;Tri3_P0_5_C01@18183;0.7152663648760829;0.8244150206951875;0.7152663648760829;0.8244150206951875;0.7152663648760829;0.8244150206951875;0.0;0.0;0.7152663648760829;0.8244150206951875;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
8.123;391;;1000rounds;Yes;No;2;0.61095;1.00000;0.00000;0.10663;1.61095;AgentBuyogMain_c1@18184;Tri3_P0_5_C01@18185;0.6109467804303628;1.0;0.6109467804303628;1.0;0.6109467804303628;1.0;0.0;0.0;0.6109467804303628;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.757;153;;1000rounds;Yes;No;2;0.61095;1.00000;0.00000;0.10663;1.61095;AgentBuyogMain_c2@18186;Tri3_P0_5_C01@18187;0.6109467804303628;1.0;0.6109467804303628;1.0;0.6109467804303628;1.0;0.0;0.0;0.6109467804303628;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
9.690;884;;1000rounds;Yes;No;2;0.71527;0.82442;0.00000;0.09854;1.53968;AgentHP2_main_01@18188;Tri3_P0_5_C01@18189;0.7152663648760829;0.8244150206951875;0.7152663648760829;0.8244150206951875;0.7152663648760829;0.8244150206951875;0.0;0.0;0.7152663648760829;0.8244150206951875;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.807;391;;1000rounds;Yes;No;2;0.61095;1.00000;0.00000;0.10663;1.61095;AgentHP2_main_1@18190;Tri3_P0_5_C01@18191;0.6109467804303628;1.0;0.6109467804303628;1.0;0.6109467804303628;1.0;0.0;0.0;0.6109467804303628;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.490;153;;1000rounds;Yes;No;2;0.61095;1.00000;0.00000;0.10663;1.61095;AgentHP2_main_2@18192;Tri3_P0_5_C01@18193;0.6109467804303628;1.0;0.6109467804303628;1.0;0.6109467804303628;1.0;0.0;0.0;0.6109467804303628;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
8.586;884;;1000rounds;Yes;No;2;0.71527;0.82442;0.00000;0.09854;1.53968;AgentYK_01@18194;Tri3_P0_5_C01@18195;0.7152663648760829;0.8244150206951875;0.7152663648760829;0.8244150206951875;0.7152663648760829;0.8244150206951875;0.0;0.0;0.7152663648760829;0.8244150206951875;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
4.573;391;;1000rounds;Yes;No;2;0.61095;1.00000;0.00000;0.10663;1.61095;AgentYK_1@18196;Tri3_P0_5_C01@18197;0.6109467804303628;1.0;0.6109467804303628;1.0;0.6109467804303628;1.0;0.0;0.0;0.6109467804303628;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.609;153;;1000rounds;Yes;No;2;0.61095;1.00000;0.00000;0.10663;1.61095;AgentYK_2@18198;Tri3_P0_5_C01@18199;0.6109467804303628;1.0;0.6109467804303628;1.0;0.6109467804303628;1.0;0.0;0.0;0.6109467804303628;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
11.609;884;;1000rounds;Yes;No;2;0.71527;0.82442;0.00000;0.09854;1.53968;AgreeableAgent2018_01@18200;Tri3_P0_5_C01@18201;0.7152663648760829;0.8244150206951875;0.7152663648760829;0.8244150206951875;0.7152663648760829;0.8244150206951875;0.0;0.0;0.7152663648760829;0.8244150206951875;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.314;391;;1000rounds;Yes;No;2;0.61095;1.00000;0.00000;0.10663;1.61095;AgreeableAgent2018_1@18202;Tri3_P0_5_C01@18203;0.6109467804303628;1.0;0.6109467804303628;1.0;0.6109467804303628;1.0;0.0;0.0;0.6109467804303628;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.184;153;;1000rounds;Yes;No;2;0.61095;1.00000;0.00000;0.10663;1.61095;AgreeableAgent2018_2@18204;Tri3_P0_5_C01@18205;0.6109467804303628;1.0;0.6109467804303628;1.0;0.6109467804303628;1.0;0.0;0.0;0.6109467804303628;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
9.395;884;;1000rounds;Yes;No;2;0.71527;0.82442;0.00000;0.09854;1.53968;GeneKing_01@18206;Tri3_P0_5_C01@18207;0.7152663648760829;0.8244150206951875;0.7152663648760829;0.8244150206951875;0.7152663648760829;0.8244150206951875;0.0;0.0;0.7152663648760829;0.8244150206951875;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.430;391;;1000rounds;Yes;No;2;0.61095;1.00000;0.00000;0.10663;1.61095;GeneKing_1@18208;Tri3_P0_5_C01@18209;0.6109467804303628;1.0;0.6109467804303628;1.0;0.6109467804303628;1.0;0.0;0.0;0.6109467804303628;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.881;153;;1000rounds;Yes;No;2;0.61095;1.00000;0.00000;0.10663;1.61095;GeneKing_2@18210;Tri3_P0_5_C01@18211;0.6109467804303628;1.0;0.6109467804303628;1.0;0.6109467804303628;1.0;0.0;0.0;0.6109467804303628;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
7.201;884;;1000rounds;Yes;No;2;0.71527;0.82442;0.00000;0.09854;1.53968;GroupY_01@18212;Tri3_P0_5_C01@18213;0.7152663648760829;0.8244150206951875;0.7152663648760829;0.8244150206951875;0.7152663648760829;0.8244150206951875;0.0;0.0;0.7152663648760829;0.8244150206951875;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
3.654;391;;1000rounds;Yes;No;2;0.61095;1.00000;0.00000;0.10663;1.61095;GroupY_1@18214;Tri3_P0_5_C01@18215;0.6109467804303628;1.0;0.6109467804303628;1.0;0.6109467804303628;1.0;0.0;0.0;0.6109467804303628;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.171;153;;1000rounds;Yes;No;2;0.61095;1.00000;0.00000;0.10663;1.61095;GroupY_2@18216;Tri3_P0_5_C01@18217;0.6109467804303628;1.0;0.6109467804303628;1.0;0.6109467804303628;1.0;0.0;0.0;0.6109467804303628;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
