sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;AgentBuyogMain_c01@1616;Tri3_P0_5_C01@1617;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.006;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;AgentBuyogMain_c1@1618;Tri3_P0_5_C01@1619;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.007;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;AgentBuyogMain_c2@1620;Tri3_P0_5_C01@1621;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.007;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;AgentHP2_main_01@1622;Tri3_P0_5_C01@1623;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.007;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;AgentHP2_main_1@1624;Tri3_P0_5_C01@1625;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.007;3;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;AgentHP2_main_2@1626;Tri3_P0_5_C01@1627;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;AgentYK_01@1628;Tri3_P0_5_C01@1629;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;AgentYK_1@1630;Tri3_P0_5_C01@1631;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.400;938;;1000rounds;Yes;No;2;0.03234;0.52704;0.90181;0.90181;0.55938;AgentYK_2@1632;Tri3_P0_5_C01@1633;0.03233523788951549;0.5270419135188598;0.03233523788951549;0.5270419135188598;0.03233523788951549;0.5270419135188598;0.0;0.0;0.03233523788951549;0.5270419135188598;Energy-A-prof1.xml;Energy-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;AgreeableAgent2018_01@1634;Tri3_P0_5_C01@1635;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
