sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_max_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@30;Tri3_P0_5_C01@31;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_e_k_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@32;Tri3_P0_5_C01@33;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@34;Tri3_P0_5_C01@35;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_e_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@36;Tri3_P0_5_C01@37;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.SmithFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@38;Tri3_P0_5_C01@39;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_min_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@40;Tri3_P0_5_C01@41;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.SmithFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@42;Tri3_P0_5_C01@43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_e_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@44;Tri3_P0_5_C01@45;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_max_min_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@46;Tri3_P0_5_C01@47;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@48;Tri3_P0_5_C01@49;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@50;Tri3_P0_5_C01@51;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
