sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.853;492;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_max_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@1488;Tri3_P1_C01@1489;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
1.409;892;;1000rounds;Yes;No;2;0.69129;0.71708;0.04084;0.22348;1.40837;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_e_k_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@1490;Tri3_P1_C01@1491;0.7170785282163696;0.6912866548210663;0.7170785282163696;0.6912866548210663;0.7170785282163696;0.6912866548210663;0.0;0.0;0.7170785282163696;0.6912866548210663;Energy-A-prof1.xml;Energy-A-prof2.xml
0.315;242;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@1492;Tri3_P1_C01@1493;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.926;492;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_e_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@1494;Tri3_P1_C01@1495;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
7.657;892;;1000rounds;Yes;No;2;0.69129;0.71708;0.04084;0.22348;1.40837;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.SmithFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@1496;Tri3_P1_C01@1497;0.7170785282163696;0.6912866548210663;0.7170785282163696;0.6912866548210663;0.7170785282163696;0.6912866548210663;0.0;0.0;0.7170785282163696;0.6912866548210663;Energy-A-prof1.xml;Energy-A-prof2.xml
0.365;242;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_min_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@1500;Tri3_P1_C01@1501;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.779;492;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.SmithFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@1502;Tri3_P1_C01@1503;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
1.857;892;;1000rounds;Yes;No;2;0.69129;0.71708;0.04084;0.22348;1.40837;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_e_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@1504;Tri3_P1_C01@1505;0.7170785282163696;0.6912866548210663;0.7170785282163696;0.6912866548210663;0.7170785282163696;0.6912866548210663;0.0;0.0;0.7170785282163696;0.6912866548210663;Energy-A-prof1.xml;Energy-A-prof2.xml
0.365;242;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_max_min_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@1508;Tri3_P1_C01@1509;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.722;492;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@1510;Tri3_P1_C01@1511;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
