sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
18.914;869;;1000rounds;Yes;No;2;0.75966;0.80715;0.06904;0.10850;1.56681;AgentBuyogMain_c01@1944;Tri3_P3_C01@1945;0.7596562589342366;0.8071497773815377;0.7596562589342366;0.8071497773815377;0.7596562589342366;0.8071497773815377;0.0;0.0;0.7596562589342366;0.8071497773815377;small3_util1.xml;small3_util2.xml
7.643;385;;1000rounds;Yes;No;2;0.61642;1.00000;0.00000;0.31711;1.61642;AgentBuyogMain_c1@1946;Tri3_P3_C01@1947;0.6164206787529312;1.0;0.6164206787529312;1.0;0.6164206787529312;1.0;0.0;0.0;0.6164206787529312;1.0;small3_util1.xml;small3_util2.xml
2.839;149;;1000rounds;Yes;No;2;0.61642;1.00000;0.00000;0.31711;1.61642;AgentBuyogMain_c2@1948;Tri3_P3_C01@1949;0.6164206787529312;1.0;0.6164206787529312;1.0;0.6164206787529312;1.0;0.0;0.0;0.6164206787529312;1.0;small3_util1.xml;small3_util2.xml
0.921;869;;1000rounds;Yes;No;2;0.75966;0.80715;0.06904;0.10850;1.56681;AgentHP2_main_01@1950;Tri3_P3_C01@1951;0.7596562589342366;0.8071497773815377;0.7596562589342366;0.8071497773815377;0.7596562589342366;0.8071497773815377;0.0;0.0;0.7596562589342366;0.8071497773815377;small3_util1.xml;small3_util2.xml
0.426;385;;1000rounds;Yes;No;2;0.61642;1.00000;0.00000;0.31711;1.61642;AgentHP2_main_1@1952;Tri3_P3_C01@1953;0.6164206787529312;1.0;0.6164206787529312;1.0;0.6164206787529312;1.0;0.0;0.0;0.6164206787529312;1.0;small3_util1.xml;small3_util2.xml
0.152;149;;1000rounds;Yes;No;2;0.61642;1.00000;0.00000;0.31711;1.61642;AgentHP2_main_2@1954;Tri3_P3_C01@1955;0.6164206787529312;1.0;0.6164206787529312;1.0;0.6164206787529312;1.0;0.0;0.0;0.6164206787529312;1.0;small3_util1.xml;small3_util2.xml
0.845;869;;1000rounds;Yes;No;2;0.75966;0.80715;0.06904;0.10850;1.56681;AgentYK_01@1956;Tri3_P3_C01@1957;0.7596562589342366;0.8071497773815377;0.7596562589342366;0.8071497773815377;0.7596562589342366;0.8071497773815377;0.0;0.0;0.7596562589342366;0.8071497773815377;small3_util1.xml;small3_util2.xml
1.090;982;;1000rounds;Yes;No;2;0.01892;0.22303;0.94498;1.03072;0.24195;AgentYK_1@1958;Tri3_P3_C01@1959;0.01892391636167792;0.22302613537814137;0.01892391636167792;0.22302613537814137;0.01892391636167792;0.22302613537814137;0.0;0.0;0.01892391636167792;0.22302613537814137;small3_util1.xml;small3_util2.xml
1.049;1001;;1000rounds;No;No;1;0.00000;0.00000;0.99137;1.18540;0.00000;AgentYK_2@1960;Tri3_P3_C01@1961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;small3_util1.xml;small3_util2.xml
0.917;869;;1000rounds;Yes;No;2;0.75966;0.80715;0.06904;0.10850;1.56681;AgreeableAgent2018_01@1962;Tri3_P3_C01@1963;0.7596562589342366;0.8071497773815377;0.7596562589342366;0.8071497773815377;0.7596562589342366;0.8071497773815377;0.0;0.0;0.7596562589342366;0.8071497773815377;small3_util1.xml;small3_util2.xml
0.379;385;;1000rounds;Yes;No;2;0.61642;1.00000;0.00000;0.31711;1.61642;AgreeableAgent2018_1@1964;Tri3_P3_C01@1965;0.6164206787529312;1.0;0.6164206787529312;1.0;0.6164206787529312;1.0;0.0;0.0;0.6164206787529312;1.0;small3_util1.xml;small3_util2.xml
0.149;149;;1000rounds;Yes;No;2;0.61642;1.00000;0.00000;0.31711;1.61642;AgreeableAgent2018_2@1966;Tri3_P3_C01@1967;0.6164206787529312;1.0;0.6164206787529312;1.0;0.6164206787529312;1.0;0.0;0.0;0.6164206787529312;1.0;small3_util1.xml;small3_util2.xml
0.872;869;;1000rounds;Yes;No;2;0.75966;0.80715;0.06904;0.10850;1.56681;GeneKing_01@1968;Tri3_P3_C01@1969;0.7596562589342366;0.8071497773815377;0.7596562589342366;0.8071497773815377;0.7596562589342366;0.8071497773815377;0.0;0.0;0.7596562589342366;0.8071497773815377;small3_util1.xml;small3_util2.xml
0.434;385;;1000rounds;Yes;No;2;0.61642;1.00000;0.00000;0.31711;1.61642;GeneKing_1@1970;Tri3_P3_C01@1971;0.6164206787529312;1.0;0.6164206787529312;1.0;0.6164206787529312;1.0;0.0;0.0;0.6164206787529312;1.0;small3_util1.xml;small3_util2.xml
