sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
18.296;858;;1000rounds;Yes;No;2;0.78663;0.82183;0.05257;0.05257;1.60846;AgentBuyogMain_c01@132;Tri2_P0_5_C01@133;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.0;0.0;0.8218332016356665;0.7866254275173381;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
7.403;383;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;AgentBuyogMain_c1@134;Tri2_P0_5_C01@135;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
2.682;147;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;AgentBuyogMain_c2@136;Tri2_P0_5_C01@137;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.911;858;;1000rounds;Yes;No;2;0.78663;0.82183;0.05257;0.05257;1.60846;AgentHP2_main_01@138;Tri2_P0_5_C01@139;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.0;0.0;0.8218332016356665;0.7866254275173381;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.396;383;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;AgentHP2_main_1@140;Tri2_P0_5_C01@141;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.151;147;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;AgentHP2_main_2@142;Tri2_P0_5_C01@143;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.939;898;;1000rounds;Yes;No;2;0.66611;0.66910;0.22635;0.24434;1.33521;AgentYK_01@144;Tri2_P0_5_C01@145;0.6661142005871383;0.6691007308572118;0.6661142005871383;0.6691007308572118;0.6661142005871383;0.6691007308572118;0.0;0.0;0.6661142005871383;0.6691007308572118;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
1.067;981;;1000rounds;Yes;No;2;0.01973;0.21548;0.95232;1.03378;0.23521;AgentYK_1@146;Tri2_P0_5_C01@147;0.019726656671820993;0.21548457619975103;0.019726656671820993;0.21548457619975103;0.019726656671820993;0.21548457619975103;0.0;0.0;0.019726656671820993;0.21548457619975103;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
1.005;1000;;1000rounds;Yes;No;2;0.00000;0.00000;0.99388;1.18356;0.00000;AgentYK_2@148;Tri2_P0_5_C01@149;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.966;858;;1000rounds;Yes;No;2;0.78663;0.82183;0.05257;0.05257;1.60846;AgreeableAgent2018_01@150;Tri2_P0_5_C01@151;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.0;0.0;0.8218332016356665;0.7866254275173381;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.389;383;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;AgreeableAgent2018_1@152;Tri2_P0_5_C01@153;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.153;147;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;AgreeableAgent2018_2@154;Tri2_P0_5_C01@155;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.897;858;;1000rounds;Yes;No;2;0.78663;0.82183;0.05257;0.05257;1.60846;GeneKing_01@156;Tri2_P0_5_C01@157;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.0;0.0;0.8218332016356665;0.7866254275173381;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.407;383;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;GeneKing_1@158;Tri2_P0_5_C01@159;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.182;147;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;GeneKing_2@160;Tri2_P0_5_C01@161;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.895;858;;1000rounds;Yes;No;2;0.78663;0.82183;0.05257;0.05257;1.60846;GroupY_01@162;Tri2_P0_5_C01@163;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.0;0.0;0.8218332016356665;0.7866254275173381;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.429;383;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;GroupY_1@164;Tri2_P0_5_C01@165;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.148;147;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;GroupY_2@166;Tri2_P0_5_C01@167;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
1.373;858;;1000rounds;Yes;No;2;0.78663;0.82183;0.05257;0.05257;1.60846;JonnyBlack_01@168;Tri2_P0_5_C01@169;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.0;0.0;0.8218332016356665;0.7866254275173381;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
1.039;393;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;JonnyBlack_1@170;Tri2_P0_5_C01@171;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.448;155;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;JonnyBlack_2@172;Tri2_P0_5_C01@173;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.879;858;;1000rounds;Yes;No;2;0.78663;0.82183;0.05257;0.05257;1.60846;Mamenchis_01@174;Tri2_P0_5_C01@175;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.0;0.0;0.8218332016356665;0.7866254275173381;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.384;383;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;Mamenchis_1@176;Tri2_P0_5_C01@177;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.151;147;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;Mamenchis_2@178;Tri2_P0_5_C01@179;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.918;858;;1000rounds;Yes;No;2;0.78663;0.82183;0.05257;0.05257;1.60846;Mosa_01@180;Tri2_P0_5_C01@181;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.8218332016356665;0.7866254275173381;0.0;0.0;0.8218332016356665;0.7866254275173381;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.448;383;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;Mosa_1@182;Tri2_P0_5_C01@183;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
0.157;147;;1000rounds;Yes;No;2;0.61871;1.00000;0.00000;0.32380;1.61871;Mosa_2@184;Tri2_P0_5_C01@185;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.6187083230182358;0.9999999999999998;0.0;0.0;0.6187083230182358;0.9999999999999998;EnergySmall-A-prof1.xml;EnergySmall-A-prof2.xml
