sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
24.558;982;;1000rounds;Yes;No;2;0.18300;0.18741;0.00000;0.42726;0.37041;AgentBuyogMain_c01@0;Tri1_P0_5_C01@1;0.183;0.18741124134466203;0.183;0.18741124134466203;0.183;0.18741124134466203;0.0;0.0;0.183;0.18741124134466203;pie_A.xml;pie_B.xml
11.207;501;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;AgentBuyogMain_c1@2;Tri1_P0_5_C01@3;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
5.195;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;AgentBuyogMain_c2@4;Tri1_P0_5_C01@5;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
1.313;916;;1000rounds;Yes;No;2;0.59300;0.61644;0.00000;0.39467;1.20944;AgentHP2_main_01@6;Tri1_P0_5_C01@7;0.593;0.6164414002968976;0.593;0.6164414002968976;0.593;0.6164414002968976;0.0;0.0;0.593;0.6164414002968976;pie_A.xml;pie_B.xml
0.813;501;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;AgentHP2_main_1@8;Tri1_P0_5_C01@9;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.373;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;AgentHP2_main_2@10;Tri1_P0_5_C01@11;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
1.007;916;;1000rounds;Yes;No;2;0.59300;0.61644;0.00000;0.39467;1.20944;AgentYK_01@12;Tri1_P0_5_C01@13;0.593;0.6164414002968976;0.593;0.6164414002968976;0.593;0.6164414002968976;0.0;0.0;0.593;0.6164414002968976;pie_A.xml;pie_B.xml
0.570;501;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;AgentYK_1@14;Tri1_P0_5_C01@15;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.252;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;AgentYK_2@16;Tri1_P0_5_C01@17;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
1.076;916;;1000rounds;Yes;No;2;0.59300;0.61644;0.00000;0.39467;1.20944;AgreeableAgent2018_01@18;Tri1_P0_5_C01@19;0.593;0.6164414002968976;0.593;0.6164414002968976;0.593;0.6164414002968976;0.0;0.0;0.593;0.6164414002968976;pie_A.xml;pie_B.xml
0.541;501;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;AgreeableAgent2018_1@20;Tri1_P0_5_C01@21;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.268;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;AgreeableAgent2018_2@22;Tri1_P0_5_C01@23;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
