sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
1.074;916;;1000rounds;Yes;No;2;0.59300;0.61644;0.00000;0.39467;1.20944;Agent36_01@540;Tri1_P0_5_C01@541;0.593;0.6164414002968976;0.593;0.6164414002968976;0.593;0.6164414002968976;0.0;0.0;0.593;0.6164414002968976;pie_A.xml;pie_B.xml
0.521;501;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;Agent36_1@542;Tri1_P0_5_C01@543;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.274;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;Agent36_2@544;Tri1_P0_5_C01@545;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.938;916;;1000rounds;Yes;No;2;0.59300;0.61644;0.00000;0.39467;1.20944;ConDAgent_01@546;Tri1_P0_5_C01@547;0.593;0.6164414002968976;0.593;0.6164414002968976;0.593;0.6164414002968976;0.0;0.0;0.593;0.6164414002968976;pie_A.xml;pie_B.xml
0.579;501;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;ConDAgent_1@548;Tri1_P0_5_C01@549;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.305;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;ConDAgent_2@550;Tri1_P0_5_C01@551;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
1.031;916;;1000rounds;Yes;No;2;0.59300;0.61644;0.00000;0.39467;1.20944;KGAgent_01@552;Tri1_P0_5_C01@553;0.593;0.6164414002968976;0.593;0.6164414002968976;0.593;0.6164414002968976;0.0;0.0;0.593;0.6164414002968976;pie_A.xml;pie_B.xml
0.569;501;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;KGAgent_1@554;Tri1_P0_5_C01@555;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.283;251;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;KGAgent_2@556;Tri1_P0_5_C01@557;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
1.059;920;;1000rounds;Yes;No;2;0.59500;0.60553;0.00000;0.40575;1.20053;BraveCat_01@558;Tri1_P0_5_C01@559;0.595;0.6055300708194984;0.595;0.6055300708194984;0.0;0.6055300708194984;0.0;0.0;0.595;0.6055300708194984;pie_A.xml;pie_B.xml
0.592;522;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;BraveCat_1@560;Tri1_P0_5_C01@561;0.5;1.0;0.5;1.0;0.0;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.308;272;;1000rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;BraveCat_2@562;Tri1_P0_5_C01@563;0.5;1.0;0.5;1.0;0.0;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
