sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.058;33;;60rounds;Yes;No;2;0.49900;0.99857;0.00174;0.00174;1.49757;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_max_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@464;Tri1_P0_5_C01@465;0.499;0.9985704067029311;0.499;0.9985704067029311;0.499;0.9985704067029311;0.0;0.0;0.499;0.9985704067029311;pie_A.xml;pie_B.xml
0.208;57;;60rounds;Yes;No;2;0.59500;0.60553;0.00000;0.40575;1.20053;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_e_k_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@466;Tri1_P0_5_C01@467;0.595;0.6055300708194984;0.595;0.6055300708194984;0.595;0.6055300708194984;0.0;0.0;0.595;0.6055300708194984;pie_A.xml;pie_B.xml
0.026;18;;60rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@468;Tri1_P0_5_C01@469;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.036;33;;60rounds;Yes;No;2;0.49900;0.99857;0.00174;0.00174;1.49757;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_e_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@470;Tri1_P0_5_C01@471;0.499;0.9985704067029311;0.499;0.9985704067029311;0.499;0.9985704067029311;0.0;0.0;0.499;0.9985704067029311;pie_A.xml;pie_B.xml
0.062;57;;60rounds;Yes;No;2;0.59500;0.60553;0.00000;0.40575;1.20053;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.SmithFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@472;Tri1_P0_5_C01@473;0.595;0.6055300708194984;0.595;0.6055300708194984;0.595;0.6055300708194984;0.0;0.0;0.595;0.6055300708194984;pie_A.xml;pie_B.xml
0.042;18;;60rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_min_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModel-negotiator.boaframework.omstrategy.NullStrategy_t@474;Tri1_P0_5_C01@475;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.055;33;;60rounds;Yes;No;2;0.49900;0.99857;0.00174;0.00174;1.49757;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.SmithFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@476;Tri1_P0_5_C01@477;0.499;0.9985704067029311;0.499;0.9985704067029311;0.499;0.9985704067029311;0.0;0.0;0.499;0.9985704067029311;pie_A.xml;pie_B.xml
0.060;57;;60rounds;Yes;No;2;0.59500;0.60553;0.00000;0.40575;1.20053;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_e_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@478;Tri1_P0_5_C01@479;0.595;0.6055300708194984;0.595;0.6055300708194984;0.595;0.6055300708194984;0.0;0.0;0.595;0.6055300708194984;pie_A.xml;pie_B.xml
0.018;18;;60rounds;Yes;No;2;0.50000;1.00000;0.00000;0.00000;1.50000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_max_min_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.SmithFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@480;Tri1_P0_5_C01@481;0.5;1.0;0.5;1.0;0.5;1.0;0.0;0.0;0.5;1.0;pie_A.xml;pie_B.xml
0.041;33;;60rounds;Yes;No;2;0.49900;0.99857;0.00174;0.00174;1.49757;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@482;Tri1_P0_5_C01@483;0.499;0.9985704067029311;0.499;0.9985704067029311;0.499;0.9985704067029311;0.0;0.0;0.499;0.9985704067029311;pie_A.xml;pie_B.xml
0.093;57;;60rounds;Yes;No;2;0.59500;0.60553;0.00000;0.40575;1.20053;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.CUHKFrequencyModelV2-negotiator.boaframework.omstrategy.NullStrategy_t@484;Tri1_P0_5_C01@485;0.595;0.6055300708194984;0.595;0.6055300708194984;0.595;0.6055300708194984;0.0;0.0;0.595;0.6055300708194984;pie_A.xml;pie_B.xml
