sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
1529.594;878;;1000rounds;Yes;No;2;0.73352;0.82257;0.00000;0.06557;1.55609;AgentBuyogMain_c01@8;Tri1_P0_5_C01@9;0.7335225169259121;0.8225678658937704;0.7335225169259121;0.8225678658937704;0.7335225169259121;0.8225678658937704;0.0;0.0;0.7335225169259121;0.8225678658937704;Energy-A-prof1.xml;Energy-A-prof2.xml
548.403;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.21613;1.51980;AgentBuyogMain_c1@38;Tri1_P0_5_C01@39;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
291.483;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.21613;1.51980;AgentBuyogMain_c2@40;Tri1_P0_5_C01@41;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
1.195;878;;1000rounds;Yes;No;2;0.73352;0.82257;0.00000;0.06557;1.55609;AgentHP2_main_01@42;Tri1_P0_5_C01@43;0.7335225169259121;0.8225678658937704;0.7335225169259121;0.8225678658937704;0.7335225169259121;0.8225678658937704;0.0;0.0;0.7335225169259121;0.8225678658937704;Energy-A-prof1.xml;Energy-A-prof2.xml
0.583;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.21613;1.51980;AgentHP2_main_1@44;Tri1_P0_5_C01@45;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.324;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.21613;1.51980;AgentHP2_main_2@46;Tri1_P0_5_C01@47;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.975;878;;1000rounds;Yes;No;2;0.73352;0.82257;0.00000;0.06557;1.55609;AgentYK_01@48;Tri1_P0_5_C01@49;0.7335225169259121;0.8225678658937704;0.7335225169259121;0.8225678658937704;0.7335225169259121;0.8225678658937704;0.0;0.0;0.7335225169259121;0.8225678658937704;Energy-A-prof1.xml;Energy-A-prof2.xml
1.145;1001;;1000rounds;Yes;No;2;0.00000;0.00000;0.98664;1.12135;0.00000;AgentYK_1@50;Tri1_P0_5_C01@51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Energy-A-prof1.xml;Energy-A-prof2.xml
1.102;1001;;1000rounds;Yes;No;2;0.00000;0.00000;0.98664;1.12135;0.00000;AgentYK_2@52;Tri1_P0_5_C01@53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.999;878;;1000rounds;Yes;No;2;0.73352;0.82257;0.00000;0.06557;1.55609;AgreeableAgent2018_01@54;Tri1_P0_5_C01@55;0.7335225169259121;0.8225678658937704;0.7335225169259121;0.8225678658937704;0.7335225169259121;0.8225678658937704;0.0;0.0;0.7335225169259121;0.8225678658937704;Energy-A-prof1.xml;Energy-A-prof2.xml
0.562;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.21613;1.51980;AgreeableAgent2018_1@56;Tri1_P0_5_C01@57;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.284;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.21613;1.51980;AgreeableAgent2018_2@58;Tri1_P0_5_C01@59;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
1.049;878;;1000rounds;Yes;No;2;0.73352;0.82257;0.00000;0.06557;1.55609;GeneKing_01@60;Tri1_P0_5_C01@61;0.7335225169259121;0.8225678658937704;0.7335225169259121;0.8225678658937704;0.7335225169259121;0.8225678658937704;0.0;0.0;0.7335225169259121;0.8225678658937704;Energy-A-prof1.xml;Energy-A-prof2.xml
0.622;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.21613;1.51980;GeneKing_1@62;Tri1_P0_5_C01@63;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.315;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.21613;1.51980;GeneKing_2@64;Tri1_P0_5_C01@65;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
1.046;878;;1000rounds;Yes;No;2;0.73352;0.82257;0.00000;0.06557;1.55609;GroupY_01@66;Tri1_P0_5_C01@67;0.7335225169259121;0.8225678658937704;0.7335225169259121;0.8225678658937704;0.7335225169259121;0.8225678658937704;0.0;0.0;0.7335225169259121;0.8225678658937704;Energy-A-prof1.xml;Energy-A-prof2.xml
0.556;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.21613;1.51980;GroupY_1@68;Tri1_P0_5_C01@69;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.317;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.21613;1.51980;GroupY_2@70;Tri1_P0_5_C01@71;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
;1;Session genius.core.session.Session@7a9ad9e5 failed: failed to construct agent : agent init<JonnyBlack_01@72,Participant[Party72,PartyRepositoryItem[JonnyBlack_01,C:\Users\Maryam\Pictures\myproject\myproject\bin\performance_opponents\JonnyBlack_01\JonnyBlack_01.class,ANAC2015, is mediator=false],etc/templates/anac/y2012/Energy/Energy-A-prof1.xml]> passed deadline and was killed:[C:\Users\Maryam\Pictures\myproject\myproject\bin\performance_opponents\JonnyBlack_01\JonnyBlack_01.class, C:\Users\Maryam\Pictures\myproject\myproject\bin\Benchmark_Agents\Tri_70_30\Tri1_P0_5_C01.class];1000rounds;No;;0;;;;;;JonnyBlack_01;Tri1_P0_5_C01;0.0;0.0;0.0;0.0;;;;;;;Energy-A-prof1;Energy-A-prof2
