sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
372.292;878;;1000rounds;Yes;No;2;0.73643;0.74070;0.01390;0.22127;1.47713;AgentBuyogMain_c01@30;Tri1_P1_C01@31;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.0;0.0;0.7407014020776943;0.7364269171924451;Energy-A-prof1.xml;Energy-A-prof2.xml
201.275;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;AgentBuyogMain_c1@32;Tri1_P1_C01@33;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
97.309;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;AgentBuyogMain_c2@34;Tri1_P1_C01@35;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.318;878;;1000rounds;Yes;No;2;0.73643;0.74070;0.01390;0.22127;1.47713;AgentHP2_main_01@36;Tri1_P1_C01@37;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.0;0.0;0.7407014020776943;0.7364269171924451;Energy-A-prof1.xml;Energy-A-prof2.xml
0.186;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;AgentHP2_main_1@38;Tri1_P1_C01@39;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.089;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;AgentHP2_main_2@40;Tri1_P1_C01@41;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.322;882;;1000rounds;Yes;No;2;0.72112;0.75413;0.02140;0.19666;1.47525;AgentYK_01@42;Tri1_P1_C01@43;0.721121749859128;0.7541299824116559;0.721121749859128;0.7541299824116559;0.721121749859128;0.7541299824116559;0.0;0.0;0.721121749859128;0.7541299824116559;Energy-A-prof1.xml;Energy-A-prof2.xml
0.344;1001;;1000rounds;Yes;No;2;0.00000;0.00000;0.98334;1.12879;0.00000;AgentYK_1@44;Tri1_P1_C01@45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.334;1001;;1000rounds;Yes;No;2;0.00000;0.00000;0.98334;1.12879;0.00000;AgentYK_2@46;Tri1_P1_C01@47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.318;878;;1000rounds;Yes;No;2;0.73643;0.74070;0.01390;0.22127;1.47713;AgreeableAgent2018_01@48;Tri1_P1_C01@49;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.0;0.0;0.7407014020776943;0.7364269171924451;Energy-A-prof1.xml;Energy-A-prof2.xml
0.175;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;AgreeableAgent2018_1@50;Tri1_P1_C01@51;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.087;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;AgreeableAgent2018_2@52;Tri1_P1_C01@53;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.298;878;;1000rounds;Yes;No;2;0.73643;0.74070;0.01390;0.22127;1.47713;GeneKing_01@54;Tri1_P1_C01@55;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.0;0.0;0.7407014020776943;0.7364269171924451;Energy-A-prof1.xml;Energy-A-prof2.xml
0.175;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;GeneKing_1@56;Tri1_P1_C01@57;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.084;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;GeneKing_2@58;Tri1_P1_C01@59;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.300;878;;1000rounds;Yes;No;2;0.73643;0.74070;0.01390;0.22127;1.47713;GroupY_01@60;Tri1_P1_C01@61;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.0;0.0;0.7407014020776943;0.7364269171924451;Energy-A-prof1.xml;Energy-A-prof2.xml
0.167;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;GroupY_1@62;Tri1_P1_C01@63;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.090;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;GroupY_2@64;Tri1_P1_C01@65;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
8.051;882;;1000rounds;Yes;No;2;0.72426;0.76589;0.00763;0.24438;1.49015;JonnyBlack_01@66;Tri1_P1_C01@67;0.7658855348182733;0.724259915200464;0.7658855348182733;0.724259915200464;0.7658855348182733;0.724259915200464;0.0;0.0;0.7658855348182733;0.724259915200464;Energy-A-prof1.xml;Energy-A-prof2.xml
7.909;412;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;JonnyBlack_1@68;Tri1_P1_C01@69;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
4.069;170;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;JonnyBlack_2@70;Tri1_P1_C01@71;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.299;878;;1000rounds;Yes;No;2;0.73643;0.74070;0.01390;0.22127;1.47713;Mamenchis_01@72;Tri1_P1_C01@73;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.0;0.0;0.7407014020776943;0.7364269171924451;Energy-A-prof1.xml;Energy-A-prof2.xml
0.175;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;Mamenchis_1@74;Tri1_P1_C01@75;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.084;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;Mamenchis_2@76;Tri1_P1_C01@77;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.298;878;;1000rounds;Yes;No;2;0.73643;0.74070;0.01390;0.22127;1.47713;Mosa_01@78;Tri1_P1_C01@79;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.0;0.0;0.7407014020776943;0.7364269171924451;Energy-A-prof1.xml;Energy-A-prof2.xml
0.169;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;Mosa_1@80;Tri1_P1_C01@81;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.084;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;Mosa_2@82;Tri1_P1_C01@83;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
8.718;878;;1000rounds;Yes;No;2;0.73643;0.74070;0.01390;0.22127;1.47713;RandomDance_01@84;Tri1_P1_C01@85;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.7407014020776943;0.7364269171924451;0.0;0.0;0.7407014020776943;0.7364269171924451;Energy-A-prof1.xml;Energy-A-prof2.xml
2.647;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;RandomDance_1@86;Tri1_P1_C01@87;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
2.500;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.13555;1.51980;RandomDance_2@88;Tri1_P1_C01@89;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
324.066;739;;1000rounds;Yes;No;2;0.28627;0.95258;0.00000;0.71862;1.23885;AgentBuyogMain_c01@90;Tri1_P1_C1@91;0.9525776665955881;0.2862715556706628;0.9525776665955881;0.2862715556706628;0.9525776665955881;0.2862715556706628;0.0;0.0;0.9525776665955881;0.2862715556706628;Energy-A-prof1.xml;Energy-A-prof2.xml
119.167;278;;1000rounds;Yes;No;2;0.72426;0.76589;0.00763;0.24438;1.49015;AgentBuyogMain_c1@92;Tri1_P1_C1@93;0.7658855348182733;0.724259915200464;0.7658855348182733;0.724259915200464;0.7658855348182733;0.724259915200464;0.0;0.0;0.7658855348182733;0.724259915200464;Energy-A-prof1.xml;Energy-A-prof2.xml
52.743;127;;1000rounds;Yes;No;2;0.67150;0.87526;0.00000;0.06631;1.54676;AgentBuyogMain_c2@94;Tri1_P1_C1@95;0.6714975622053416;0.8752627397777706;0.6714975622053416;0.8752627397777706;0.6714975622053416;0.8752627397777706;0.0;0.0;0.6714975622053416;0.8752627397777706;Energy-A-prof1.xml;Energy-A-prof2.xml
0.261;739;;1000rounds;Yes;No;2;0.28627;0.95258;0.00000;0.71862;1.23885;AgentHP2_main_01@96;Tri1_P1_C1@97;0.9525776665955881;0.2862715556706628;0.9525776665955881;0.2862715556706628;0.9525776665955881;0.2862715556706628;0.0;0.0;0.9525776665955881;0.2862715556706628;Energy-A-prof1.xml;Energy-A-prof2.xml
0.104;278;;1000rounds;Yes;No;2;0.72426;0.76589;0.00763;0.24438;1.49015;AgentHP2_main_1@98;Tri1_P1_C1@99;0.7658855348182733;0.724259915200464;0.7658855348182733;0.724259915200464;0.7658855348182733;0.724259915200464;0.0;0.0;0.7658855348182733;0.724259915200464;Energy-A-prof1.xml;Energy-A-prof2.xml
0.052;127;;1000rounds;Yes;No;2;0.67150;0.87526;0.00000;0.06631;1.54676;AgentHP2_main_2@100;Tri1_P1_C1@101;0.6714975622053416;0.8752627397777706;0.6714975622053416;0.8752627397777706;0.6714975622053416;0.8752627397777706;0.0;0.0;0.6714975622053416;0.8752627397777706;Energy-A-prof1.xml;Energy-A-prof2.xml
0.253;739;;1000rounds;Yes;No;2;0.28627;0.95258;0.00000;0.71862;1.23885;AgentYK_01@102;Tri1_P1_C1@103;0.9525776665955881;0.2862715556706628;0.9525776665955881;0.2862715556706628;0.9525776665955881;0.2862715556706628;0.0;0.0;0.9525776665955881;0.2862715556706628;Energy-A-prof1.xml;Energy-A-prof2.xml
0.107;295;;1000rounds;Yes;No;2;0.70629;0.74135;0.04010;0.20275;1.44764;AgentYK_1@104;Tri1_P1_C1@105;0.7062938453512851;0.7413510843218339;0.7062938453512851;0.7413510843218339;0.7062938453512851;0.7413510843218339;0.0;0.0;0.7062938453512851;0.7413510843218339;Energy-A-prof1.xml;Energy-A-prof2.xml
0.098;289;;1000rounds;Yes;No;2;0.46361;0.74628;0.23758;0.25399;1.20989;AgentYK_2@106;Tri1_P1_C1@107;0.4636118310098603;0.7462752514512224;0.4636118310098603;0.7462752514512224;0.4636118310098603;0.7462752514512224;0.0;0.0;0.4636118310098603;0.7462752514512224;Energy-A-prof1.xml;Energy-A-prof2.xml
0.281;739;;1000rounds;Yes;No;2;0.28627;0.95258;0.00000;0.71862;1.23885;AgreeableAgent2018_01@108;Tri1_P1_C1@109;0.9525776665955881;0.2862715556706628;0.9525776665955881;0.2862715556706628;0.9525776665955881;0.2862715556706628;0.0;0.0;0.9525776665955881;0.2862715556706628;Energy-A-prof1.xml;Energy-A-prof2.xml
0.102;278;;1000rounds;Yes;No;2;0.72426;0.76589;0.00763;0.24438;1.49015;AgreeableAgent2018_1@110;Tri1_P1_C1@111;0.7658855348182733;0.724259915200464;0.7658855348182733;0.724259915200464;0.7658855348182733;0.724259915200464;0.0;0.0;0.7658855348182733;0.724259915200464;Energy-A-prof1.xml;Energy-A-prof2.xml
0.051;127;;1000rounds;Yes;No;2;0.67150;0.87526;0.00000;0.06631;1.54676;AgreeableAgent2018_2@112;Tri1_P1_C1@113;0.6714975622053416;0.8752627397777706;0.6714975622053416;0.8752627397777706;0.6714975622053416;0.8752627397777706;0.0;0.0;0.6714975622053416;0.8752627397777706;Energy-A-prof1.xml;Energy-A-prof2.xml
0.247;739;;1000rounds;Yes;No;2;0.28627;0.95258;0.00000;0.71862;1.23885;GeneKing_01@114;Tri1_P1_C1@115;0.9525776665955881;0.2862715556706628;0.9525776665955881;0.2862715556706628;0.9525776665955881;0.2862715556706628;0.0;0.0;0.9525776665955881;0.2862715556706628;Energy-A-prof1.xml;Energy-A-prof2.xml
0.097;278;;1000rounds;Yes;No;2;0.72426;0.76589;0.00763;0.24438;1.49015;GeneKing_1@116;Tri1_P1_C1@117;0.7658855348182733;0.724259915200464;0.7658855348182733;0.724259915200464;0.7658855348182733;0.724259915200464;0.0;0.0;0.7658855348182733;0.724259915200464;Energy-A-prof1.xml;Energy-A-prof2.xml
0.052;127;;1000rounds;Yes;No;2;0.67150;0.87526;0.00000;0.06631;1.54676;GeneKing_2@118;Tri1_P1_C1@119;0.6714975622053416;0.8752627397777706;0.6714975622053416;0.8752627397777706;0.6714975622053416;0.8752627397777706;0.0;0.0;0.6714975622053416;0.8752627397777706;Energy-A-prof1.xml;Energy-A-prof2.xml
0.257;739;;1000rounds;Yes;No;2;0.28627;0.95258;0.00000;0.71862;1.23885;GroupY_01@120;Tri1_P1_C1@121;0.9525776665955881;0.2862715556706628;0.9525776665955881;0.2862715556706628;0.9525776665955881;0.2862715556706628;0.0;0.0;0.9525776665955881;0.2862715556706628;Energy-A-prof1.xml;Energy-A-prof2.xml
0.096;278;;1000rounds;Yes;No;2;0.72426;0.76589;0.00763;0.24438;1.49015;GroupY_1@122;Tri1_P1_C1@123;0.7658855348182733;0.724259915200464;0.7658855348182733;0.724259915200464;0.7658855348182733;0.724259915200464;0.0;0.0;0.7658855348182733;0.724259915200464;Energy-A-prof1.xml;Energy-A-prof2.xml
