sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
23.828;58;;60rounds;Yes;No;2;0.57481;0.64273;0.15377;0.33008;1.21755;AgentBuyogMain_c01@30;Tri1_P3_C01@31;0.6427336302494527;0.57481433968231;0.6427336302494527;0.57481433968231;0.6427336302494527;0.57481433968231;0.0;0.0;0.6427336302494527;0.57481433968231;Energy-A-prof1.xml;Energy-A-prof2.xml
12.055;31;;60rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;AgentBuyogMain_c1@32;Tri1_P3_C01@33;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
5.490;16;;60rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;AgentBuyogMain_c2@34;Tri1_P3_C01@35;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.032;58;;60rounds;Yes;No;2;0.57481;0.64273;0.15377;0.33008;1.21755;AgentHP2_main_01@36;Tri1_P3_C01@37;0.6427336302494527;0.57481433968231;0.6427336302494527;0.57481433968231;0.6427336302494527;0.57481433968231;0.0;0.0;0.6427336302494527;0.57481433968231;Energy-A-prof1.xml;Energy-A-prof2.xml
0.016;31;;60rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;AgentHP2_main_1@38;Tri1_P3_C01@39;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.010;16;;60rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;AgentHP2_main_2@40;Tri1_P3_C01@41;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.029;61;;60rounds;No;No;1;0.00000;0.00000;0.97088;1.11468;0.00000;AgentYK_01@42;Tri1_P3_C01@43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.030;61;;60rounds;No;No;1;0.00000;0.00000;0.97088;1.11468;0.00000;AgentYK_1@44;Tri1_P3_C01@45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.028;61;;60rounds;No;No;1;0.00000;0.00000;0.97088;1.11468;0.00000;AgentYK_2@46;Tri1_P3_C01@47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.027;58;;60rounds;Yes;No;2;0.57481;0.64273;0.15377;0.33008;1.21755;AgreeableAgent2018_01@48;Tri1_P3_C01@49;0.6427336302494527;0.57481433968231;0.6427336302494527;0.57481433968231;0.6427336302494527;0.57481433968231;0.0;0.0;0.6427336302494527;0.57481433968231;Energy-A-prof1.xml;Energy-A-prof2.xml
0.020;31;;60rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;AgreeableAgent2018_1@50;Tri1_P3_C01@51;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.008;16;;60rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;AgreeableAgent2018_2@52;Tri1_P3_C01@53;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.026;58;;60rounds;Yes;No;2;0.57481;0.64273;0.15377;0.33008;1.21755;GeneKing_01@54;Tri1_P3_C01@55;0.6427336302494527;0.57481433968231;0.6427336302494527;0.57481433968231;0.6427336302494527;0.57481433968231;0.0;0.0;0.6427336302494527;0.57481433968231;Energy-A-prof1.xml;Energy-A-prof2.xml
0.018;31;;60rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;GeneKing_1@56;Tri1_P3_C01@57;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.011;16;;60rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;GeneKing_2@58;Tri1_P3_C01@59;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.026;58;;60rounds;Yes;No;2;0.57481;0.64273;0.15377;0.33008;1.21755;GroupY_01@60;Tri1_P3_C01@61;0.6427336302494527;0.57481433968231;0.6427336302494527;0.57481433968231;0.6427336302494527;0.57481433968231;0.0;0.0;0.6427336302494527;0.57481433968231;Energy-A-prof1.xml;Energy-A-prof2.xml
0.018;31;;60rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;GroupY_1@62;Tri1_P3_C01@63;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.010;16;;60rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;GroupY_2@64;Tri1_P3_C01@65;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.709;57;;60rounds;Yes;No;2;0.32356;0.64494;0.40571;0.41806;0.96850;JonnyBlack_01@66;Tri1_P3_C01@67;0.32355878239952485;0.644938344940072;0.32355878239952485;0.644938344940072;0.32355878239952485;0.644938344940072;0.0;0.0;0.32355878239952485;0.644938344940072;Energy-A-prof1.xml;Energy-A-prof2.xml
0.613;27;;60rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;JonnyBlack_1@68;Tri1_P3_C01@69;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.436;12;;60rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;JonnyBlack_2@70;Tri1_P3_C01@71;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
