sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.343;894;;1000rounds;Yes;No;2;0.68390;0.68418;0.07281;0.22304;1.36808;Agent36_01@570;Tri1_P3_C01@571;0.6838975506665446;0.6841829463841799;0.6838975506665446;0.6841829463841799;0.6838975506665446;0.6841829463841799;0.0;0.0;0.6838975506665446;0.6841829463841799;Energy-A-prof1.xml;Energy-A-prof2.xml
0.194;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;Agent36_1@572;Tri1_P3_C01@573;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.094;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;Agent36_2@574;Tri1_P3_C01@575;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
;1;Session genius.core.session.Session@3b8637c0 failed: failed to construct agent : agent init<ConDAgent_01@576,Participant[Party576,PartyRepositoryItem[ConDAgent_01,C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\performance_opponents\condagent_01\ConDAgent_01.class,ANAC2018, is mediator=false],etc/templates/anac/y2012/Energy/Energy-A-prof1.xml]> passed deadline and was killed:[C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\performance_opponents\condagent_01\ConDAgent_01.class, C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\Benchmark_Agents\Tri_70_30\Tri1_P3_C01.class];1000rounds;No;;0;;;;;;ConDAgent_01;Tri1_P3_C01;0.0;0.0;0.0;0.0;;;;;;;Energy-A-prof1;Energy-A-prof2
;1;Session genius.core.session.Session@3fc8e8ff failed: failed to construct agent : agent init<ConDAgent_1@578,Participant[Party578,PartyRepositoryItem[ConDAgent_1,C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\performance_opponents\condagent_1\ConDAgent_1.class,ANAC2018, is mediator=false],etc/templates/anac/y2012/Energy/Energy-A-prof1.xml]> passed deadline and was killed:[C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\performance_opponents\condagent_1\ConDAgent_1.class, C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\Benchmark_Agents\Tri_70_30\Tri1_P3_C01.class];1000rounds;No;;0;;;;;;ConDAgent_1;Tri1_P3_C01;0.0;0.0;0.0;0.0;;;;;;;Energy-A-prof1;Energy-A-prof2
;1;Session genius.core.session.Session@6ef06ce5 failed: failed to construct agent : agent init<ConDAgent_2@580,Participant[Party580,PartyRepositoryItem[ConDAgent_2,C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\performance_opponents\condagent_2\ConDAgent_2.class,ANAC2018, is mediator=false],etc/templates/anac/y2012/Energy/Energy-A-prof1.xml]> passed deadline and was killed:[C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\performance_opponents\condagent_2\ConDAgent_2.class, C:\Users\Dr Shaghol\Desktop\myproject\myproject\bin\Benchmark_Agents\Tri_70_30\Tri1_P3_C01.class];1000rounds;No;;0;;;;;;ConDAgent_2;Tri1_P3_C01;0.0;0.0;0.0;0.0;;;;;;;Energy-A-prof1;Energy-A-prof2
0.333;894;;1000rounds;Yes;No;2;0.68390;0.68418;0.07281;0.22304;1.36808;KGAgent_01@582;Tri1_P3_C01@583;0.6838975506665446;0.6841829463841799;0.6838975506665446;0.6841829463841799;0.6838975506665446;0.6841829463841799;0.0;0.0;0.6838975506665446;0.6841829463841799;Energy-A-prof1.xml;Energy-A-prof2.xml
0.191;482;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;KGAgent_1@584;Tri1_P3_C01@585;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.094;232;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;KGAgent_2@586;Tri1_P3_C01@587;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.358;897;;1000rounds;Yes;No;2;0.67983;0.68446;0.07635;0.22220;1.36429;BraveCat_01@588;Tri1_P3_C01@589;0.6798308254197833;0.6844627253277601;0.6798308254197833;0.6844627253277601;0.0;0.6844627253277601;0.0;0.0;0.6798308254197833;0.6844627253277601;Energy-A-prof1.xml;Energy-A-prof2.xml
0.218;492;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;BraveCat_1@590;Tri1_P3_C01@591;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.101;242;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;BraveCat_2@592;Tri1_P3_C01@593;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.327;897;;1000rounds;Yes;No;2;0.67983;0.68446;0.07635;0.22220;1.36429;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@594;Tri1_P3_C01@595;0.6798308254197833;0.6844627253277601;0.6798308254197833;0.6844627253277601;0.6798308254197833;0.6844627253277601;0.0;0.0;0.6798308254197833;0.6844627253277601;Energy-A-prof1.xml;Energy-A-prof2.xml
0.192;492;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_max_k_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@596;Tri1_P3_C01@597;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.100;242;;1000rounds;Yes;No;2;0.51980;1.00000;0.10175;0.16215;1.51980;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_min_e_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NullStrategy_t@598;Tri1_P3_C01@599;0.5197959394684373;1.0;0.5197959394684373;1.0;0.5197959394684373;1.0;0.0;0.0;0.5197959394684373;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
