sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.004;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_k_e_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NullStrategy_t@0;Tri1_P3_C01@1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_min_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NullStrategy_t@2;Tri1_P3_C01@3;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NullStrategy_t@4;Tri1_P3_C01@5;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_e_max_min-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.PerfectModel-negotiator.boaframework.omstrategy.NullStrategy_t@6;Tri1_P3_C01@7;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_max_min_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.PerfectModel-negotiator.boaframework.omstrategy.NullStrategy_t@8;Tri1_P3_C01@9;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.PerfectModel-negotiator.boaframework.omstrategy.NullStrategy_t@10;Tri1_P3_C01@11;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_min_e_max_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.PerfectScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@12;Tri1_P3_C01@13;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.PerfectScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@14;Tri1_P3_C01@15;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_max_k-negotiator.boaframework.acceptanceconditions.other.AC_Next_b_a-negotiator.boaframework.opponentmodel.PerfectScalableBayesianModel-negotiator.boaframework.omstrategy.NullStrategy_t@16;Tri1_P3_C01@17;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
0.002;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.18074;0.18074;2.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_max_k_min_e-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-C..Users.Dr.Shaghol.Desktop.myproject.myproject.bin.performance_opponents.HardDealer_OM_l-negotiator.boaframework.omstrategy.NullStrategy_t@18;Tri1_P3_C01@19;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Energy-A-prof1.xml;Energy-A-prof2.xml
